"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"gray squirrel"	"Sciuridae"	"Rodentia"	"Sciurus carolinensis"	"8-NCBI"	"30640"	VGP	VGP	VGP	VGP	VGP	VGP	
"tiny Cayenne caecilian"	"Siphonopidae"	"Gymnophiona"	"Microcaecilia unicolor"	"8-NCBI"	"1415580"	VGP	VGP	VGP	VGP	VGP	VGP	
"zebra shark"	"Stegostomatidae"	"Orectolobiformes"	"Stegostoma tigrinum"	"0-data_queued"	"000000"	VGP	VGP	VGP				
"great white shark"	"Alopiidae"	"Lamniformes"	"Carcharodon carcharias"	"8-NCBI"	"13397"	VGP	VGP	VGP	VGP	VGP	VGP	
"alpaca"	"Camelidae"	"Artiodactyla"	"Vicugna pacos"	"0-data_queued"	"30538"	VGP	VGP	VGP				
"village indigobird"	"Estrildidae"	"Passeriformes"	"Vidua chalybeata"	"6-asm_curation"	"81927"	VGP	VGP	VGP	VGP			
"gray short-tailed opossum"	"Didelphidae"	"Didelphimorphia"	"Monodelphis domestica"	"4-asm_progress"	"13616"	VGP	VGP	VGP	VGP			
""	"Galaxiidae"	"Galaxiiformes"	"Aplochiton taeniatus"	"8-NCBI"	"946358"	VGP	VGP	VGP	VGP	VGP	VGP	
"gilthead seabream"	"Sparidae"	"Spariformes"	"Sparus aurata"	"8-NCBI"	"8175"	VGP	VGP	VGP	VGP	VGP	VGP	
"Kuhl's pipistrelle"	"Vespertilionidae"	"Chiroptera"	"Pipistrellus kuhlii"	"8-NCBI"	"59472"	VGP	VGP	VGP	VGP	VGP	VGP	
"kagu"	"Rhynochetidae"	"Gruiformes"	"Rhynochetos jubatus"	"2-data_progress"	"54386"	VGP	VGP	VGP	VGP			
"plumbeous ibis"	"Threskiornithidae"	"Pelecaniformes"	"Theristicus caerulescens"	"8-NCBI"	"1118847"	VGP	VGP	VGP	VGP	VGP	VGP	
"rock gunnel"	"Pholidae"	"Perciformes"	"Pholis gunnellus"	"8-NCBI"	"56726"	VGP	VGP	VGP	VGP	VGP	VGP	
"barbel"	"Cyprinidae"	"Cypriniformes"	"Barbus barbus"	"2-data_progress"	"40830"	VGP	VGP	VGP	VGP			
"Barn swallow"	"Hirundinidae"	"Passeriformes"	"Hirundo rustica"	"8-NCBI"	"43150"	VGP	VGP	VGP	VGP	VGP	VGP	
"Dalmatian pelican"	"Pelecanidae"	"Pelecaniformes"	"Pelecanus crispus"	"5-asm_done"	"36300"	VGP	VGP	VGP	VGP			
"tailed frog"	"Ascaphidae"	"Anura"	"Ascaphus truei"	"2-data_progress"	"8439"	VGP	VGP	VGP	VGP			
"banded archerfish"	"Toxotidae"	""	"Toxotes jaculatrix"	"8-NCBI"	"941984"	VGP	VGP	VGP	VGP	VGP	VGP	
"rock ptarmigan"	"Phasianidae"	"Galliformes"	"Lagopus muta"	"7-asm_curated"	"64668"	VGP	VGP	VGP	VGP			
"false killer whale"	"Delphinidae"	"Artiodactyla"	"Pseudorca crassidens"	"2-data_progress"	"82174"	VGP	VGP	VGP	VGP			
"freshwater garfish"	"Belonidae"	"Beloniformes"	"Xenentodon cancila"	"8-NCBI"	"129108"	VGP	VGP	VGP	VGP	VGP	VGP	
"Micronesian kingfisher"	"Alcedinidae"	"Coraciiformes"	"Todiramphus cinnamominus"	"2-data_progress"	"1006542"	VGP	VGP	VGP	VGP			
"Anna's hummingbird"	"Trochilidae"	"Apodiformes"	"Calypte anna"	"8-NCBI"	"9244"	VGP	VGP	VGP	VGP	VGP	VGP	
"Boeseman's rainbowfish"	"Melanotaeniidae"	"Atheriniformes"	"Melanotaenia boesemani"	"8-NCBI"	"1250792"	VGP	VGP	VGP	VGP	VGP	VGP	
"European starfish"	"Asteriidae"	"Forcipulatida"	"Asterias rubens"	"8-NCBI"	"7604"	VGP	VGP	VGP	VGP	VGP	VGP	
"Sardinian tree frog"	"Hylidae"	"Anura"	"Hyla sarda"	"2-data_progress"	"327740"	VGP	VGP	VGP	VGP			
