superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Core landbirds	Passeriformes Oscines (Turdidae)	Erithacus rubecula		Sanger 25G		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Turdidae)	Catharus ustulatus		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Turdidae)	Poecile atricapillus		Vocal learning		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Muscicapidae)	Oenanthe melanoleuca				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Icteridae)	Agelaius phoeniceus		Vocal learning		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Sturnidae)	Acridotheres tristis				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Paradisaeidae)	Lycocorax pyrrhopterus				Chordata	VGP						
Core landbirds	Passeriformes Oscines (Corvidae)	Corvus hawaiiensis		VGP		Chordata	VGP						
Core landbirds	Passeriformes Oscines (Corvidae)	Corvus moneduloides		VGP		Chordata	VGP						
Core landbirds	Passeriformes Suboscines	Chiroxiphia lanceolata	open	VGP	RCN Manakin	Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Passeriformes Suboscines	Dixiphia pipra				Chordata	VGP						
Core landbirds	Passeriformes Acanthisitti	Acanthisitta chloris	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Psittaciformes (Strigopidae)	Strigops habroptilus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Psittaciformes (Psittaculidae)	Melopsittacus undulatus				Chordata	VGP						
Core landbirds	Psittaciformes (Psittaculidae)	Melopsittacus undulatus				Chordata	VGP						
Core landbirds	Psittaciformes (Psittacidae)	Ara ararauna		VGP		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco peregrinus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Falconiformes (Falconidae)	Falco rusticolus		Falcon		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco biarmicus		Falcon		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco cherrug		Falcon		Chordata	VGP						
Core landbirds	Falconiformes (Falconidae)	Falco naumanni		Falcon		Chordata	VGP						
		Falco naumanni		Falcon		Chordata	VGP						
Core landbirds	Cariamiformes	Cariama cristata	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Piciformes (Picidae)	Picoides pubescens	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Piciformes (Lybiidae)	Pogoniulus pusillus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Coraciiformes	Merops nubicus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Bucerotiformes	Bucorvus abyssinicus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Trogoniformes	Trogon surrucura	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Leptosomiiformes	Leptosomus discolor				Chordata	VGP						
Core landbirds	Coliiformes	Colius striatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Coliiformes	Colius striatus				Chordata	VGP						
Core landbirds	Strigiformes	Strix aluco	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core landbirds	Accipitriformes (Accipitridae)	Aquila chrysaetos	open	Sanger 25G		Chordata	VGP	VGP	VGP	VGP	VGP		
Core landbirds	Accipitriformes (Accipitridae)	Haliaeetus albicilla		ERGA		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Harpia harpyja		DToL		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Accipiter gentilis		DToL		Chordata	VGP						
Core landbirds	Accipitriformes (Accipitridae)	Gypaetus barbatus		CBP		Chordata	VGP						
Core landbirds	Cathartiformes	Sarcoramphus papa				Chordata	VGP						
Core waterbirds	Pelecaniformes (Pelecanidae)	Pelecanus crispus	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Pelicaniformes (Ardeidae)	Egretta garzetta	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Pelicaniformes (Threskiornithidae)	Theristicus caerulescens	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Pelicaniformes (Phalacrocoracidae)	Phalacrocorax carbo				Chordata	VGP						
Core waterbirds	Pelicaniformes (Phalacrocoracidae)	Gulosus aristotelis	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Suliformes	Morus bassanus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Ciconiiformes	Ciconia maguari	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Procellariiformes	Calonectris borealis	in_progress	DToL		Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Sphenisciformes	Spheniscus humboldti	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Gaviiformes	Gavia stellata	in_progress			Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Phaethontiformes	"Phaethon	aethereus"	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Core waterbirds	Eurypgiformes	Rhynochetos jubatus	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Charadriiformes (Charadriidae)	Pluvialis apricaria	open	VGP	DToL	Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Charadriiformes (Alcidae)	Alca Torda				Chordata	VGP						
Core waterbirds	Charadriiformes (Laridae)	Sterna hirundo		VGP		Chordata	VGP						
Core waterbirds	Charadriiformes (Laridae)	Rissa tridactyla		VGP		Chordata	VGP						
		Rissa tridactyla		VGP		Chordata	VGP						
Core waterbirds	Gruiformes (Gruidae)	Balearica regulorum gibbericeps	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Core waterbirds	Gruiformes (Gruidae)	Grus americana		VGP		Chordata	VGP						
