ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
230758	Strobilurus	esculentus	Physalacriaceae	ebpn_other_priority			EBPN	EBPN											
41251	Strobilurus	tenacellus	Physalacriaceae	ebpn_other_priority			EBPN	EBPN											
7671	Strongylocentrotus	droebachiensis	Strongylocentrotidae	ebpn_other_priority			EBPN	EBPN											
2594091	Stygocapitella	zecai	Parergodrilidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
2697470	Synoicum	turgens	Polyclinidae	ebpn_other_priority			EBPN	EBPN											
	Tolypella	normaniana	Characeae	ebpn_other_priority			EBPN	EBPN											
549142	Trachusa	byssina	Megachilidae	ebpn_other_priority			EBPN	EBPN											
2665213	Triangulus	munidae	Lernaeodiscidae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
2170715	Trichaptum	lancinum	Hymenochaetales incertae sedis	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
50383	Trichaptum	laricinum	Polyporaceae	ebpn_other_priority			EBPN	EBPN											
8323	Triturus	cristatus	Salamandridae	ebpn_other_priority			EBPN	EBPN											
357736	Turdus	pilaris	Turdidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1835021	Ulota	intermedia	Orthotrichaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
41833	Umbelopsis	ramanniana	Umbelopsidaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
44442	Umbelopsis	vinacea	Umbelopsidaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
29073	Ursus	maritimus	Ursidae	ebpn_other_priority			EBPN	EBPN											
143883	Usnea	longissima	Parmeliaceae	ebpn_other_priority			EBPN	EBPN											
145157	Vallonia	costata	Valloniidae	ebpn_other_priority			EBPN	EBPN											
229284	Vallonia	pulchella	Valloniidae	ebpn_other_priority			EBPN	EBPN											
1128348	Vertigo	alpestris	Vertiginidae	ebpn_other_priority			EBPN	EBPN											
2021743	Vertigo	arctica	Vertiginidae	ebpn_other_priority			EBPN	EBPN											
669863	Viola	epipsila	Violaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
502521	Viola	rupestris	Violaceae	ebpn_other_priority	sample_acquired	Viola rupestris relicta	EBPN	EBPN			EBPN	EBPN							
879067	Xestobium	rufovillosum	Ptinidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
