Prefix_TOLID	SPECIES	STRAIN_ID	STATUS	TAX_ID	PHYLUM	FAMILY	GENUS	TAXONOMIC NOTES	other_priority	goat_status
	Characium sp.	209-2	COLLECTED		Chlorophyta	Chlorococcaceae	Characium		DTOL	sample_collected
ucPteAngu	Pteromonas angulosa	64-3	SUBMITTED	77548	Chlorophyta	Phacotaceae	Pteromonas		DTOL	sample_collected
	Stichococcus sp.	379-31	COLLECTED		Chlorophyta		Stichococcus		DTOL	sample_collected
ucGloScop	Gloeotila scopulina	335-16	SUBMITTED	413988	Chlorophyta	Chlorellaceae	Gloeotila		DTOL	sample_collected
	Mallomonas cratis	929-1	DEAD		Stramenopiles/ Ochrophyta	Mallomonadaceae	Mallomonas		DTOL	
No_TOLID	Poterioochromonas malhamensis	933-1C	SUBMITTED	88167	Stramenopiles/ Ochrophyta	Ochromonadaceae	Poterioochromonas		DTOL	sample_collected
	Agitata tremulans	1910-1	DEAD		Cercozoa		Agitata		DTOL	
No_TOLID	Coleochaete scutata	414-1	SUBMITTED	3125	Streptophyta	Coleochaetaceae	Coleochaete		DTOL	sample_collected
	Paracercomonas minima	1957-3	DEAD		Cercozoa	Cercomonadidae	Paracercomonas		DTOL	
	Phacus triqueter	1261-8	COLLECTED		Euglenozoa	Phacaceae	Phacus		DTOL	sample_collected
	Amoeba proteus	1503-9	DEAD		Amoebozoa	Amoebidae	Amoeba		DTOL	
pcEugRotu	Euglypha rotunda	1520-1	SUBMITTED	39714	Rhizaria	Euglyphidae	Euglypha		DTOL	sample_collected
	Gruberella flavescens	1532-1	COLLECTED		Amoebozoa		Gruberella		DTOL	sample_collected
	Allantion tachyploon	1906-1	COLLECTED		Cercozoa		Allantion 		DTOL	sample_collected
	Cercomonas longicauda	1910-2	DEAD		Cercozoa	Cercomonadidae	Cercomonas		DTOL	
ukKleFlui	Klebsormidium fluitans	335-12	SUBMITTED	81807	Chlorophyta	Klebsormidiaceae	Klebsormidium		DTOL	sample_collected
	Rhogostoma schuessleri	1966-1	DEAD		Cercozoa	Rhogostomidae	Rhogostoma		DTOL	
No_TOLID	Hormidiopsis crenulata	335-6	SUBMITTED	2873796	Chlorophyta		Hormidiopsis		DTOL	sample_collected
No_TOLID	Ochromonas tuberculata	933-27	SUBMITTED	98045	Stramenopiles/ Ochrophyta	Chromulinaceae	Ochromonas		DTOL	sample_collected
uoChrOchr	Chromulina ochromonoides	909-1	SUBMITTED	1034828	Stramenopiles/ Ochrophyta	Chromulinaceae	Chromulina		DTOL	sample_collected
	Spumella elongata	955-1	DEAD		Stramenopiles/ Ochrophyta	Chromulinaceae	Spumella		DTOL	
	Paraphysomonas acuminata	935-18	DEAD		Stramenopiles/ Ochrophyta	Paraphysomonadaceae	Paraphysomonas		DTOL	
	Developayella elegans	1917-1	DEAD		Stramenopiles	Developea	Developayella		DTOL	
uhPryParv	Prymnesium parvum	941-1A	SUBMITTED	97485	Haptophyta	Prymnesiaceae	Prymnesium		DTOL	sample_collected
	Coleps hirtus	1613-1	SUBMITTED	60000	Alveolata/Ciliophora	Colepidae	Coleps		DTOL	sample_collected
No_TOLID	Aulacoseira ambigua	1002-9	SUBMITTED	49234	Stramenopiles/ Ochrophyta	Aulacoseiraceae	Aulacoseira		DTOL	sample_collected
No_TOLID	Entomoneis alata	1003-3	SUBMITTED	2873653	Stramenopiles/ Ochrophyta	Entomoneidaceae	Entomoneis		DTOL	sample_collected
No_TOLID	Chaetoceros debilis	1010-6	SUBMITTED	122233	Stramenopiles/ Ochrophyta	Chaetocerotaceae	Chaetoceros		DTOL	sample_collected
	Fragilaria crotonensis	1029-13	COLLECTED		Stramenopiles/ Ochrophyta	Fragilariaceae	Fragilaria		DTOL	sample_collected
No_TOLID	Marsupiomonas pelliculata	105-1	SUBMITTED	1034818	Chlorophyta	Marsupiomonadaceae	Marsupiomonas		DTOL	sample_collected
No_TOLID	Trieres chinensis	1086-1	SUBMITTED	1514140	Stramenopiles/ Ochrophyta	Tricertatiaceae	Trieres		DTOL	sample_collected
No_TOLID	Microglena monadina	11-27	SUBMITTED	47904	Chlorophyta	Chlamydomonadaceae	Microglena		DTOL	sample_collected
	Cercomonas pigra	1910-5	GROWING		Cercozoa	Cercomonadidae	Cercomonas		DTOL	sample_collected
	Paracercomonas ambulans	1957-4	GROWING		Cercozoa	Cercomonadidae	Paracercomonas		DTOL	sample_collected
No_TOLID	Nephroselmis rotunda	1960-3	SUBMITTED	344402	Chlorophyta		Nephroselmis		DTOL	sample_collected
	Rhogostoma micra	1966-2	GROWING		Cercozoa	Rhogostomidae	Rhogostoma		DTOL	sample_collected
No_TOLID	Chloroidium ellipsoideum	211-76	SUBMITTED	63676	Chlorophyta	Chlorellaceae	Chloroidium		DTOL	sample_collected
No_TOLID	Micractinium pusillum	231-1	SUBMITTED	126839	Chlorophyta	Chlorellaceae	Micractinium		DTOL	sample_collected
No_TOLID	Chlorococcum hypnosporum	237-1	SUBMITTED	44650	Chlorophyta	Chlorococcaceae	Chlorococcum		DTOL	sample_collected
No_TOLID	Klebsormidium subtile	335-17	SUBMITTED	937591	Chlorophyta	Klebsormidiaceae	Klebsormidium		DTOL	sample_collected
	Microspora amoena	348-1			Chlorophyta	Microsporaceae	Microspora		DTOL	
No_TOLID	Balticola droebakensis	5-1	SUBMITTED	1328805	Chlorophyta	Haematococcaceae	Balticola		DTOL	sample_collected
	Hyalotheca dissiliens	637-2	GROWING		Streptophyta/Charophyta	Desmidiaceae	Hyalotheca		DTOL	sample_collected
	Mougeotia sp.	650-1	SUBMITTED	2589022	Streptophyta/Charophyta	Zygnemataceae	Mougeotia		DTOL	sample_collected
No_TOLID	Selenastrum bibraianum	278-1	SUBMITTED	81817	Chlorophyta	Selenastraceae	Selenastrum		DTOL	sample_collected
No_TOLID	Chrysotila stipitata	918-2	SUBMITTED	424540	Haptophyta	Isochrysidaceae	Chrysotila		DTOL	sample_collected
	Cymatosira belgica	1018-2	COLLECTED		Stramenopiles/ Ochrophyta	Cymatosiraceae	Cymatosira		DTOL	sample_collected
	Surirella sp.	1071-2	COLLECTED		Stramenopiles/ Ochrophyta	Surirellaceae	Surirella		DTOL	sample_collected
	Monoraphidium griffithii	202-11A	SUBMITTED	2528165	Chlorophyta	Selenastraceae	Monoraphidium		DTOL	sample_collected
No_TOLID	Monoraphidium tortile	202-19	SUBMITTED	2873797	Chlorophyta	Selenastraceae	Monoraphidium		DTOL	sample_collected
	Keratococcus bicaudatus	202-21	COLLECTED		Chlorophyta	Selenastraceae	Keratococcus		DTOL	sample_collected
	Drepanochloris nannoselene	202-6B	COLLECTED		Chlorophyta	Selenastraceae	Drepanochloris		DTOL	sample_collected
No_TOLID	Graesiella emersonii	211-15	SUBMITTED	95581	Chlorophyta	Chlorellaceae	Graesiella		DTOL	sample_collected
	Gloeocystis sp.	31-4	COLLECTED		Chlorophyta	Radiococcaceae	Gloeocystis		DTOL	sample_collected
	Nolandella abertawensis	1534-9	COLLECTED		Amoebozoa	Hartmannellidae	Nolandella		DTOL	sample_collected
No_TOLID	Apusomonas proboscidea	1905-1	SUBMITTED	41120	Apusozoa	Apusomonadidae	Apusomonas		DTOL	sample_collected
	Synedra sp.	1080-12	COLLECTED		Stramenopiles/ Ochrophyta	Fragilariaceae	Synedra		DTOL	sample_collected
	Pascherina tetras	159-2	COLLECTED		Chlorophyta	Spondylimoraceae	Pascherina		DTOL	sample_collected
No_TOLID	Allovahlkampfia minuta	2502-7	SUBMITTED	2026923	Amoebozoa/Discoba	Vahlkampfiidae	Allovahlkampfia		DTOL	sample_collected
	Coelastrum proboscideum	217-6	COLLECTED		Chlorophyta	Scenedesmaceae	Coelastrum		DTOL	sample_collected
No_TOLID	Messastrum gracile	278-2A	SUBMITTED	81816	Chlorophyta	Selenastraceae	Messastrum		DTOL	sample_collected
	Chlorolobion braunii	202-7E	GROWING		Chlorophyta	Selenastraceae	Chlorolobion		DTOL	sample_collected
No_TOLID	Coelastrella oocystiformis	277-1	SUBMITTED	75804	Chlorophyta	Scenedesmaceae	Coelastrella		DTOL	sample_collected
	Multimonas media	1901-3	GROWING		Apusozoa	Apusomonadidae	Multimonas		DTOL	sample_collected
	Neomonodus ovalis	822-1	COLLECTED		Stramenopiles	Pseudocharaciopsidaceae	Neomonodus		DTOL	sample_collected
No_TOLID	Thaumatomonas zhukovi	1974-1	SUBMITTED	1273174	Cercozoa	Thaumatomastigidae	Thaumatomonas		DTOL	sample_collected
	Tabellaria sp.	1081-7	COLLECTED		Stramenopiles/ Ochrophyta	Tabellariaceae	Tabellaria		DTOL	sample_collected
	Heterochlamydomonas rugosa	11-95	COLLECTED		Chlorophyta	Chlamydomonadaceae	Heterochlamydomonas		DTOL	sample_collected
	Mayorella cantabrigiensis	1547-7	GROWING		Amoebozoa	Dermamoebida	Mayorella		DTOL	sample_collected
	Paramecium bursaria	1660-12	DEAD		Alveolata/Ciliophora	Parameciidae	Paramecium		DTOL	
	Vorticella microstoma	1690-3	COLLECTED		Alveolata/Ciliophora	Vorticellidae	Vorticella		DTOL	sample_collected
	Allas oxoniensis	1903-2	GROWING		Cercozoa	Thaumatomonadida	Allas		DTOL	sample_collected
	Neoheteromita globosa	1961-1	DEAD		Chlorophyta		Neoheteromita		DTOL	
	Monoraphidium convolutum	202-10A	GROWING		Chlorophyta	Selenastraceae	Monoraphidium		DTOL	sample_collected
	Micractinium sp.	211-11F	COLLECTED		Chlorophyta	Chlorellaceae	Micractinium		DTOL	sample_collected
	Microspora stagnorum	348-3	COLLECTED		Chlorophyta	Microsporaceae	Microspora		DTOL	sample_collected
	Tetrastrum staurogeniiforme	284-1	GROWING		Chlorophyta	Oocystaceae	Tetrastrum		DTOL	sample_collected
	Geminella sp.	384-3	GROWING		Chlorophyta	Chlorellaceae	Geminella		DTOL	sample_collected
	Draparnaldia mutabilis	418-1A	COLLECTED		Chlorophyta	Chaetophoraceae	Draparnaldia		DTOL	sample_collected
	Draparnaldia glomerata	418-2	COLLECTED		Chlorophyta	Chaetophoraceae	Draparnaldia		DTOL	sample_collected
	Raphidonema sp.	470-3	COLLECTED		Chlorophyta	Koliellaceae	Raphidonema		DTOL	sample_collected
	Phacotus lenticularis	61-1	COLLECTED		Chlorophyta	Phacotaceae	Phacotus		DTOL	sample_collected
	Cylindrocystis brebissonii	615-1A	COLLECTED		Streptophyta/Charophyta	Mesotaeniaceae	Cylindrocystis 		DTOL	sample_collected
	Polytomella magna	63-3	GROWING		Chlorophyta	Chlamydomonadaceae	Polytomella		DTOL	sample_collected
	Staurastrum polymorphum	679-14	COLLECTED		Streptophyta/Charophyta	Desmidiaceae	Staurastrum		DTOL	sample_collected
	Paraphysomonas ovalis	935-15	GROWING		Stramenopiles/ Ochrophyta	Paraphysomonadaceae	Paraphysomonas		DTOL	sample_collected
	Pseudopedinella sp.	947-1A	GROWING		Stramenopiles/ Ochrophyta		Pseudopedinella		DTOL	sample_collected
	Cyanophora paradoxa	981-1	COLLECTED		Glaucophyta	Cyanophoraceae	Cyanophora		DTOL	sample_collected
