species	phylum/class/family	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_gb	phase	notes	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Paraleucilla magna	Porifera	Metazoa	Greece_HCMR	365391	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Paranemonia vouliagmenensis	Cnidaria	Metazoa	Greece_HCMR	NO NCBI ID	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Madracis pharensis / Leptopsammia pruvoti (cave-dwelling)	Cnidaria	Metazoa	Greece_HCMR		next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Cladocora caespitosa	Cnidaria	Metazoa	Greece_HCMR	130055	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Cerianthus membranaceus	Cnidaria	Metazoa	Greece_HCMR	208460	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Ficopomatus enigmaticus	Polychaeta	Metazoa	Greece_HCMR	283780	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Serpula vermicularis	Polychaeta	Metazoa	Greece_HCMR	249369	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Bonellia viridis	Polychaeta	Metazoa	Greece_HCMR	47118	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Charonia tritonis	Mollusca	Metazoa	Greece_HCMR	1960912	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Lithophaga lithophaga	Mollusca	Metazoa	Greece_HCMR	112135	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Thylacodes arenarius	Mollusca	Metazoa	Greece_HCMR	??	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Aplysia dactylomela	Mollusca	Metazoa	Greece_HCMR	144766	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Reteporella mediterranea	Bryozoa	Metazoa	Greece_HCMR	??	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Smittina cervicornis	Bryozoa	Metazoa	Greece_HCMR	2865396	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Adeonella calveti	Bryozoa	Metazoa	Greece_HCMR	2576531	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Reptadeonella violacea	Bryozoa	Metazoa	Greece_HCMR	2951297	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Scyllarides latus	Arthropoda	Metazoa	Greece_HCMR	204053	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Plesionika narval	Arthropoda	Metazoa	Greece_HCMR	1073557	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Palinurus elephas	Arthropoda	Metazoa	Greece_HCMR	198232	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Echinaster sepositus	Echinoderma	Metazoa	Greece_HCMR	72721	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Antedon mediterranea	Echinoderma	Metazoa	Greece_HCMR	105859	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
Cystodytes dellechiajei	Ascidiacea	Metazoa	Greece_HCMR	260824	next	other_priority					GREECE-HSP	GREECE-HSP		GREECE-HSP									
