	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
132	62006	Glomeris	marginata	Glomeridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
133	1008810	Julus	scandinavius	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
134	541046	Julus	scanicus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
135	1008825	Kryphioiulus	occultus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
136	52423	Megaphyllum	sjaelandicum	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
137	1569492	Melogona	broelemanni	Chordeumatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
138	NA	Mycogona	germanica	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
139	118473	Nemasoma	varicorne	Nemasomatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
140	1008866	Ommatoiulus	sabulosus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
141	118470	Ophyiulus	pilosus	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
142	1068628	Polydesmus	angustus	Polydesmidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
143	510027	Polydesmus	complanatus	Polydesmidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
144	118488	Polyzonium	germanicum	Polyzoniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
145	88024	Proteroiulus	fuscus	Blaniulidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
146	NA	Rossiulus	vilnensis	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
147	1392627	Strongylosoma	stigmatosum	Paradoxosomatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
148	433595	Tachypodoiulus	niger	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
149	1522044	Xestoiulus	laeticollis	Julidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
150	89972	Campodea	plusiochaeta	Campodeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
151	735358	Buchholzia	appendiculata	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
152	1502715	Cognettia	cognettii	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
153	913645	Enchytraeus	crypticus	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
154	913647	Enchytraeus	norvegicus	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
155	913705	Oconnorella	tubifera	Enchytraeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
156	224784	Stratiolaelaps	miles	Laelapidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
157	2234139	Pergamasus	crassipes	Parasitidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
158	44414	Phytoseiulus	persimilis	Phytoseiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
159	565147	Dendrobaena	attemsi	Lumbricidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
160	70201	Acrobeloides		Cephalobidae		in_assembly	cf. buchneri	metainvert			metainvert	metainvert	metainvert			
161	290746	Acrobeloides	nanus	Cephalobidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
162	70201	Acrobeloides	obliquus	Cephalobidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
163	96599	Acrobeloides	thornei	Cephalobidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
164	70226	Aphelenchus	avenae	Aphelenchidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
165	288457	Discolaimus	major	Qudsianematidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
166	97005	Heterodera	schachtii	Heteroderidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
167	6306	Meloidogyne	incognita	Meloidogynidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
168	344383	Mesodorylaimus	bastiani	Dorylaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
169	6233	Panagrellus	redivivus	Panagrolaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
170	310956	Panagrolaimus	detritophagus	Panagrolaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
171	6243	Phasmarhabditis	papillosa	Rhabditidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
172	2072759	Plectus	exinocaudatus	Plectidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
173	211404	Plectus	parietinus	Plectidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
174	96659	Poikilolaimus	oxycerca	Rhabditidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
175	293874	Prionchulus	punctatus	Mononchidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
176	288633	Prismatolaimus	dolichurus	Prismatolaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
177	288490	Rotylenchus	robustus	Hoplolaimidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
178	229769	Achipteria	coleoptrata	Achipteriidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
179	229768	Achipteria	nitens	Achipteriidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
180	708363	Adoristes	ovatus	Liacaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
181	229743	Atropacarus	striculus	Steganacaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
182	2241992	Belba	bartosi	Damaeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
183	198258	Camisia	spinifer	Camisiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
184	229793	Carabodes	femoralis	Carabodidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
185	1686620	Ceratozetes	gracilis	Ceratozetidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
186	503572	Chamobates	pusillus	Chamobatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
187	198262	Chamobates	voigtsi	Chamobatidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
188	NA	Conchogneta	dalecarlica	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
189	1401282	Ctenobelba	pectinigera	Ctenobelbidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
190	2421364	Cultroribula	bicultrata	Astegistidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
191	2202870	Dissorhina	ornata	Oppiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
192	2202872	Edwardzetes	edwardsi	Ceratozetidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
193	229763	Eniochthonius	minutissimus	Eniochthoniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
194	1401269	Eueremaeus	valkanovi	Eremaeidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
195	2234141	Eupelops	occultus	Phenopelopidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
196	198282	Eupelops	torulosus	Phenopelopidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
197	334610	Euzetes	globulus	Euzetidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
198	1686651	Fuscozetes	fuscipes	Ceratozetidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
199	229834	Galumna	lanceata	Galumnidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
200	885392	Galumna	obvia	Galumnidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
201	1685391	Gustavia	microcephala	Gustaviidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
202	2547479	Hafenrefferia	gilvipes	Tenuialidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
203	2664691	Heminothrus	targionii	Camisiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
204	229873	Hermannia	gibba	Hermanniidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
205	885393	Hermanniella	punctulata	Hermanniellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
206	198285	Liacarus	coracinus	Liacaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
207	198284	Liacarus	xylariae	Liacaridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
208	NA	Licneremaeus	licnophorus	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
209	1250587	Liebstadia	similis	Liebstadiidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
210	1797415	Malaconothrus	monodactylus	Malaconothridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
