"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	"vgp_phase"
"blackcap"	"Sylviidae"	"Passeriformes"	"Sylvia atricapilla"	"8-NCBI"	"48155"	"phase4"
"northern pike"	"Esocidae"	"Esociformes"	"Esox lucius"	"8-NCBI"	"8010"	"phase1"
"speckled mousebird"	"Coliidae"	"Coliiformes"	"Colius striatus"	"2-data_progress"	"57412"	"phase1"
"Red-legged seriema"	"Cariamidae"	"Cariamiformes"	"Cariama cristata"	"8-NCBI"	"54380"	"phase1"
"pygmy sperm whale"	"Physeteridae"	"Artiodactyla"	"Kogia breviceps"	"3-data_done"	"27615"	"phase2"
"common brushtail"	"Phalangeridae"	"Diprotodontia"	"Trichosurus vulpecula"	"8-NCBI"	"9337"	"phase1"
"Blainville's beaked whale"	"Ziphiidae"	"Artiodactyla"	"Mesoplodon densirostris"	"3-data_done"	"48708"	"phase2"
"snub-nosed viper"	"Viperidae"	"Squamata"	"Vipera latastei"	"7-asm_curated"	"246179"	"phase1"
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"7-asm_curated"	"9031"	"other"
"Common canary"	"Fringillidae"	"Passeriformes"	"Serinus canaria"	"1-DNA_isolation"	"9135"	"phase3"
"blunt-snouted clingfish"	"Gobiesocidae"	"Blenniiformes"	"Gouania willdenowi"	"8-NCBI"	"441366"	"phase1"
"cinnamon teal"	"Anatidae"	"Anseriformes"	"Spatula cyanoptera"	"5-asm_done"	"75840"	"phase3"
"Canada lynx"	"Felidae"	"Carnivora"	"Lynx canadensis"	"8-NCBI"	"61383"	"phase1"
"slow loris"	"Lorisidae"	"Primates"	"Nycticebus coucang"	"2-data_progress"	"9470"	"phase1"
"European shrew"	"Soricidae"	"Eulipotyphla"	"Sorex araneus"	"5-asm_done"	"42254"	"phase3"
"Adriatic sturgeon"	"Acipenseridae"	"Acipenseriformes"	"Acipenser naccarii"	"2-data_progress"	"42330"	"phase4"
"great cormorant"	"Phalacrocoracidae"	"Pelecaniformes"	"Phalacrocorax carbo"	"1-DNA_isolation"	"9209"	"phase1"
"Blue whale"	"Balaenopteridae"	"Artiodactyla"	"Balaenoptera musculus"	"8-NCBI"	"9771"	"phase2"
"tufted titmouse"	"Paridae"	"Passeriformes"	"Baeolophus bicolor"	"1-DNA_isolation"	"88114"	"phase3"
"yellow-throated sandgrouse"	"Pteroclidae"	"Pterocliformes"	"Pterocles gutturalis"	"8-NCBI"	"240206"	"phase1"
"acorn worm"	"Harrimaniidae"	"Enteropneusta"	"Saccoglossus kowalevskii"	"0-data_queued"	"10224"	"phase4"
"thorny skate"	"Rajidae"	"Rajiformes"	"Amblyraja radiata"	"8-NCBI"	"386614"	"phase1"
"wood frog"	"Ranidae"	"Anura"	"Rana sylvatica"	"3-data_done"	"45438"	"phase4"
"electric eel"	"Gymnotidae"	"Gymnotiformes"	"Electrophorus electricus"	"8-NCBI"	"8005"	"phase1"
"Botta's pocket gopher"	"Geomyidae"	"Rodentia"	"Thomomys bottae"	"0-data_queued"	"10013"	"phase1"
"torafugu"	"Tetraodontidae"	"Tetraodontiformes"	"Takifugu rubripes"	"8-NCBI"	"31033"	"phase1"
"Atlantic ridley"	"Cheloniidae"	"Testudines"	"Lepidochelys kempii"	"0-data_queued"	"8472"	"phase3"
"American goldfinch"	"Fringillidae"	"Passeriformes"	"Spinus tristis"	"1-DNA_isolation"	"54773"	"phase3"
"jewelled blenny"	"Blenniidae"	"Blenniiformes"	"Salarias fasciatus"	"8-NCBI"	"181472"	"phase1"
"white-breasted nuthatches"	"Sittidae"	"Passeriformes"	"Sitta carolinensis"	"2-data_progress"	"50250"	"phase2"
"rainbow smelt"	"Osmeridae"	"Osmeriformes"	"Osmerus mordax"	"3-data_done"	"8014"	"phase1"
"Ring-tailed lemur"	"Lemuridae"	"Lemuriformes"	"Lemur catta"	"8-NCBI"	"9447"	"phase1"
"warty frogfish"	"Antennariidae"	"Lophiiformes"	"Antennarius maculatus"	"8-NCBI"	"882753"	"phase1"
"blue jay"	"Corvidae"	"Passeriformes"	"Cyanocitta cristata"	"2-data_progress"	"28727"	"phase4"
"white-breasted nuthatches"	"Sittidae"	"Passeriformes"	"Sitta carolinensis"	"0-data_queued"	"50250"	"phase4"
"lammergeier"	"Accipitridae"	"Falconiformes"	"Gypaetus barbatus"	"6-asm_curation"	"33610"	"phase3"
"blackbird"	"Turdidae"	"Passeriformes"	"Turdus merula"	"5-asm_done"	"9187"	"phase4"
"House wren"	"Certhiidae"	"Passeriformes"	"Troglodytes aedon"	"0-data_queued"	"58211"	"phase2"
"Suruca trogon"	"Trogonidae"	"Trogoniformes"	"Trogon surrucura"	"8-NCBI"	"297711"	"phase1"
"tammar wallaby"	"Macropodidae"	"Diprotodontia"	"Macropus eugenii"	"4-asm_progress"	"9315"	"phase1"
"Swamp sparrow"	"Passerellidae"	"Passeriformes"	"Melospiza georgiana"	"3-data_done"	"44398"	"phase4"
"chub mackerel"	"Scombridae"	"Scombriformes"	"Scomber japonicus"	"5-asm_done"	"13676"	"phase1"
"sea lamprey"	"Petromyzontidae"	"Petromyzontiformes"	"Petromyzon marinus"	"8-NCBI"	"7757"	"phase1"
"Swift parrot"	"Psittacidae"	"Psittaciformes"	"Lathamus discolor"	"2-data_progress"	"678569"	"phase3"
"largescale foureyes"	"Anablepidae"	"Cyprinodontiformes"	"Anableps anableps"	"8-NCBI"	"195821"	"phase1"
"saltmarsh sparrow"	"Passerellidae"	"Passeriformes"	"Ammodramus caudacutus"	"3-data_done"	"69262"	"phase4"
"lesser Egyptian jerboa"	"Dipodidae"	"Rodentia"	"Jaculus jaculus"	"8-NCBI"	"51337"	"phase1"
"red-crested turaco"	"Musophagidae"	"Musophagiformes"	"Tauraco erythrolophus"	"8-NCBI"	"121530"	"phase1"
"sharpnose sevengill shark"	"Hexanchidae"	"Hexanchiformes"	"Heptranchias perlo"	"1-DNA_isolation"	"212740"	"phase1"
"Gharial"	"Gavialidae"	"Crocodylia"	"Gavialis gangeticus"	"2-data_progress"	"94835"	"phase1"
"Yucatan manta ray"	"Mobulidae"	"Myliobatiformes"	"Manta giorna"	"2-data_progress"	"000000"	"phase2"
"prehistoric monster fish"	"Batrachoididae"	"Batrachoidiformes"	"Thalassophryne amazonica"	"8-NCBI"	"390379"	"phase1"
"rocket frog"	"Dendrobatidae"	"Anura"	"Anomaloglossus baeobatrachus"	"2-data_progress"	"238106"	"phase2"
"plains spadefoot toad"	"Pelobatidae"	"Anura"	"Spea bombifrons"	"2-data_progress"	"233779"	"phase1"
"yellowfin tuna"	"Scombridae"	"Scombriformes"	"Thunnus albacares"	"8-NCBI"	"8236"	"phase4"
"emu"	"Dromaiidae"	"Casuariiformes"	"Dromaius novaehollandiae"	"8-NCBI"	"8790"	"phase1"
"mallard"	"Anatidae"	"Anseriformes"	"Anas platyrhynchos"	"8-NCBI"	"8839"	"phase3"
"yellowfin seabream"	"Sparidae"	"Spariformes"	"Acanthopagrus latus"	"8-NCBI"	"8177"	"phase3"
"Siamese fighting fish"	"Osphronemidae"	"Anabantiformes"	"Betta splendens"	"8-NCBI"	"158456"	"phase2"
"golden spiny mouse"	"Muridae"	"Rodentia"	"Acomys russatus"	"8-NCBI"	"60746"	"phase3"
"southern grasshopper mouse"	"Cricetidae"	"Rodentia"	"Onychomys torridus"	"8-NCBI"	"38674"	"phase3"
"zebrafish"	"Danionidae"	"Cypriniformes"	"Danio rerio"	"8-NCBI"	"7955"	"other"
