Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Jungermanniaceae	Jungermannia	atrovirens	dtol								DTOL
Jungermanniaceae	Jungermannia	borealis	dtol								DTOL
Jungermanniaceae	Jungermannia	eucordifolia	dtol_family_representative			yes		DTOL		DTOL	DTOL
Jungermanniaceae	Jungermannia	polaris	dtol								DTOL
Jungermanniaceae	Jungermannia	pumila	dtol								DTOL
Jungermanniaceae	Liochlaena	lanceolata	dtol								DTOL
Jungermanniaceae	Mesoptychia	badensis	dtol								DTOL
Jungermanniaceae	Mesoptychia	bantriensis	dtol_other_priority			yes		DTOL	DTOL		DTOL
Jungermanniaceae	Mesoptychia	collaris	dtol								DTOL
Jungermanniaceae	Mesoptychia	fitzgeraldiae	dtol								DTOL
Jungermanniaceae	Mesoptychia	gillmanii	dtol								DTOL
Jungermanniaceae	Mesoptychia	heterocolpos	dtol								DTOL
Jungermanniaceae	Mesoptychia	rutheana	dtol								DTOL
Jungermanniaceae	Mesoptychia	turbinata	dtol								DTOL
Lejeuneaceae	Cololejeunea	calcarea	dtol								DTOL
Lejeuneaceae	Cololejeunea	microscopica	dtol								DTOL
Lejeuneaceae	Cololejeunea	rossettiana	dtol								DTOL
Lejeuneaceae	Colura	calyptrifolia	dtol				yes	DTOL			DTOL
Lejeuneaceae	Drepanolejeunea	hamatifolia	dtol								DTOL
Lejeuneaceae	Harpalejeunea	molleri	dtol								DTOL
Lejeuneaceae	Lejeunea	cavifolia	dtol								DTOL
Lejeuneaceae	Lejeunea	eckloniana	dtol								DTOL
Lejeuneaceae	Lejeunea	flava	dtol								DTOL
Lejeuneaceae	Lejeunea	hibernica	dtol								DTOL
Lejeuneaceae	Lejeunea	lamacerina	dtol								DTOL
Lejeuneaceae	Lejeunea	mandonii	dtol								DTOL
Lejeuneaceae	Lejeunea	patens	dtol_family_representative	yes				DTOL		DTOL	DTOL
Lejeuneaceae	Marchesinia	mackaii	dtol_other_priority						DTOL		DTOL
Lejeuneaceae	Microlejeunea	ulicina	dtol								DTOL
Lejeuneaceae	Myriocoleopsis	minutissima	dtol								DTOL
Lepidoziaceae	Bazzania	pearsonii	dtol			yes		DTOL			DTOL
Lepidoziaceae	Bazzania	tricrenata	dtol_family_representative			yes		DTOL		DTOL	DTOL
Lepidoziaceae	Bazzania	trilobata	dtol				yes	DTOL			DTOL
Lepidoziaceae	Kurzia	pauciflora	dtol								DTOL
Lepidoziaceae	Kurzia	sylvatica	dtol								DTOL
Lepidoziaceae	Kurzia	trichoclados	dtol				yes	DTOL			DTOL
Lepidoziaceae	Lepidozia	cupressina	dtol				yes	DTOL			DTOL
