"Order","Family","Genus","Species","femalediploidnumber","malediploidnumber","haploidnumber","reproductivemode","sexchromosome","notes","citation"
"Isoptera","Kalotermitidae","Neotermes","Neotermes insularis","NA","60","30","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Kalotermitidae","Procryptotermes","Procryptotermes australiensis","48","47","24","gonochorous","XXY","X1X1X2X2/X1X2Y1","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Isoptera","Stolotermitidae","Porotermes","Porotermes adamsoni","40","40","20","gonochorous","","","Luykx P (1990) A Cytogenetic Survey of 25 Species of Lower Termites from Australia. Genome 33: 80-88."
"Plecoptera","Perlidae","Perla","Perla abdominalis","26","26","13","gonochorous","XXOO","X1X1X2X2/X1X2OO","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Plecoptera","Perlidae","Perla","Perla bipunctata","22","21","11","gonochorous","XO","","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Plecoptera","Perlodidae","Isoperla","Isoperla grammatica","26","26","13","gonochorous","XXOO","X1X1X2X2/X1X2OO","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Plecoptera","Perlodidae","Isoperla","Isoperla rivulorum","26","26","13","gonochorous","XXOO","X1X1X2X2/X1X2OO","Matthey, R., and J. Aubert, 1947 les chromosomes des plecopteres. Bulletin biologique de la France et de la Belgique: 202-246."
"Orthoptera","Acrididae","Abracris","Abracris dilecta","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Amblytropidia","Amblytropidia australis","24","23","12","gonochorous","XO","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
"Orthoptera","Acrididae","Atrachelacris","Atrachelacris olivaceus","22","22","11","gonochorous","XY","","Mesa, A., Ferreira, A., & Carbonell, C. S. (1982). Cariologa de los acridoideos neotropicales: estado actual de su conocimiento y nuevas contribuciones. Ann Soc Ent Fr, 18, 507-526"
