input	suggested
Cicindela pimeria_	cicindela pimeriana
Cicindela punctulata_	cicindela punctulata
Cicindela purpurea_	cicindela purpurea
Cicindela repanda_	cicindela repanda
Cicindela rufiventris_	cicindela rufiventris
Cicindela rugatilis_	cicindela rugatilis
Cicindela scutellaris_	cicindela scutellaris
Cicindela scutellaris_lecontei_	cicindela scutellaris lecontei
Cicindela sedecimpunctata_	cicindela sedecimpunctata
Cicindela severa_	cicindela severa
Cicindela sexguttata_	cicindela sexguttata
Cicindela silvicola_	cicindela sylvicola
Cicindela tranquebarica_	cicindela tranquebarica
Cicindela trisigta	cicindela trisignata
Colliuris pennsylvanica_	colliuris pensylvanica
Craspedophorus angulatus_	craspedophorus angulatus
Cryptophonus tenebrosus_	cryptophonus tenebrosus
Cychrus caraboides_	cychrus caraboides
Cylindra germanica_	cylindera germanica
Demetrias atricapillus_	demetrias atricapillus
Diplocheila latifrons_	diplocheila latifrons
Dixus clypeatus_	dixus clypeatus
Dromius meridiolis	dromius meridionalis
Dromius piceus_	dromius piceus
Drypta dentata_	drypta dentata
Dyschirus globosus	dyschirius globosus
Galerita bicolor	galerina unicolor
Galerita indica	galerina indica
Harpalus aesculans_	harpalus aesculanus
Harpalus affinis_	harpactus affinis	harpalus affinis
Harpalus atratus_	harpalus atratus
Harpalus attenuatus_	harpalus attenuatus
Harpalus compar_	harpalus compar
Harpalus contemptus_	harpalus contemptus
Harpalus decipiens_	harpalus decipiens
Harpalus dimidiatus_	harpalus dimidiatus
Harpalus distinguendus_	harpalus distinguendus
Harpalus ebeninus_	harpalus ebeninus
Harpalus faunus_	harpalus faunus
Harpalus honestus_	harpalus honestus
Harpalus neglectus_	harpalus neglectus
Harpalus opacipennis_	harpalus opacipennis
Harpalus pennsylvanicus_	harpalus pensylvanicus
Harpalus rubripes_	harpalus rubripes
Harpalus serripes_	harpalus serripes
Harpalus wagnerii	harpalus wagneri
Laemostenus complatus	laemostenus complanatus
Lebia atriventris_	lebia atriventris
Licinus punctatulus_granulatus_	licinus punctatulus granulatus
Lophyra flexuosa_	lophyra flexuosa
Lophyridia lunulata_	lophyridia lunulata
Loricera pilicornis_	loricera pilicornis
Mantichora amigdaloides_	Manticora amygdaloides
Mantichora amigdaloides	Manticora amygdaloides
Megacephala brasiliensis_	megacephala brasiliensis
Megacephala cruciata_	megacephala cruciata
Megacephala sobri_	megacephala sobrina
Myriochile fastidiosa_	myriochila fastidiosa
Myriochile melancholica_	myriochila melancholica
Myriochile undulata_	myriochila undulata
Mystropomus subcostatus_	mystropomus subcostatus
Nebria brevicollis_	nebria brevicollis
Nesarpalus fortutus	nesarpalus fortunatus
Notiophilus quadripunctatus_	notiophilus quadripunctatus
Notonomus flos_	notonomus flos
Notonomus mediosulcatus_	notonomus mediosulcatus
Notonomus satrapa_	notonomus satrapa
Notonomus triplogenioides_	notonomus triplogenioides
Odotoncarus cephalotes	odontocarus cephalotes
Omus californicus_	omus californicus
Omus dejeani_	omus dejeanii
Oodes helopiodes	oodes helopioides
Ophonus azureus_	ophonus azureus
Ophonus cordatus_	ophonus cordatus
Ophonus longicollis_	ophonus longicollis
Ophonus parallelus_	ophonus parallelus
Ophonus stictus_	ophonus stictus
Orthomus barbarus_	orthomus barbarus
Oxycheila tristis_	oxycheila tristis
Pamborus opacus_	pamborus opacus
Pamborus tropicus_	pamborus tropicus
Percus politus_	percus politus
Percus quiraoi	percus guiraoi
Perileptus areolatus_	perileptus areolatus
Pheropsophus bimaculatus_	pheropsophus bimaculatus
Pheropsophus occipitalis_	pheropsophus occipitalis
Platyderus lusitanicus_	platyderus lusitanicus
Platyderus varians_	platyderus varians
Platymetopus flavilabris_	platymetopus flavilabris
Platynus assimile	platynus assimilis
Platynus decentis_	platynus decentis
Poecilus chalcites_	poecilus chalcites
Poecilus cupreus_	poecilus cupreus
Poecilus kugelanni_	poecilus kugelanni
Poecilus lepidus_	poecilus lepidus
Poecilus lucublandus_	poecilus lucublandus
Poecilus quadricollis_	poecilus quadricollis
Poecilus versicolor_	poecilus versicolor
Pogonus chalceus_	pogonus chalceus
Pogonus meridiolis	pogonus meridionalis
Procrustes cariacens	procrustes coriaceus
Pseudotetracha blackburni_1	pseudotetracha blackburni
Pseudotetracha blackburni_2	pseudotetracha blackburni
Pseudotetracha whelani_	pseudotetracha whelani
Pterostichus aethiops_	pterostichus aethiops
Pterostichus alacer_	pterostichus alacer
Pterostichus anthracinus_	pterostichus anthracinus
Pterostichus bicolor_	pterostichus bicolor
Pterostichus cristatus_	pterostichus cristatus
Pterostichus diligens_	pterostichus diligens
Pterostichus flavofemoratus_	pterostichus flavofemoratus
Pterostichus ghiliani_	pterostichus ghilianii
Pterostichus gracile_	pterostichus gracilis
Pterostichus herculaneus_	pterostichus herculaneus
Pterostichus interruptus_	pterostichus interruptus
Pterostichus madidus_	pterostichus madidus
Pterostichus melas_	pterostichus melas
Pterostichus minor_	pterostichus minor
Pterostichus morio_	pterostichus morio
Pterostichus multipunctatus_	pterostichus multipunctatus
Pterostichus nemoralis_	pterostichus nemoralis
Pterostichus niger_	pterostichus niger
Pterostichus nigrita_	pterostichus nigrita
Pterostichus oblongopunctatus_	pterostichus oblongopunctatus
Pterostichus rhaeticus_	pterostichus rhaeticus
Pterostichus ziegleri_	pterostichus ziegleri
Scarites buparius_	scarites buparius
Scarites eurytus_	scarites eurytus
Scarites hespericus_	scarites hespericus
Scarites laevigatus_	scarites laevigatus
Scarites occidentalis_	scarites occidentalis
Scarites subterraneus_	scarites subterraneus
Scarites terricola_	scarites terricola
Stenolophus lecontei_	stenolophus lecontei
Stenolophus mixtus_	stenolophus mixtus
Stenolophus skrimshireanus	stenolophus skrimshiranus
Stenolophus teutonus_	stenolophus teutonus
Stomis pumicatus_	stomis pumicatus
Synchus vivalis	synuchus vivalis
Syntomus foveatus_	syntomus foveatus
Syntomus obscuroguttatus_	syntomus obscuroguttatus
Syrdenus grayi	sirdenus grayii
Taenidia circumdata_	taenidia circumdata
Thalassotrechus barabarae	thalassotrechus barbarae
Trechus obtusus_	trechus obtusus
Trechus pilisensis_	trechus pilisensis
Trechus pulchellus_	trechus pulchellus
Trechus quadristriatus_	trechus quadristriatus
Trichosternus vigorsi_	trichosternus vigorsi
Zabrus angustatus_	zabrus angustatus
Zabrus curtus_arragonensis	zabrus curtus arragonensis
Zabrus curtus_neglectus	zabrus curtus neglectus
Zabrus laevigatus_	zabrus laevigatus
Zabrus obesus_	zabrus obesus
Zabrus seidlitzi_	zabrus seidlitzi
Zabrus seidlitzi_gredosanus	zabrus seidlitzi gredosanus
Zabrus urbionensis	zabrus urbionesis
Acalolepta fraudatrix_	acalolepta fraudatrix
Acalolepta luxuriosa_	acalolepta luxuriosa
Acanthocinus aedilis_	acanthocinus aedilis
Acanthocinus griseus_	acanthocinus griseus
Acmaeops proteus_	acmaeops proteus
Aegosoma scabricorne_	aegosoma scabricorne
Aeloesthes holosericea_	aeolesthes holosericea
Aesthetis testacea_	anaesthetis testacea
Agapanthia daurica_	agapanthia daurica
Agapanthia villosoviridescens_	agapanthia villosoviridescens
Anoplophora malasiaca_	anoplophora malasiaca
Asemum striatum_	asemum striatum
Batocera rubus_	batocera rubus
Callidium violaceum_	callidium violaceum
Callipogon armillatus_	callipogon armillatus
Cerambyx scopolii_	cerambyx scopolii
Chloridolum thaliodes_	chloridolum thaliodes
Chlorophorus annularis_	chlorophorus annularis
Chlorophorus figuratus_	chlorophorus figuratus
Clytus arietis_	clytus arietis
Clytus lama_	clytus lama
Clytus melaenus_	clytus melaenus
Cyrtoclytus caproides_	cyrtoclytus caproides
Distenia gracilis_	distenia gracilis
Epiglenea comes_	epiglenea comes
Ergates faber_	ergates faber
Eutrapha ocelota_	eutetrapha ocelota
Exocentrus adspersus_	exocentrus adspersus
Exocentrus lusitanus_	exocentrus lusitanus
Exocentrus punctipennis_	exocentrus punctipennis
Lagochirus araeiformis_	lagocheirus araneiformis
Liopus nebulosus_	leiopus nebulosus
Mallodon dasystomum	mallodon dasystomus
Mecynippus pubicornis_	mecynippus pubicornis
Mesechthistatus binodosus_	mesechthistatus binodosus
Mesosa nebulosa_	mesosa nebulosa
Molorchus umbellatarum_	molorchus umbellatarum
Monochamus altertus	monochamus alternatus
Monochamus notatus_	monochamus notatus
Monochamus saltuarius_	monochamus saltuarius
Monochamus sartor_	monochamus sartor
Monochamus scutellatus_	monochamus scutellatus
Monochamus sutor_	monochamus sutor
Morimus orientalis	hormius orientalis
Oberea affinis_	oberea affinis
Oberea oculata_	oberea oculata
Oberea tripunctata_	oberea tripunctata
Obrium brunneum_	obrium brunneum
Olenecamptus octopustulatus_chinensis	olenecamptus octopustulatus chinensis
Olenocamptus bilobus_	olenecamptus bilobus
Phymatodes maaki_	phymatodes maaki
Phytoecia coerulescens	phytoecia caerulescens
Phytoecia nigricornis_	phytoecia nigricornis
Plagionotus arcuatus_	plagionotus arcuatus
Plagionotus pulcher_	plagionotus pulcher
Plectura metallica_	plectrura metallica
Pogonocherus decoratus_	pogonocherus decoratus
Pogonocherus fasciculatus_	pogonocherus fasciculatus
Pogonocherus hispidulus_	pogonocherus hispidulus
Pogonocherus hispidus_	pogonocherus hispidus
Prionus coriarius_	prionus coriarius
Psenocerus supernotatus_	psenocerus supernotatus
Pterolophia rigida_	pterolophia rigida
Pyrestes haematicus_	pyrestes haematicus
Rhagium bifasciatum_	rhagium bifasciatum
Rhagium inquisitor_	rhagium inquisitor
Rhagium mordax_	rhagium mordax
Rhagium syncophanta	rhagium sycophanta
Saperda perforata_	saperda perforata
Saperda populnea_	saperda populnea
Saperda scalaris_	saperda scalaris
Saphanus piceus_	saphanus piceus
Solenoptera caliculata	solenoptera canaliculata
Spondylis buprestoides_	spondylis buprestoides
Stenostola ferrea_	stenostola ferrea
Strangalia maculata_	strangalia maculata
Stromatium barbatum_	stromatium barbatum
Tetraopes femoratus_	tetraopes femoratus
Tetropium castaneum_	tetropium castaneum
Tetropium fuscum_	tetropium fuscum
Tetropium gabrieli_	tetropium gabrieli
Tetrops praeusta_	tetrops praeustus
Uraecha bimaculata_	uraecha bimaculata
Vesperus xatari	vesperus xatarti
Xylotrechus smei_	xylotrechus smei
Dicronocephalus wallichi	dicronocephalus wallichii
Euphoria lurida	euphorbia lucida	euphorbia lurida
Gymnetis pantherina	gymnotus pantherinus
Mecynorhina polyphemus	mecynorrhina polyphemus
Acalymma blandulum_	acalymma blandulum
Acalymma fairmairei_	acalymma fairmairei
Acalymma innuba_	acalymma innubum
Acalymma trivittatum_	acalymma trivittatum
Acalymma vittatum_	acalymma vittatum
Acanthoscelides obtectus_	acanthoscelides obtectus
Agelastica caerulae	agelastica coerulea
Agelastica coerulea_	agelastica coerulea
Agroiconota propinqua_	agroiconota propinqua
Alagoasa bicolor_	alagoasa bicolor
Alagoasa cruxnigra_	alagoasa cruxnigra
Alagoasa decemguttata	alagoasa decemgutatta
Alagoasa decemguttata_	alagoasa decemgutatta
Alagoasa extrema_	alagoasa extrema
Alagoasa libenti_	alagoasa libentina
Altica ambiens_	altica ambiens
Altica ampelophaga_	altica ampelophaga
Altica brevicollis_	altica brevicollis
Altica chalybea_	altica chalybea
Altica coerulea_	altica coerulea
Altica corni_	altica corni
Altica lythri_	altica lythri
Altica oleeracea_	altica oleracea
Altica subplicata_	altica subplicata
Altica tamaricis_	altica tamaricis
Amphelsasma cavum_	amphelasma cavum
Aphtho cyparissiae_	aphthona cyparissiae
Aphtho depressa_	aphthona depressa
Aphtho herbigrada_	aphthona herbigrada
Aphtho lutescens_	aphthona lutescens
Aphtho nigriceps_	aphthona nigriceps
Aphtho venustula_	aphthona venustula
Argopus orientalis	pygopus orientalis
Arrhenocoela lineata_	arrhenocoela lineata
Asphaera unicolor_	asphaera unicolor
Aspidimorpha furcata_	aspidimorpha furcata
Aspidimorpha miliaris	aspidomorpha miliaris
Aspidimorpha miliaris_	aspidomorpha miliaris
Aulacophora cincta_	aulacophora cincta
Aulacophora fovecollis_	aulacophora foveicollis
Aulacophora semifusca_	aulacophora semifusca
Aulacoscelis melanocera_	aulacoscelis melanocera
Basilepta fuvipes	basilepta fulvipes
Basilepta fuvipes_	basilepta fulvipes
Blepharida rhois_	blepharida rhois
Bromius obscurus_	bromius obscurus
Bruchidius aureus_	bruchidius aureus
Bruchidius saundersi_	bruchidius saundersi
Bruchidius urbanus_	bruchidius urbanus
Bruchus pisorum_	bruchus pisorum
Bruchus rufimanus_	bruchus rufimanus
Calligrapha alni_	calligrapha alni
Calligrapha alnicola_	calligrapha alnicola
Calligrapha amator_	calligrapha amator
Calligrapha apicalis_	calligrapha apicalis
Calligrapha bidenticola_	calligrapha bidenticola
Calligrapha confluens_	calligrapha confluens
Calligrapha fulvipes_	calligrapha fulvipes
Calligrapha ostryae_	calligrapha ostryae
Calligrapha philadelphica_	calligrapha philadelphica
Calligrapha polyspila_	calligrapha polyspila
Calligrapha pruni_	calligrapha pruni
Calligrapha scalaris_	calligrapha scalaris
Calligrapha verrucosa_	calligrapha verrucosa
Calligrapha vici_	calligrapha vicina
Calligrapha virginea_	calligrapha virginea
Callosobruchus chinensis_	callosobruchus chinensis
Callosobruchus maculatus_	callosobruchus maculatus
Callosobruchus subinnotatus_	callosobruchus subinnotatus
Caryedon acaciae_	caryedon acaciae
Caryedon serratus_	caryedon serratus
Cassida algirica_	cassida algirica
Cassida azurea_	cassida azurea
Cassida bergeali_	cassida bergeali
Cassida circumdata_	cassida circumdata
Cassida flaveola_	cassida flaveola
Cassida fuscorufa_	cassida fuscorufa
Cassida hemisphaerica_	cassida hemisphaerica
Cassida leucanthemi_	cassida leucanthemi
Cassida margaritacea_	cassida margaritacea
Cassida nebulosa_	cassida nebulosa
Cassida pannonica_	cassida pannonica
Cassida panzeri_	cassida panzeri
Cassida prasi_	cassida prasina
Cassida rubiginosa_	cassida rubiginosa
Cassida sanguinolenta_	cassida sanguinolenta
Cassida sanguinosa_	cassida sanguinosa
Cassida subreticulata_	cassida subreticulata
Cassida vibex_	cassida vibex
Cassida virdis_	cassida viridis
Cassida vittata_	cassida vittata
Cerotoma atrofasciata_	cerotoma atrofasciata
Cerotoma ruficornis_	cerotoma ruficornis
Chaetocnema chloropha_	chaetocnema chlorophana
Chaetocnema concin_	chaetocnema concinna
Chaetocnema conducta_	chaetocnema conducta
Chaetocnema depressa_	chaetocnema depressa
Chaetocnema tibialis_	chaetocnema tibialis
Chalcopha cincta_	chalcophana cincta
Chalepus sanguinicollis_	chalepus sanguinicollis
Charidotella sexpunctata_	charidotella sexpunctata
Chelymorpha cassidea	chelymorpha cassida
Chrysochus asclepiadeus_	chrysochus asclepiadaeus	chrysochus asclepiadeus
Chrysochus auratus_	chrysochus auratus
Chrysochus cobaltinus_	chrysochus cobaltinus
Chrysoli affinis_	chrysolina affinis
Chrysoli america_	chrysolina americana
Chrysoli aurichalcea	chrysolina aurichalcea
Chrysoli banksi_	chrysolina banksi	chrysolina banksii
Chrysoli bicolor_	chrysolina bicolor
Chrysoli carnifex_	chrysolina carnifex
Chrysoli cerealis_	chrysolina cerealis
Chrysoli coerulans_	chrysolina coerulans
Chrysoli colasi	chrysolina colasi
Chrysoli colasi_	chrysolina colasi
Chrysoli curvilinea_	chrysolina curvilinea
Chrysoli diluta_	chrysolina diluta
Chrysoli exanthematica_	chrysolina exanthematica
Chrysoli fastuosa_	chrysolina fastuosa
Chrysoli femoralis_	chrysolina femoralis
Chrysoli gemi_	chrysolina gemina
Chrysoli gemita_	chrysolina gemina
Chrysoli graminis_	chrysolina graminis
Chrysoli grossa_	chrysolina grossa
Chrysoli haemoptera_	chrysolina haemoptera
Chrysoli helopioides_	chrysolina helopioides
Chrysoli herbacea_	chrysolina herbacea
Chrysoli janbechynei_	chrysolina janbechynei
Chrysoli kuesteri_	chrysolina kuesteri
Chrysoli lucida_	chrysolina lucida
Chrysoli margita	chrysolina marginata
Chrysoli obscurella_	chrysolina obscurella
Chrysoli obsoleta_	chrysolina obsoleta
