family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Arctiidae	Utetheisa	ornatrix bella	Utetheisa ornatrix bella	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Utetheisa ornatrix bella	NA	NA
Arctiidae	Utetheisa	ornatrix stretchii	Utetheisa ornatrix stretchii	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Utetheisa ornatrix stretchii	NA	NA
Danaidae	Euploes	mulciber barsine	Euploes mulciber barsine	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Euploes mulciber barsine	NA	NA
Danaidae	Idea	leuconoe clara	Idea leuconoe clara	30	30	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Idea leuconoe clara	NA	NA
Danaidae	Parantica	melaneus swinhoei	Parantica melaneus swinhoei	22	22	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Parantica melaneus swinhoei	NA	NA
Danaidae	Radena	similis	Radena similis	13	13	Maeki, K. & Ae, S.A. (1969). Studies of the chromosomes of Formosan Rhopalocera. Kontyu 37: 99–109.	3	Radena similis	NA	NA
Eupterotidae	Apha	tychoona	Apha tychoona	22	22	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Apha tychoona	NA	NA
Gelechiidae	Eucordylea	resinosae	Eucordylea resinosae	30	30	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Eucordylea resinosae	NA	NA
Gelechiidae	Exotelsia	nepheos	Exotelsia nepheos	12	12	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Exotelsia nepheos	NA	NA
Gelechiidae	Tachyptilia	populella	Tachyptilia populella	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Tachyptilia populella	NA	NA
Geometridae	Aperia	syringaria	Aperia syringaria	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Aperia syringaria	NA	NA
Geometridae	Boarmia	consonaria	Boarmia consonaria	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Boarmia consonaria	NA	NA
Geometridae	Calospiloa	sylvata fulvobasalis	Calospiloa sylvata fulvobasalis	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Calospiloa sylvata fulvobasalis	NA	NA
Geometridae	Coenotephria	sagittata	Coenotephria sagittata	12	12	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Coenotephria sagittata	NA	NA
Geometridae	Colostygia	didymata	Colostygia didymata	27	27	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Colostygia didymata	NA	NA
Geometridae	Colostygia	parallelolineata	Colostygia parallelolineata	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Colostygia parallelolineata	NA	NA
Geometridae	Cusiala	stipitaria karuizawensis	Cusiala stipitaria karuizawensis	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cusiala stipitaria karuizawensis	NA	NA
Geometridae	Ectropis	deodarae	Ectropis deodarae	31	31	Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.	3	Ectropis deodarae	NA	NA
