taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
	Meloidogyne ottersoni	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne platani	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne querciana	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	30				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Meloidogyne subarctica	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
	Steinernema sp. C-Zuhai	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. C2B2	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. C85011	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. CWL05	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. ED1	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. NC270	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. NC513_NC17A	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	3	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. Q1	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
	Steinernema sp. Q617	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
