institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x31	x32	primary
RBGE	DB1740	DTOL	Bryophyte	Hypnaceae	Hypnum	jutlandicum	<Oryza	GPB3%PVP	98.14	239.12	5.01	3.45	2.436	98.43	239.72	0.82	0.82	0.41	0.4	4.87	3.51	0.003	0.001	Sahr Mian	NA	NA	NA	NA	NA	NA	NA	1
RBGE	DB1651	DTOL	Bryophyte	Mniaceae	Plagiomnium	ellipticum	>Oryza	OXPRO	146.58	610.58	6.51	3.87	4.166	637.77	152.62	NA	4.18	2.09	2.04	5.68	4.33	0.018	NA	Sahr Mian	23/02/2022	NA	NA	2C peak measured	NA	NA	NA	1
RBGE	DB1653	DTOL	Bryophyte	Saccogynaceae	Saccogyna	viticulosa	<Oryza	OXPRO	215.72	309.65	4.56	4.01	1.435	216.63	314.79	NA	1.38	0.69	0.67	4.91	4.14	0.022	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1654	DTOL	Bryophyte	Grimmiaceae	Racomitrium	aquaticum	<Oryza	OXPRO	142.41	485.06	4.27	4.46	3.406	144.6	497.26	NA	0.58	0.29	0.28	4.43	4.1	0.046	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1655	DTOL	Bryophyte	Leucobryaceae	Leucobryum	juniperoideum	<Solanum	OXPRO	216.99	434.84	2.78	2.87	2.004	226.72	453.68	NA	1	0.5	0.49	2.8	2.72	0.014	NA	Sahr Mian	16/03/2022	NA	NA	2C measured	NA	NA	NA	1
RBGE	DB1658	DTOL	Bryophyte	Amblystegiaceae	Cratoneuron	filicinum	<Oryza	OXPRO	144.83	442.35	4.46	3.47	3.054	151.42	452.24	NA	0.67	0.33	0.33	4.47	4.08	0.058	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1660	DTOL	Bryophyte	Leucobryaceae	Dicranodontium	denudatum	<Oryza	OXPRO	115.97	370.78	4.99	4.28	3.197	119.46	383.71	NA	0.62	0.31	0.3	4.89	4.03	0.013	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1661	DTOL	Bryophyte	Lepidoziaceae	Bazzania	trilobata	<Solanum	OXPRO	253.92	447.05	4.89	3.26	1.761	257.17	456.19	NA	2.25	1.13	1.1	4.96	3.15	0.016	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1662	DTOL	Bryophyte	Sphagnaceae	Sphagnum	palustre	<Solanum	OXPRO	226.53	437.77	3.92	3.33	1.933	231.09	447.45	NA	2.07	1.03	1.01	3.94	3.53	0.006	NA	Sahr Mian	16/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1663	DTOL	Bryophyte	Sphagnaceae	Sphagnum	girgensohnii	<Oryza	OXPRO	222.52	415.33	4.46	3.74	1.866	226.86	425.24	NA	1.07	0.53	0.52	5.09	4.1	0.007	NA	Sahr Mian	17/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1665	DTOL	Bryophyte	Dicranaceae	Dicranum	scottianum	<Oryza	OXPRO	242.15	350.65	3.9	4.43	1.448	260.38	377.47	NA	1.38	0.69	0.67	3.95	3.9	0.016	NA	Sahr Mian	17/03/2022	NA	NA	NA	NA	NA	NA	1
RBGE	DB1667	DTOL	Bryophyte	Anthocerotaceae	Anthoceros	punctatus	<Oryza	OXPRO	176.51	490.74	10.56	4.89	2.78	176.51	490.74	NA	0.36	0.18	0.18	10.56	4.89	#DIV/0!	NA	Sahr Mian	17/03/2022	NA	NA	2C measured?	NA	NA	NA	1
RBGE	DB1669	DTOL	Bryophyte	Lepidoziaceae	Lepidozia	cupressina	<Oryza	OXPRO	232.64	316.72	3.88	3.59	1.361	238.02	327.25	NA	1.45	0.73	0.71	3.81	4.14	0.012	NA	Sahr Mian	17/03/2022	NA	NA	NA	NA	NA	NA	1
