taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2617011	Bipolaris monoceras (Drechsler) Shoemaker	2617009	Exserohilum monoceras (Drechsler) K.J.Leonard & Suggs	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Dothideomycetes	183	Pleosporales	1047	Pleosporaceae	8315	Exserohilum	9465452	Exserohilum monoceras	2617009	NE
2665077	Trichogloea lubrica J.Agardh, 1876	2665077	Trichogloea lubrica J.Agardh, 1876	5	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Nemaliales	673	Liagoraceae	4945	Trichogloea	2665070	Trichogloea lubrica	2665077	NE
2688906	Lejeunea flava (Sw.) Nees	2688906	Lejeunea flava (Sw.) Nees	1	SPECIES	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Porellales	377	Lejeuneaceae	6118	Lejeunea	2688902	Lejeunea flava	2688906	NE
3790437	Sticherus furcatus (L.) Ching	3790437	Sticherus furcatus (L.) Ching	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Gleicheniales	7229400	Gleicheniaceae	6621	Sticherus	7392014	Sticherus furcatus	3790437	NE
5185376	Gorgonia ventalina Linnaeus, 1758	5185376	Gorgonia ventalina Linnaeus, 1758	5	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Alcyonacea	1437	Gorgoniidae	8198	Gorgonia	2258179	Gorgonia ventalina	5185376	NE
5185473	Diphyes dispar Chamisso & Eysenhardt, 1821	5185473	Diphyes dispar Chamisso & Eysenhardt, 1821	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Hydrozoa	205	Siphonophorae	6180736	Diphyidae	8188	Diphyes	2264788	Diphyes dispar	5185473	NE
6181856	Cerithium eburneum algicola C.B.Adams, 1845	2299069	Cerithium eburneum Bruguière, 1792	1	SUBSPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Cerithium	2299065	Cerithium eburneum	2299069	
2299069	Cerithium eburneum Bruguière, 1792	2299069	Cerithium eburneum Bruguière, 1792	9	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Cerithium	2299065	Cerithium eburneum	2299069	NE
2390847	Caranx latus Agassiz, 1831	2390847	Caranx latus Agassiz, 1831	51	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Carangidae	4253	Caranx	2390749	Caranx latus	2390847	LC
2403816	Gymnothorax miliaris (Kaup, 1856)	2403816	Gymnothorax miliaris (Kaup, 1856)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Anguilliformes	495	Muraenidae	2953	Gymnothorax	2403463	Gymnothorax miliaris	2403816	LC
