phylum	ECHabs92	scientific_name	subspecies	authority_subspecies
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Avenula hackelii		(Henriq.) Holub
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Bromus grossus		Desf. ex DC.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Calamagrostis chalybaea		(Laest.) Fries
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cinna latifolia		(Trev.) Griseb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Coleanthus subtilis		(Tratt.) Seidl
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca brigantina		(Markgr.-Dannenb.) Markgr.-Dannenb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca duriotagana		Franco & R. Afonso
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca elegans		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca henriquesii		Hack.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca summilusitana		Franco & R. Afonso
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gaudinia hispanica		Stace & Tutin
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Holcus setiglumis	Holcus setiglumis duriensis	Boiss. & Reuter subsp. duriensis Pinto da Silva
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Micropyropsis tuberosa		Romero - Zarco & Cabezudo
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Poa granitica	Poa granitica disparilis	Br.-Bl. subsp. disparilis (E. I. Nyárády) E. I. Nyárády
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Poa riphaea		(Ascher et Graebner) Fritsch
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Pseudarrhenatherum pallens		(Link) J. Holub
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Puccinellia phryganodes		(Trin.) Scribner + Merr.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Puccinellia pungens		(Pau) Paunero
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa austroitalica		Martinovsky
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa bavarica		Martinovsky & H. Scholz
