taxon_id,input,rank,suggested
1207153,Goliathus goliathus,species,Goliathus goliatus
1207195,Jumnos ruckieri     ,species,Jumnos ruckeri
1656640,Macraspis tristis,species,Macropsis tristis
1207216,Mecynorrhi torquata,species,Mecynorrhina torquata
166328,Oniticellus fulvus     ,species,Euoniticellus fulvus
166343,Oniticellus pallipes     ,species,Euoniticellus pallipes
166365,Onthophagus amyntas     ,species,Euonthophagus amyntas
206854,Onthophagus gazelle,species,Digitonthophagus gazella
465150,Oryctes sicornis     ,species,Oryctes nasicornis
465331,Phyllogthus dionysius     ,species,Phyllognathus dionysius
1142444,Propomacrus bimucrotus,species,Propomacrus bimucronatus
,Protaetia cuprea bancoi    ,subspecies,protaetia cuprea brancoi
383528,Schizonycha fuscescens     ,species,Schizonycha fuscescens
1207160,Stephanorrhi princeps,species,Stephanorrhina princeps
465340,Trichius zotus     ,species,Trichius zonatus
997871,Trypocopris pyreeus,species,Trypocopris pyrenaeus
1588525,Trypocopris verlis,species,Trypocopris vernalis
143020,Blastophagus pinierda     ,species,Tomicus piniperda
322471,Conopthorus coniperda     ,species,Conophthorus coniperda
322470,Conopthorus resinosae     ,species,Conophthorus resinosae
77165,Dendroctonus murrayae     ,species,Dendroctonus murrayanae
57062,Hypothenemus hamperi     ,species,Hypothenemus hampei
55980,Ips acumitus     ,species,Ips acuminatus
102831,Ips emargitus     ,species,Ips emarginatus
102845,Ips pertubatus     ,species,Ips perturbatus
102857,Pityogenes crannulatus     ,species,Pityogenes carinulatus
1367342,Pityphthorus lichtensteini     ,species,Pityophthorus lichtensteinii
141178,Polygraphus rugipennis     ,species,Polygraphus rufipennis
1553731,Scolytus ratzeburgi     ,species,Scolytus ratzeburgii
110193,Nicrophorus vespilloides     ,species,Nicrophorus vespilloides
414939,Thatophilus sinuatus     ,species,Thanatophilus sinuatus
41112,Oryzaephilus surimensis     ,species,Oryzaephilus surinamensis
,Creophilus maxillosis villosus    ,subspecies,creophilus maxillosus villosus
,Philonthus fuscipennis     ,species,philanthus fuscipennis
926301,Philonthus politus     ,species,Philanthus politus
346823,Philonthus varius     ,species,Philonthus varians
1752710,Adesmia biskrensis     ,species,Adesmia biskreensis
197344,Blaps mucrota     ,species,Blaps mucronata
683890,Bolitopherus cornutus     ,species,Bolitotherus cornutus
1470678,Cryptycus gibbulus     ,species,Crypticus gibbulus
466958,Gthocerus cornutus     ,species,Gnathocerus cornutus
48176,Hegeter ferndezi     ,species,Hegeter fernandezi
48179,Hegeter grancariensis     ,species,Hegeter grancanariensis
1710561,Isomira quadrastriata ,species,Isomira quadristriata
,Pimelia grandis latesti    ,species,pimelia grandis latastei
998361,Pimelia interjecta     ,species,Relicina intertexta
1470707,Tentyria mucrota     ,species,Tentyria mucronata
575791,Tentyria rotunda     ,species,Tentyria rotundata
1470708,Tentyria schaumi     ,species,Tentyria schaumii
668954,Trachycelis aphodiodes     ,species,Trachyscelis aphodioides
1569671,Lophoceters pusillus     ,species,Lophocateres pusillus
taxon_id,input,rank,suggested
869552,Cicindela angulata,species,Calomera angulata
212438,Cicindela chloris,species,Calomera chloris
212556,Cicindela chloropleura,species,Jansenia chloropleura
1343300,Cicindela hispanica,species,Cephalota hispanica
285225,Cicindela littoralis,species,Calomera littoralis
1485676,Cicindela maura,species,Cephalota maura
869544,Cicindela minuta,species,Cylindera minuta
869552,Cicindela sumatrensis,species,Calomera angulata
346483,Megacephala euphratica,species,Grammognatha euphratica
247406,Ophonus incisus,species,Incisophonus incisus
1509387,Colymbetes infuscatus,species,Rhantus notaticollis
1341933,Cathormiocerus aristatus,species,Trachyphloeus aristatus
653195,Otiorhynchus niger,species,Otiorhynchus coecus
877989,Leiodes calcarata,species,Leiodes politus
723364,Speonomus delarouzeei,species,Parvospeonomus delarouzeei
1304773,Troglocharinus variabilis,species,Troglocharinus elongatus
231732,Macrodorcas rectus,species,Dorcus rectus
997852,Thorectes intermedius,species,Jekelius intermedius
1552300,Palembus dermestoides,species,Ulomoides dermestoides
