taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
7293711	Cissus campestris Planch.	7293711	Cissus campestris Planch.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Cissus	3039160	Cissus campestris	7293711	NE
7638104	Madrepora rus Forskål, 1775	5184764	Porites rus (Forskål, 1775)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Poritidae	9241	Porites	3250147	Porites rus	5184764	NE
8652794	Coscinodiscus curvatulus Grunow	7693232	Coscinodiscus curvatulus var. curvatulus	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Coscinodiscales	1098	Coscinodiscaceae	2920	Coscinodiscus	3191512	Coscinodiscus curvatulus	5421565	NE
8801070	Globigerinatheka subconglobata (Shutskaya, 1958)	8801070	Globigerinatheka subconglobata (Shutskaya, 1958)	2	SPECIES	ACCEPTED	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Globigerinidae	8273781	Globigerinatheka	8074613	Globigerinatheka subconglobata	8801070	NE
9007638	Helicina conoidea L.Pfeiffer, 1854	9007638	Helicina conoidea L.Pfeiffer, 1854	4	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Cycloneritida	9680972	Helicinidae	7054	Lucidella	2291371	Helicina conoidea	9007638	NE
9564799	Ficus pellucida Deshayes, 1856	9564799	Ficus pellucida Deshayes, 1856	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Ficidae	6567	Ficus	2301388	Ficus pellucida	9564799	NE
9791354	Cerithidea costata (da Costa, 1778)	7482825	Cerithideopsis costata (da Costa, 1778)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Potamididae	7067	Cerithideopsis	4614478	Cerithideopsis costata	7482825	NE
1900136	Epiphile electra Staudinger, 1886	1900136	Epiphile electra Staudinger, 1886	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Epiphile	1900111	Epiphile electra	1900136	NE
2301192	Tectarius antonii (Philippi, 1846)	2301192	Tectarius antonii (Philippi, 1846)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Littorinidae	2668	Tectarius	2301191	Tectarius antonii	2301192	NE
2305345	Crassispira sanibelensis Bartsch & Rehder, 1939	2305345	Crassispira sanibelensis Bartsch & Rehder, 1939	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Pseudomelatomidae	6770	Crassispira	2305299	Crassispira sanibelensis	2305345	NE
2369472	Gerres gula Quoy & Gaimard, 1824	2369471	Eucinostomus gula (Quoy & Gaimard, 1824)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44			Perciformes	587	Gerreidae	4273	Eucinostomus	2369470	Eucinostomus gula	2369471	LC
2376749	Elacatinus evelynae (Böhlke & Robins, 1968)	2376749	Elacatinus evelynae (Böhlke & Robins, 1968)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Gobiidae	4274	Elacatinus	2376682	Elacatinus evelynae	2376749	LC
2388809	Cephalopholis fulva (Linnaeus, 1758)	2388809	Cephalopholis fulva (Linnaeus, 1758)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Cephalopholis	2388808	Cephalopholis fulva	2388809	LC
