species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Cystobasidium minutum	29899	Listed as: Rhodotorula minuta	Rhodotorula minuta	Sporidiobolaceae	DTOL		
Leucosporidium fragarium	86830	Listed as: Rhodotorula fragaria	Rhodotorula fragaria	Sporidiobolaceae	DTOL		
Symmetrospora gracilis	5435	Listed as: Sporobolomyces gracilis	Sporobolomyces gracilis	Sporidiobolaceae	DTOL		
Slooffia tsugae	5447	Listed as: Sporobolomyces tsugae	Sporobolomyces tsugae	Sporidiobolaceae	DTOL		
Seimatosporium lichenicola	152302	Listed as: Discostroma corticola	Discostroma corticola	Sporocadaceae	DTOL	DTOL	DTOL
Preussia australis	55178	Listed as: Sporormiella australis	Sporormiella australis	Sporormiaceae	DTOL	DTOL	DTOL
Preussia minima	93984	Listed as: Sporormiella minima	Sporormiella minima	Sporormiaceae	DTOL		
Memnoniella oenanthes	1859671	Listed as: Stachybotrys oenanthes	Stachybotrys oenanthes	Stachybotryaceae	DTOL		
Polycauliona polycarpa	1301501	Listed as: Massjukiella polycarpa	Massjukiella polycarpa	Teloschistaceae	DTOL		
Klauderuiella flavescens	2005601	Listed as: Variospora flavescens	Variospora flavescens	Teloschistaceae	DTOL		
Lecidea aglaea	1075310	Listed as: Calvitimela aglaea	Calvitimela aglaea	Tephromelataceae	DTOL		
Strigula confusa	gdStrConf	Listed as: Chromatochlamys confusum	Chromatochlamys confusum	Thelenellaceae	DTOL		
Lophiostoma macrostomoides	531913	Listed as: Thyridaria macrostomoides	Thyridaria macrostomoides	Thyridariaceae	DTOL		
Cyclothyriella rubronotata	300247	Listed as: Thyridaria rubronotata	Thyridaria rubronotata	Thyridariaceae	DTOL		
Phaeoacremonium vibratile	392537	Listed as: Togninia vibratilis	Togninia vibratilis	Togniniaceae	DTOL	DTOL	DTOL
Phaeotremella foliacea	2023696	Listed as: Tremella foliacea	Tremella foliacea	Tremellaceae	DTOL	DTOL	DTOL
Naematelia encephala	71784	Listed as: Tremella encephala	Tremella encephala	Tremellaceae	DTOL		
Cutaneotrichosporon cutaneum	5554	Listed as: Trichosporon cutaneum	Trichosporon cutaneum	Trichosporonaceae	DTOL	DTOL	DTOL
Apiotrichum dulcitum	82515	Listed as: Trichosporon dulcitum	Trichosporon dulcitum	Trichosporonaceae	DTOL		
Apiotrichum gracile	82516	Listed as: Trichosporon gracile	Trichosporon gracile	Trichosporonaceae	DTOL		
Apiotrichum sporotrichoides	82526	Listed as: Trichosporon sporotrichoides	Trichosporon sporotrichoides	Trichosporonaceae	DTOL		
Slimacomyces monosporus	2200814	Listed as: Troposporella monospora	Troposporella monospora	Tubeufiaceae	DTOL		
Dendrostoma leiphaemia	2608779	Listed as: Amphiporthe leiphaemia	Amphiporthe leiphaemia	Valsaceae	DTOL	DTOL	DTOL
Cytospora ceratosperma	1928361	Listed as: Valsa ceratosperma	Valsa ceratosperma	Valsaceae	DTOL		
Abrothallus bertianus				Abrothallaceae	DTOL	DTOL	DTOL
Abrothallus microspermus				Abrothallaceae	DTOL		
Abrothallus parmeliarum				Abrothallaceae	DTOL		
Abrothallus prodiens				Abrothallaceae	DTOL		
Abrothallus welwitschii				Abrothallaceae	DTOL		
Acarospora fuscata				Acarosporaceae	DTOL	DTOL	DTOL
Polysporina simplex				Acarosporaceae	DTOL	DTOL	DTOL
Sarcogyne regularis				Acarosporaceae	DTOL		
Acaulospora laevis				Acaulosporaceae	DTOL	DTOL	DTOL
Acaulospora nicolsonii				Acaulosporaceae	DTOL		
