"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation",Ploidy,Chrnum,Haploid_autosome_num,Sex_chromosomes,estimated_haploid
"Coleoptera","Adephaga","Carabidae","Bembidion diligens","Sexual diplodiploidy","2n=22M","",NA,"","","D. Maddison (1985)",2,22,,,
"Coleoptera","Adephaga","Carabidae","Bembidion doris","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion dorsale","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion dudichi","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion ephippium","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion fasciolatum egregium","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion flebile","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion fortestriatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion fortutum","Sexual diplodiploidy","2n=24M/2n=24F 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2/2,24/24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion foveum","","2n=24M","",NA,"","","Serrano and Galian (1998)",2,24,,,
"Coleoptera","Adephaga","Carabidae","Bembidion foveum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion frontale","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion fumigatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion gebleri turbatum","Sexual diplodiploidy","2n=24M 11+XY","XY",NA,"","","D. Maddison (1985)",2,24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion genei","Sexual diplodiploidy","2n=24M/2n=24F 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2/2,24/24,11,XY,12/12
"Coleoptera","Adephaga","Carabidae","Bembidion geniculatum","Sexual diplodiploidy","2n=24M/2n=24F 11+XY","XY",NA,"","","Serrano and Yadav (1984)",2/2,24/24,11,XY,12/12
