Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Ceratophyllum submersum,Ceratophyllum submersum,33,Ceratophyllaceae,Soft Hornwort,220,Infrequent,,,"24, 40, 72",,P,0.215,0.864564738,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Ceratophyllum submersum,33,Ceratophyllaceae,,1,,
Ceratocapnos claviculata,Ceratocapnos claviculata,34,Papaveraceae,Climbing Corydalis,1148,Abundant,,,32,,A,0.33,0.33,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Ceratocapnos claviculata,34,Papaveraceae,,,,
Chelidonium majus,Chelidonium majus,34,Papaveraceae,Greater Celandine,1894,Ubiquitous,2,12,,,P,,,,archaeophyte,,,,,,,Y,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Chelidonium majus,34,Papaveraceae,1,,,
Fumaria bastardii,Fumaria bastardii,34,Papaveraceae,Tall Ramping-fumitory,775,Abundant,6,48,,,A,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Fumaria bastardii,34,Papaveraceae,,,,
Fumaria capreolata,Fumaria capreolata,34,Papaveraceae,White Ramping-fumitory,707,Common,8,64,,,A,0.695,0.695,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Fumaria capreolata,34,Papaveraceae,,,,
Fumaria densiflora,Fumaria densiflora,34,Papaveraceae,Dense-flowered Fumitory,326,Common,,,28,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Fumaria densiflora,34,Papaveraceae,,,,
Fumaria muralis,Fumaria muralis,34,Papaveraceae,Common Ramping-fumitory,1631,Abundant,6,48,,,A,0.69,0.69,1,native,,,,,,,,Y,Restricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Fumaria muralis,34,Papaveraceae,,,,
Fumaria occidentalis,Fumaria occidentalis,34,Papaveraceae,Western Ramping-fumitory,31,Very rare,16,112,,,A,,,,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Fumaria occidentalis,34,Papaveraceae,,,,
Fumaria officinalis,Fumaria officinalis,34,Papaveraceae,Common Fumitory,2298,Ubiquitous,,"32, 48",,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Fumaria officinalis,34,Papaveraceae,,,,
Fumaria parviflora,Fumaria parviflora,34,Papaveraceae,Fine-leaved Fumitory,129,Infrequent,4,32,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Fumaria parviflora,34,Papaveraceae,,,,
