Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Allium triquetrum,0,167,Amaryllidaceae,Three-Cornered Garlic,460,Common,,,"18,27",,,,,,neophyte,,,,,,,,,,,,,Y,Allium triquetrum,167,Amaryllidaceae,,,,
Allium ursinum,Allium ursinum,167,Amaryllidaceae,Ramsons,2423,Ubiquitous,2,14,,,P,28.02859649,28.02859649,1,native,,,,,,,Y,Y,Unrestricted--,MANAGEMENT DECISION-NV,Y,,Y,Allium ursinum,167,Amaryllidaceae,,,,
Allium vineale,Allium vineale,167,Amaryllidaceae,Wild Onion,1309,Abundant,4,32,,,P,19.57312963,19.57312963,1,native,,,,,,,,Y,Unrestricted-Natural Source-France;Unrestricted-Natural Source-Turkey;Unrestricted-Natural Source-Czechoslovakia;Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Allium vineale,167,Amaryllidaceae,,,,
Narcissus pseudonarcissus,Narcissus pseudonarcissus,167,Amaryllidaceae,Daffodils,Probably abundant,,,,,,,,,,native,,,,York-RCP British Medicinal Plant List Category 2,,,,,Unrestricted-Natural Source-Spain;Restricted by Agreement-Natural Source-;Restricted by Agreement--Spain;Unrestricted--;Restricted by Agreement--,,Y,,,Narcissus pseudonarcissus,167,Amaryllidaceae,,1,,
Asparagus prostratus,Asparagus prostratus,168,Asparagaceae,Wild Asparagus,#N/A,,2,"20, 40",,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Asparagus prostratus,168,Asparagaceae,,,,
Convallaria majalis,Convallaria majalis,168,Asparagaceae,Lily-of-the-valley,723,Abundant,,,"32,36,38",,P,17.70001501,17.70001501,1,native,,,,York-RCP British Medicinal Plant List Category 2,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Convallaria majalis,168,Asparagaceae,,,,
Hyacinthoides hispanica,0,168,Asparagaceae,Bluebell,978,Abundant,,,"16,24",,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-Spain;Unrestricted--,,,,Y,Hyacinthoides hispanica,168,Asparagaceae,,,,
Hyacinthoides non-scripta,Hyacinthoides non-scripta,168,Asparagaceae,Bluebell,3230,Ubiquitous,"2, 3","16, 24",,,P,23,23,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-VV,Y,,Y,Hyacinthoides non-scripta,168,Asparagaceae,,1,,
Maianthemum bifolium,Maianthemum bifolium,168,Asparagaceae,May Lily,24,Very rare,"2 (+6), 2, 2 (+2)","42, 36, 38",,,P,12.78615083,12.78615083,1,native or alien,,,,,,,,,,,,,,Maianthemum bifolium,168,Asparagaceae,,,,
Ornithogalum pyrenaicum,Ornithogalum pyrenaicum,168,Asparagaceae,Spiked Star-of-Bethlehem,74,Rare,,,"16,32",,P,15.1,15.1,1,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Ornithogalum pyrenaicum,168,Asparagaceae,,,,
Polygonatum multiflorum,Polygonatum multiflorum,168,Asparagaceae,Solomon's-seal,669,Common,"3 (+3), 2","30, 18",,,P,8.556581852,8.556581852,1,native,,,,,,,,Y,Unrestricted-Natural Source-Spain;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-India;Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Polygonatum multiflorum,168,Asparagaceae,,,,
Polygonatum odoratum,Polygonatum odoratum,168,Asparagaceae,Angular Solomon's-seal,73,Rare,,"26,28,29,30",,,P,10.18661199,10.18661199,1,native,,,,,,,,Y,Unrestricted-Natural Source-France;Unrestricted-Natural Source-Sakhalin;Unrestricted-Natural Source-Sichuan;Unrestricted-Natural Source-Iran;Unrestricted-Natural Source-Japan;Unrestricted-Natural Source-Spain;Unrestricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Polygonatum odoratum,168,Asparagaceae,,,,
Polygonatum verticillatum,Polygonatum verticillatum,168,Asparagaceae,Whorled Solomon's-seal,14,Very rare,"6 (-6), 2","84, 30",,,P,8.45673991,8.45673991,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Pakistan;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Nepal;Unrestricted-Natural Source-Uttar Pradesh;Unrestricted-Natural Source-Yunnan;Unrestricted-Natural Source-Bhutan;Unrestricted-Natural Source-Pakistan,MANAGEMENT DECISION-NV,,,Y,Polygonatum verticillatum,168,Asparagaceae,,,,
Ruscus aculeatus,Ruscus aculeatus,168,Asparagaceae,Butcher's-broom,886,Abundant,2,40,,,P,10.27397959,10.27397959,1,native,,,,,,,Y,Y,Unrestricted--;Restricted by Agreement-Natural Source-;Restricted by Agreement-Natural Source-Spain;Unrestricted--Europe;Unrestricted-Natural Source-Italy;Unrestricted-Natural Source-Spain,FOR DISTRIBUTION-NV,,,Y,Ruscus aculeatus,168,Asparagaceae,,,,
Scilla autumnalis,Scilla autumnalis,168,Asparagaceae,Autumn Squill,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,"28,42",,,P,12.8,12.8,1,native,,,,,,,,,,,,,,Scilla autumnalis,168,Asparagaceae,,,,
Scilla verna,Scilla verna,168,Asparagaceae,Spring Squill,346,Common,,"20,22",,,P,7.055,7.055,1,native,,,,,,,Y,Y,Restricted by Agreement--Norway;Unrestricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Spain,FOR DISTRIBUTION-NV,,,Y,Scilla verna,168,Asparagaceae,,1,,
Pontederia cordata,0,171,Pontederiaceae,Pickerelweed,40,Rare,,,16,,,,,,neophyte,,,,,,,,Y,Unrestricted--,,,,Y,Pontederia cordata,171,Pontederiaceae,,1,,
Sparganium angustifolium,Sparganium angustifolium,172,Typhaceae,Floating Bur-reed,858,Abundant,2,30,,,P,0.675,0.675,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Sparganium angustifolium,172,Typhaceae,,,,
Sparganium emersum,Sparganium emersum,172,Typhaceae,Unbranched Bur-reed,1809,Ubiquitous,2,30,,,P,0.521952017,0.521952017,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Sparganium emersum,172,Typhaceae,,,,
Sparganium erectum,Sparganium erectum,172,Typhaceae,Branched Bur-reed,2915,Ubiquitous,2,30,,,P,0.449388943,0.449388943,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Sparganium erectum,172,Typhaceae,1,,,
Sparganium natans,Sparganium natans,172,Typhaceae,Least Bur-reed,747,Abundant,,,30,,P,0.491164875,0.491164875,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Sparganium natans,172,Typhaceae,,,,
Typha angustifolia,Typha angustifolia,172,Typhaceae,Lesser Bulrush,904,Abundant,,,"30,60",,P,0.235337181,0.235337181,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Typha angustifolia,172,Typhaceae,,,,
Typha latifolia,Typha latifolia,172,Typhaceae,Bulrush,2594,Ubiquitous,2,30,,,P,0.22859216,0.22859216,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Typha latifolia,172,Typhaceae,1,,,
Eriocaulon aquaticum,Eriocaulon aquaticum,174,Eriocaulaceae,Pipewort,80,Rare,8,64,,,P,4.185,4.185,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Eriocaulon aquaticum,174,Eriocaulaceae,,1,,
Juncus acutiflorus,Juncus acutiflorus,175,Juncaceae,Sharp-flowered Rush,3374,Ubiquitous,4,40,,,P,1.28,1.28,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Juncus acutiflorus,175,Juncaceae,,,,
Juncus acutus,Juncus acutus,175,Juncaceae,Sharp Rush,80,Rare,"8, 7","48, 42",,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Juncus acutus,175,Juncaceae,,,,
Juncus alpinoarticulatus,Juncus alpinoarticulatus,175,Juncaceae,Alpine Rush,53,Rare,4,40,,,P,0.850558629,2.01,2,native,,,,,,,Y,,,MANAGEMENT DECISION-VV,,,Y,Juncus alpinoarticulatus,175,Juncaceae,,,,
Juncus articulatus,Juncus articulatus,175,Juncaceae,Jointed Rush,3710,Ubiquitous,8,80,,,P,1.787607464,1.787607464,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Juncus articulatus,175,Juncaceae,,,,
Juncus balticus,Juncus balticus,175,Juncaceae,Baltic Rush,92,Infrequent,,84,,,P,0.57,0.57,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Juncus balticus,175,Juncaceae,,,,
Juncus biglumis,Juncus biglumis,175,Juncaceae,Two-flowered Rush,37,Rare,,,"60, c.100, 210",,P,0.61,0.61,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Juncus biglumis,175,Juncaceae,,,,
Juncus bufonius,Juncus bufonius,175,Juncaceae,,3690,Ubiquitous,18,108,,,A,0.754155241,1.3,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Juncus bufonius,175,Juncaceae,,,,
Juncus bulbosus,Juncus bulbosus,175,Juncaceae,Bulbous Rush,3057,Ubiquitous,4,40,,,P,0.720071906,0.720071906,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,,,Y,Juncus bulbosus,175,Juncaceae,,,,
Juncus capitatus,Juncus capitatus,175,Juncaceae,Dwarf Rush,23,Very rare,,,18,,A,0.326919823,0.326919823,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Juncus capitatus,175,Juncaceae,,,,
Juncus castaneus,Juncus castaneus,175,Juncaceae,Chestnut Rush,47,Rare,,,"40,60",,P,,,,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Juncus castaneus,175,Juncaceae,,,,
Juncus compressus,Juncus compressus,175,Juncaceae,Round-fruited Rush,438,Common,,,"40,44",,P,0.247532689,0.247532689,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Juncus compressus,175,Juncaceae,,,,
Juncus conglomeratus,Juncus conglomeratus,175,Juncaceae,Compact Rush,3426,Ubiquitous,4,42,,,P,0.255531035,0.255531035,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Juncus conglomeratus,175,Juncaceae,,,,
Juncus effusus,Juncus effusus,175,Juncaceae,Soft-rush,3742,Ubiquitous,4,"40, 42",,,P,0.250303943,0.250303943,1,native,,,,,,,Y,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Juncus effusus,175,Juncaceae,1,,,
Juncus filiformis,Juncus filiformis,175,Juncaceae,Thread Rush,34,Very rare,,,"40,80",,P,0.69,0.69,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-VV,,,Y,Juncus filiformis,175,Juncaceae,,,,
Juncus foliosus,Juncus foliosus,175,Juncaceae,Leafy Rush,327,Common,3,26,,,A,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Juncus foliosus,175,Juncaceae,,,,
Juncus gerardii,Juncus gerardii,175,Juncaceae,Saltmarsh Rush,1228,Abundant,8,84,,,P,0.463626541,1.955,2,native,,,,,,,,,,,,,,Juncus gerardii,175,Juncaceae,,,,
Juncus inflexus,Juncus inflexus,175,Juncaceae,Hard Rush,2416,Ubiquitous,4,"40, 42",,,P,0.330088462,0.330088462,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Juncus inflexus,175,Juncaceae,,,,
Juncus maritimus,Juncus maritimus,175,Juncaceae,Sea Rush,601,Common,8,48,,,P,0.165,0.165,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Juncus maritimus,175,Juncaceae,,,,
Juncus pygmaeus,Juncus pygmaeus,175,Juncaceae,Pigmy Rush,4,Very rare,,,40,,A,0.525,0.525,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Juncus pygmaeus,175,Juncaceae,,,,
Juncus ranarius,Juncus ambiguus,175,Juncaceae,Frog Rush,234,Common,,34,,,,0.292775794,0.292775794,1,native (inferred),,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Juncus ranarius,175,Juncaceae,,,,
Juncus squarrosus,Juncus squarrosus,175,Juncaceae,Heath Rush,2335,Ubiquitous,4,40,,,P,0.306176374,0.306176374,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Juncus squarrosus,175,Juncaceae,,,,
Juncus subnodulosus,Juncus subnodulosus,175,Juncaceae,Blunt-flowered Rush,912,Abundant,4,40,,,P,0.645,0.645,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Juncus subnodulosus,175,Juncaceae,,,,
Juncus trifidus,Juncus trifidus,175,Juncaceae,Three-leaved Rush,180,Infrequent,,,30,,P,0.288272332,0.288272332,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,,,,Y,Juncus trifidus,175,Juncaceae,,,,
Juncus triglumis,Juncus triglumis,175,Juncaceae,Three-flowered Rush,204,Infrequent,,,"50, c.134",,P,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Juncus triglumis,175,Juncaceae,,,,
Luzula arcuata,Luzula arcuata,175,Juncaceae,Curved Wood-rush,22,Very rare,,,"36,42,48",,P,0,0,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Luzula arcuata,175,Juncaceae,,,,
Luzula campestris,Luzula campestris,175,Juncaceae,Field Wood-rush,3577,Ubiquitous,2,12,,,P,,,,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Luzula campestris,175,Juncaceae,,,,
Luzula forsteri,Luzula forsteri,175,Juncaceae,Southern Wood-rush,316,Common,2,24,,,P,0.7,0.7,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Luzula forsteri,175,Juncaceae,,,,
Luzula multiflora,Luzula multiflora,175,Juncaceae,Heath Wood-rush,3278,Ubiquitous,"7, 4, 6, 5","42, 24, 36, 30",,,P,1.052157929,1.052157929,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Austria,FOR DISTRIBUTION-NV,,,Y,Luzula multiflora,175,Juncaceae,,,,
Luzula pallescens,Luzula pallescens,175,Juncaceae,,4,Very rare,2,12,,,P,0.434,1.060208216,2,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Luzula pallescens,175,Juncaceae,,,,
Luzula pallidula,Luzula pallidula,175,Juncaceae,Fen Wood-rush,4,Very rare,2,12,,,P,,,,native (inferred),,,,,,,,,,,,,,Luzula pallidula,175,Juncaceae,,,,
Luzula pilosa,Luzula pilosa,175,Juncaceae,Hairy Wood-rush,2402,Ubiquitous,11,66,,,P,0.231555718,0.231555718,1,native,,,,,,,,Y,Restricted by Agreement--Belgium,FOR DISTRIBUTION-NV,Y,,Y,Luzula pilosa,175,Juncaceae,,,,
Luzula spicata,Luzula spicata,175,Juncaceae,Spiked Wood-rush,192,Infrequent,4,24,,,P,0.403464483,1.9425,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-,FOR DISTRIBUTION-NV,,,Y,Luzula spicata,175,Juncaceae,,,,
Luzula sylvatica,Luzula sylvatica,175,Juncaceae,Great Wood-rush,2685,Ubiquitous,2,12,,,P,0.487145713,0.487145713,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Luzula sylvatica,175,Juncaceae,1,,,
Blysmus compressus,Blysmus compressus,176,Cyperaceae,Flat-sedge,382,Common,,,"44,78",,P,0.292900703,2.01,2,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Blysmus compressus,176,Cyperaceae,,,,
Blysmus rufus,Blysmus rufus,176,Cyperaceae,Saltmarsh Flat-sedge,440,Common,,80,,,P,2.05,2.05,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Blysmus rufus,176,Cyperaceae,,,,
Bolboschoenus laticarpus,Bolboschoenus laticarpus,176,Cyperaceae,,#N/A,,,,"108,110",,P,0.234245032,0.234245032,1,native (inferred),,,,,,,,,,,,,,Bolboschoenus laticarpus,176,Cyperaceae,,,,
Bolboschoenus maritimus,Bolboschoenus maritimus,176,Cyperaceae,Sea Club-rush,1028,Abundant,,,"108,110",,P,0.237682392,0.237682392,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Bolboschoenus maritimus,176,Cyperaceae,,,,
Carex acuta,Carex acuta,176,Cyperaceae,Slender Tufted-sedge,799,Abundant,,"82,83,84",,,P,0.412384602,0.412384602,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Carex acuta,176,Cyperaceae,,,,
Carex acutiformis,Carex acutiformis,176,Cyperaceae,Lesser Pond-sedge,1708,Abundant,2,38,,,P,0.408961739,0.408961739,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Carex acutiformis,176,Cyperaceae,,,,
Carex appropinquata,Carex appropinquata,176,Cyperaceae,Fibrous Tussock-sedge,53,Rare,,,64,,P,0.362852874,0.362852874,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex appropinquata,176,Cyperaceae,,,,
Carex aquatilis,Carex aquatilis,176,Cyperaceae,Water Sedge,254,Common,,"76,77",,,P,0.48,0.48,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Alberta,MANAGEMENT DECISION-NV,,,Y,Carex aquatilis,176,Cyperaceae,,,,
Carex arenaria,Carex arenaria,176,Cyperaceae,Sand Sedge,945,Abundant,,,"28, 58, 60-64",,P,0.35,0.35,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,,,Y,Carex arenaria,176,Cyperaceae,,,,
Carex atrata,Carex atrata,176,Cyperaceae,Black Alpine-sedge,57,Rare,,54,,,P,0.48,0.48,1,native,,,,,,,,Y,Restricted-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Carex atrata,176,Cyperaceae,,,,
Carex atrofusca,Carex atrofusca,176,Cyperaceae,Scorched Alpine-sedge,6,Very rare,,,"36,38,40",,P,0.72,0.72,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex atrofusca,176,Cyperaceae,,,,
Carex bigelowii,Carex bigelowii,176,Cyperaceae,Stiff Sedge,455,Common,2,"68, 69,70,71",,,P,0.42,0.42,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Carex bigelowii,176,Cyperaceae,,,,
Carex binervis,Carex binervis,176,Cyperaceae,Green-ribbed Sedge,2592,Ubiquitous,,74,,,P,0.447,0.447,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Carex binervis,176,Cyperaceae,,,,
Carex buxbaumii,Carex buxbaumii,176,Cyperaceae,Club Sedge,5,Very rare,,,"74,106",,P,0.706514067,0.706514067,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Carex buxbaumii,176,Cyperaceae,,,,
Carex canescens,Carex canescens,176,Cyperaceae,White Sedge,1417,Abundant,,,"52,62",,P,0.360108662,0.360108662,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex canescens,176,Cyperaceae,,,,
Carex capillaris,Carex capillaris,176,Cyperaceae,Hair Sedge,122,Infrequent,,c.54,,,P,0.59,0.59,1,native,,,,,,,Y,,,MANAGEMENT DECISION-VV,,,Y,Carex capillaris,176,Cyperaceae,,,,
Carex caryophyllea,Carex caryophyllea,176,Cyperaceae,Spring-sedge,2333,Ubiquitous,,68,,,P,0.504801609,0.504801609,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Carex caryophyllea,176,Cyperaceae,,1,,Y
Carex cespitosa,Carex cespitosa,176,Cyperaceae,,#N/A,,,,"64-70, 78",,P,0.392504015,0.392504015,1,native,,,,,,,,,,,,,,Carex cespitosa,176,Cyperaceae,,,,
Carex chordorrhiza,Carex chordorrhiza,176,Cyperaceae,String Sedge,4,Very rare,,,"60,62,70",,P,0.341472598,0.341472598,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Carex chordorrhiza,176,Cyperaceae,,,,
Carex davalliana,Carex davalliana,176,Cyperaceae,Davall's Sedge,1,Very rare,,,46,,P,,,,native,,,,,,,,,,,,,,Carex davalliana,176,Cyperaceae,,,,
Carex demissa,Carex demissa,176,Cyperaceae,Common Yellow-sedge,#N/A,,2,"68, 70",,,P,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-New Zealand North,FOR DISTRIBUTION-VV,,,Y,Carex demissa,176,Cyperaceae,,,,
Carex depauperata,Carex depauperata,176,Cyperaceae,Starved Wood-sedge,10,Very rare,,,44,,P,0.72,0.72,1,native,,,,,,,,Y,Unrestricted--;Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Carex depauperata,176,Cyperaceae,,,,
Carex diandra,Carex diandra,176,Cyperaceae,Lesser Tussock-sedge,670,Common,,,60,,P,0.415360054,0.415360054,1,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Carex diandra,176,Cyperaceae,,,,
Carex digitata,Carex digitata,176,Cyperaceae,Fingered Sedge,40,Rare,,"48,50",,,P,0.377481585,0.377481585,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex digitata,176,Cyperaceae,,,,
Carex dioica,Carex dioica,176,Cyperaceae,Dioecious Sedge,1317,Abundant,,52,,,P,0.507951737,0.507951737,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Carex dioica,176,Cyperaceae,,,,
Carex distans,Carex distans,176,Cyperaceae,Distant Sedge,1046,Abundant,,74,,,P,0.371776882,0.371776882,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex distans,176,Cyperaceae,,,,
Carex disticha,Carex disticha,176,Cyperaceae,Brown Sedge,1725,Abundant,,62,,,P,0.425604093,0.425604093,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex disticha,176,Cyperaceae,,,,
Carex divisa,Carex divisa,176,Cyperaceae,Divided Sedge,174,Infrequent,,,60,,P,0.34,0.34,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex divisa,176,Cyperaceae,,,,
Carex divulsa,Carex divulsa,176,Cyperaceae,Grey sedge,,,,58,,,,,,,,,,,,,,,,,,,,,Carex divulsa,176,Cyperaceae,,,,
Carex echinata,Carex echinata,176,Cyperaceae,Star Sedge,2875,Ubiquitous,,,58,,P,0.374873885,0.374873885,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex echinata,176,Cyperaceae,,,,
Carex elata,Carex elata,176,Cyperaceae,Tufted-sedge,520,Common,,"74,75,76,77",,,P,0.400682324,0.400682324,1,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Carex elata,176,Cyperaceae,,,,
Carex elongata,Carex elongata,176,Cyperaceae,Elongated Sedge,91,Infrequent,,,56,,P,0.45,0.45,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex elongata,176,Cyperaceae,,,,
Carex ericetorum,Carex ericetorum,176,Cyperaceae,Rare Spring-sedge,33,Very rare,5,30,,,P,0.576236532,0.576236532,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex ericetorum,176,Cyperaceae,,,,
Carex extensa,Carex extensa,176,Cyperaceae,Long-bracted Sedge,664,Common,10,60,,,P,0.355,0.355,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Carex extensa,176,Cyperaceae,,,,
Carex filiformis,Carex filiformis,176,Cyperaceae,Downy-fruited Sedge,15,Very rare,,48,,,P,,,,native,,,,,,,,,,,,,,Carex filiformis,176,Cyperaceae,,,,
Carex flacca,Carex flacca,176,Cyperaceae,Glaucous Sedge,3675,Ubiquitous,2,76,,,P,1.051729787,1.051729787,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,Y,,Y,Carex flacca,176,Cyperaceae,,1,,Y
Carex flava,Carex flava,176,Cyperaceae,Large Yellow-sedge,2,Very rare,10,60,,,P,0.345457075,0.345457075,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,Y,,,Carex flava,176,Cyperaceae,,,,
Carex hirta,Carex hirta,176,Cyperaceae,Hairy Sedge,2557,Ubiquitous,2,112,,,P,0.332055325,0.332055325,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Carex hirta,176,Cyperaceae,,,,
Carex hostiana,Carex hostiana,176,Cyperaceae,Tawny Sedge,2008,Ubiquitous,2,56,,,P,0.343455522,0.343455522,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex hostiana,176,Cyperaceae,,1,,Y
Carex humilis,Carex humilis,176,Cyperaceae,Dwarf Sedge,33,Very rare,2,36,,,P,0.464001635,0.464001635,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,,Carex humilis,176,Cyperaceae,,,,
Carex lachenalii,Carex lachenalii,176,Cyperaceae,Hare's-foot Sedge,8,Very rare,,,"58,62,64",,P,0.4,0.4,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex lachenalii,176,Cyperaceae,,,,
Carex laevigata,Carex laevigata,176,Cyperaceae,Smooth-stalked Sedge,1342,Abundant,,,"71,72",,P,0.4705,0.4705,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Carex laevigata,176,Cyperaceae,,,,
Carex lasiocarpa,Carex lasiocarpa,176,Cyperaceae,Slender Sedge,629,Common,,,56,,P,0.383130983,0.383130983,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,Y,Carex lasiocarpa,176,Cyperaceae,,,,
Carex lepidocarpa,Carex lepidocarpa,176,Cyperaceae,Long-stalked Yellow-sedge,#N/A,,2,68,,,P,,,,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Carex lepidocarpa,176,Cyperaceae,,,,
Carex leporina,Carex leporina,176,Cyperaceae,Oval Sedge,3188,Ubiquitous,,64,,,P,0.292082854,0.292082854,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Carex leporina,176,Cyperaceae,,,,
Carex limosa,Carex limosa,176,Cyperaceae,Bog-sedge,636,Common,,,"56,62,64",,P,0.53,0.53,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Carex limosa,176,Cyperaceae,,,,
Carex magellanica,Carex magellanica,176,Cyperaceae,Tall Bog-sedge,141,Infrequent,,"58,60",,,P,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Carex magellanica,176,Cyperaceae,,,,
Carex maritima,Carex maritima,176,Cyperaceae,Curved Sedge,85,Infrequent,,,60,,P,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Carex maritima,176,Cyperaceae,,,,
Carex microglochin,Carex microglochin,176,Cyperaceae,Bristle Sedge,1,Very rare,,,"50,58",,P,0.3,0.3,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Carex microglochin,176,Cyperaceae,,,,
