Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Sapindales	Sapindaceae	Acer	pycnanthum	K.Koch				dioecy			0;0;1				78	78			
Sapindales	Sapindaceae	Acer	robustum	Pax															
Sapindales	Sapindaceae	Acer	rubescens	Hayata															
Sapindales	Sapindaceae	Acer	rubronervium	Y.K.Li															
Sapindales	Sapindaceae	Acer	rubrum	L.		(red maple)		other|polygamodioecy			0;0;146		13	13	78; 104; 91; c. 72; c. 108; c. 144; 65; 78	65			
Sapindales	Sapindaceae	Acer	rufinerve	Siebold & Zucc.				other			0;0;4								
Sapindales	Sapindaceae	Acer	saccharinum	L.		(silver maple)		other|polygamodioecy			0;0;11		26	26	52	52			
Sapindales	Sapindaceae	Acer	saccharum	(Chapm.) Desmarais	subsp. floridanum														
Sapindales	Sapindaceae	Acer	saccharum	(Torr. & A. Gray) Desm.	subsp. grandidentatum			other											
Sapindales	Sapindaceae	Acer	saccharum	(Small) Desmarais	subsp. leucoderme														
Sapindales	Sapindaceae	Acer	saccharum	(F.Michx.) Desmarais	subsp. nigrum	(black maple)													
Sapindales	Sapindaceae	Acer	saccharum		subsp. saccharum			monoecy											
Sapindales	Sapindaceae	Acer	saccharum	(Rehder) A.E.Murray	subsp. skutchii														
Sapindales	Sapindaceae	Acer	saccharum	Marshall		(sugar maple)					0;0;107				26	26			
Sapindales	Sapindaceae	Acer	salweenense	W.W.Sm.															
Sapindales	Sapindaceae	Acer	schneiderianum	Pax & K.Hoffm.															
Sapindales	Sapindaceae	Acer	sempervirens	L.															
Sapindales	Sapindaceae	Acer	shangszeense	W.P.Fang & Soong															
Sapindales	Sapindaceae	Acer	shenkanense	W.P.Fang ex C.C.Fu						tree									
Sapindales	Sapindaceae	Acer	shensiense	W.P.Fang & L.C.Hu															
Sapindales	Sapindaceae	Acer	shihweii	F.Chun & W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	shirasawanum	Koidz.							0;0;1								
Sapindales	Sapindaceae	Acer	sichourense	(W.P.Fang & M.Y.Fang) W.P.Fang															
Sapindales	Sapindaceae	Acer	sieboldianum	Miq.							0;0;3								
Sapindales	Sapindaceae	Acer	sikkimense	Miq.						tree			13	13					
Sapindales	Sapindaceae	Acer	sino-oblongum	Metcalf						tree									
Sapindales	Sapindaceae	Acer	sinopurpurascens	W.C.Cheng				dioecy		tree	0;0;1								
Sapindales	Sapindaceae	Acer	sinopurpurescens																
Sapindales	Sapindaceae	Acer	spicatum	Lam.		(mountain maple)		monoecy			0;0;13				26;26	26			
Sapindales	Sapindaceae	Acer	stachyophyllum	(Maxim.) P.C.DeJong	subsp. betulifolium														
Sapindales	Sapindaceae	Acer	stachyophyllum		subsp. stachyophyllum														
Sapindales	Sapindaceae	Acer	stachyophyllum	Hiern				dioecy		tree	0;0;2		13	13					
Sapindales	Sapindaceae	Acer	sterculiaceum	(Pax) E.Murray	subsp. franchetii			dioecy											
Sapindales	Sapindaceae	Acer	sterculiaceum		subsp. sterculiaceum														
Sapindales	Sapindaceae	Acer	sterculiaceum	Wall.				dioecy		tree	0;0;3								
Sapindales	Sapindaceae	Acer	sutchuenense	Franch.						tree									
Sapindales	Sapindaceae	Acer	sycopseoides	Chun						tree									
Sapindales	Sapindaceae	Acer	taipuense	W.P.Fang															
Sapindales	Sapindaceae	Acer	takesimense	Nakai															
Sapindales	Sapindaceae	Acer	tataricum	(Franch.) P.C.DeJong	subsp. aidzuense														
Sapindales	Sapindaceae	Acer	tataricum	(Maxim.) Wesm.	subsp. ginnala	(Amur maple)		monoecy											
Sapindales	Sapindaceae	Acer	tataricum	(Regel & Herder) A.E.Murray	subsp. semenovii			monoecy											
Sapindales	Sapindaceae	Acer	tataricum		subsp. tataricum														
Sapindales	Sapindaceae	Acer	tataricum	L.		(Tatarian maple)				tree|shrub	0;0;10				26	26			
Sapindales	Sapindaceae	Acer	tegmentosum	Maxim.						tree	0;0;7				26;26	26			
Sapindales	Sapindaceae	Acer	tenellum	Pax						tree									
Sapindales	Sapindaceae	Acer	tenuifolium	(Koidz.) Koidz.															
Sapindales	Sapindaceae	Acer	tetramerum	Pax															
Sapindales	Sapindaceae	Acer	tibetense	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	tonkinense	Lecomte						tree									
Sapindales	Sapindaceae	Acer	trautvetteri	Medw.				monoecy			0;0;2				26	26			
Sapindales	Sapindaceae	Acer	trialatum	L.L.Deng K.Y.Wei & G.S.Fan															
Sapindales	Sapindaceae	Acer	tricaudatum	W.P.Fang & C.C.Fu															
Sapindales	Sapindaceae	Acer	triflorum	Kom.						tree	0;0;2								
Sapindales	Sapindaceae	Acer	truncatum	Bunge		(Shantung maple)		monoecy		tree	0;0;6				26	26			
Sapindales	Sapindaceae	Acer	tschonoskii	A.E.Murray	subsp. koreanum														
Sapindales	Sapindaceae	Acer	tschonoskii		subsp. tschonoskii														
Sapindales	Sapindaceae	Acer	tschonoskii	Maxim.				monoecy			0;0;2								
Sapindales	Sapindaceae	Acer	turcomanicum	Pojark.															
Sapindales	Sapindaceae	Acer	tutcheri	Duthie						tree									
Sapindales	Sapindaceae	Acer	ukurunduense	Trautv. & C.A.Mey.						tree	0;0;4				26	26			
Sapindales	Sapindaceae	Acer	undulatum	Pojark.															
Sapindales	Sapindaceae	Acer	velutinum	Boiss.		(velvet maple)									26;52	26			
Sapindales	Sapindaceae	Acer	wangchii	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	wardii	W.W.Sm.						tree|shrub									
Sapindales	Sapindaceae	Acer	wilsonii	Rehder						tree									
Sapindales	Sapindaceae	Acer	wilsonii		var. wilsonii														
Sapindales	Sapindaceae	Acer	wuyishanicum	W.P.Fang & C.M.Tan															
Sapindales	Sapindaceae	Acer	wuyuanense	W.P.Fang & Y.T.Wu															
Sapindales	Sapindaceae	Acer	× bornmuelleri	Borbás			1												
Sapindales	Sapindaceae	Acer	× coriaceum	Bosc ex Tausch.			1												
Sapindales	Sapindaceae	Acer	× freemanii	A.E.Murray			1												
Sapindales	Sapindaceae	Acer	× martinii	Jord.			1												
Sapindales	Sapindaceae	Acer	× peronai	Schwer.			1												
Sapindales	Sapindaceae	Acer	× pseudoheldreichii				1												
Sapindales	Sapindaceae	Acer	× schwerinii	Pax			1												
Sapindales	Sapindaceae	Acer	yangbiense	Y.S.Chen & Q.E.Yang						tree									
Sapindales	Sapindaceae	Acer	yaoshanicum	W.P.Fang															
Sapindales	Sapindaceae	Acer	yinkunii	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	yui	W.P.Fang						tree									
Apiales	Apiaceae	Aciphylla	anomala	Allan															
Apiales	Apiaceae	Aciphylla	aurea	W.R.B.Oliv.				dioecy			2;0;0				22	22			
Apiales	Apiaceae	Aciphylla	cartilaginea	Petrie				dioecy											
Apiales	Apiaceae	Aciphylla	colensoi	Hook.f.				dioecy											
Apiales	Apiaceae	Aciphylla	congesta	Cheeseman											22	22			
Apiales	Apiaceae	Aciphylla	crenulata	J.B.Armstr.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	crosby-smithii	Petrie															
Apiales	Apiaceae	Aciphylla	cuthbertiana	Petrie															
Apiales	Apiaceae	Aciphylla	dieffenbachii	(F.Muell.) Kirk				dioecy											
Apiales	Apiaceae	Aciphylla	dissecta	(Kirk) W.R.B.Oliv.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	divisa	Cheeseman															
Apiales	Apiaceae	Aciphylla	dobsonii	Hook.f.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	ferox	W.R.B.Oliv.											22	22			
Apiales	Apiaceae	Aciphylla	flexuosa	W.R.B.Oliv.															
Apiales	Apiaceae	Aciphylla	glacialis	(F.Muell.) Benth.				dioecy											
Apiales	Apiaceae	Aciphylla	glaucescens	W.R.B.Oliv.											22	22			
Apiales	Apiaceae	Aciphylla	gracilis	W.R.B.Oliv.															
Apiales	Apiaceae	Aciphylla	hectori	Buchanan				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	hookeri	Kirk															
Apiales	Apiaceae	Aciphylla	horrida	W.R.B.Oliv.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	indurata	Cheeseman															
Apiales	Apiaceae	Aciphylla	inermis	W.R.B.Oliv.											22	22			
Apiales	Apiaceae	Aciphylla	kirkii	Buchanan				dioecy											
Apiales	Apiaceae	Aciphylla	latibracteata	W.R.B.Oliv.															
Apiales	Apiaceae	Aciphylla	lecomtei	J.W.Dawson															
Apiales	Apiaceae	Aciphylla	leighii	Allan															
Apiales	Apiaceae	Aciphylla	lyallii	Hook.f.				dioecy							22	22			
Apiales	Apiaceae	Aciphylla	monroi	Hook.f.				dioecy							22	22			
