order	lineage	superorder	family_scientific_name	scientific_name	english_name	ncbi_taxon_id	status	iucn_2016-2024	cites	main_project	second_project	publication	project	all_projects	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published	sequencing_status
m36	Mammals	Laurasiatheria	Camelidae	Camelus dromedarius	Dromedary camel	9838	4	Not evaluated		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m36	Mammals	Laurasiatheria	Camelidae	Vicugna pacos	Alpaca	30538							VGP	VGP										
m37	Mammals	Laurasiatheria	Equidae	Equus caballus	Arabian horse	9796	4	Not evaluated		VGP	Qatar		VGP	Qatar,VGP	Qatar,VGP	Qatar,VGP	Qatar,VGP				Qatar,VGP			open
m38	Mammals	Laurasiatheria	Rhinoceratidae	Diceros bicornis minor	Southern black rhinoceros	77932	4	Critically Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m39	Mammals	Laurasiatheria	Tapiridae	Tapirus indicus	Malayan tapir	9802	4	Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m40	Mammals	Laurasiatheria	Phyllostomidae	Phyllostomus discolor	pale spear-nosed bat	89673	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m40	Mammals	Laurasiatheria	Phyllostomidae	Artibeus lituratus	great fruit-eating bat	27634		Least Concern		Paratus	Bat1K	Nancy Simmons et al 2024 Welcome Trust Data Note	VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Artibeus intermedius	intermediate fruit-eating bat	51014				Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Glossophaga mutica	Merriam's long-tongued bat	2994998		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Lophostoma evotis	Davis's round-eared bat	574022		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Micronycteris microtis	common big-eared bat	249008		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Platyrrhinus helleri	Heller's broad-nosed bat	27658		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Sturnira parvidens	little yellow-shouldered Mesoamerican bat	196700		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Desmodus rotundus	common vampire bat	9430				Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Lophostoma evotis	Davis' round-eared bat	574022				Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Phyllostomidae	Micronycteris microtis	common big-eared bat	249008				Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Molossidae	Molossus alvarezi	Alvarez's mastiff bat	1552295		Not evaluated		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Molossidae	Molossus molossus	Pallas's mastiff bat	27622		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Molossidae	Molossus nigricans	Ebon mastiff Bat	2997257		Not evaluated		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Molossidae	Tadarida brasiliensis	Brazilian free-tailed Bat	9438							VGP	VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis myotis	greater mouse-eared bat	51298		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis daubentonii	Daubenton's bat	98922		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis nigricans	black myotis	153286							VGP	VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis mystacinus	whiskered bat	109479		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis nattereri	Natterer's bat	109481		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Pipistrellus kuhlii	Kuhl's pipistrelle	59472		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Pipistrellus pipistrellus	common pipistrelle	59474		Least Concern		Sanger 25G			VGP	25GP,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Pipistrellus pygmaeus	soprano pipistrelle	246814		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Pipistrellus nathusii	Nathusius's pipistrelle	59473		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Eptesicus nilssonii	northern bat	59451		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Eptesicus fuscus	big brown bat	29078		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Plecotus auritus	brown big-eared bat	61862		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Rhynchonycteris naso	proboscis bat	249017		Least Concern		Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Antrozous pallidus	pallid bat	9440		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Corynorhinus townsendii	Townsend's big-eared bat	124745		Least Concern		CCGP			VGP	CCGP,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Vespertilio murinus	particolored bat	59485		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Nyctalus leisleri	lesser noctule	59465		Least Concern		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Vespertilionidae	Myotis emarginatus	Geoffroy's bat	109480				DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Miniopteridae	Miniopterus schreibersii	Schreibers' long-fingered bat	9433		Not evaluated		DToL			VGP	DToL,VGP										
m40	Mammals	Laurasiatheria	Emballonuridae	Saccopteryx leptura	lesser sac-winged bat	249018		Least Concern		Bat1K			VGP	Bat1K,VGP										
m40	Mammals	Laurasiatheria	Emballonuridae	Saccopteryx bilineata	greater sac-winged bat	59482		Least Concern		Bat1K			VGP	Bat1K,VGP										
m41	Mammals	Laurasiatheria	Rhinolophidae	Rhinolophus ferrumequinum	greater horseshoe bat	59479	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m41	Mammals	Laurasiatheria	Rhinolophidae	Rhinolophus hipposideros	lesser horseshoe bat	77218		Least Concern		DToL			VGP	DToL,VGP										
m41	Mammals	Laurasiatheria	Pteropodidae	Rousettus aegyptiacus	Egyptian fruit bat	9407		Least Concern		Bat1K			VGP	Bat1K,VGP										
m41	Mammals	Laurasiatheria	Rhinolophidae	Hipposideros larvatus	intermediate roundleaf bat	175524		Least Concern		COVID-19			VGP	COVID-19,VGP										
m41	Mammals	Laurasiatheria	Rhinopomatidae	Rhinopoma cystops	Egyptian mouse-tailed bat	1034335				Paratus	Bat1K		VGP	Bat1K,Paratus,VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Lutra lutra	Eurasian otter	9657	4	Near Threatened		Sanger 25G			VGP	25GP,VGP	25GP,VGP	25GP,VGP	25GP,VGP				25GP,VGP			open
m42	Mammals	Laurasiatheria	Mustelidae	Mustela erminea	stout	36723		Least Concern		VGP			VGP	VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Mustela lutreola	European mink	9666		Critically Endangered		VGP			VGP	VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Mustela nivalis vulgaris	least weasel	36239		Least Concern		DToL			VGP	DToL,VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Neogale vison	American mink	452646		Least Concern		DToL			VGP	DToL,VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Martes martes	European pine marten	29065		Least Concern		ERGA			VGP	ERGA,VGP										
m42	Mammals	Laurasiatheria	Mustelidae	Meles meles	European badger	9662		Least Concern		DToL			VGP	DToL,VGP										
m42	Mammals	Laurasiatheria	Canidae	Canis lupus orion	Greenland wolf	2605939		Not evaluated		DToL			VGP	DToL,VGP										
m42	Mammals	Laurasiatheria	Canidae	Canis lupus familiaris	German shepherd dog	9615		Least Concern		Invidual			VGP	Invidual,VGP										
m42	Mammals	Laurasiatheria	Canidae	Canis lupus baileyi	Mexican wolf	143281							VGP	VGP										
m42	Mammals	Laurasiatheria	Canidae	Speothos venaticus	bush dog	68741		Near Threatened	I	AmaZoomics			VGP	AmaZoomics,VGP										
m42	Mammals	Laurasiatheria	Canidae	Vulpes vulpes	red fox	9627		Least Concern		Yggdrasil			VGP	VGP,YGG										
m42	Mammals	Laurasiatheria	Canidae	Lycaon pictus	African hunting dog	9622							VGP	VGP										
m42	Mammals	Laurasiatheria	Otariidae	Zalophus californianus	California sea lion	9704		Least Concern					VGP	VGP										
m42	Mammals	Laurasiatheria	Phocidae	Halichoerus grypus	grey seal	9711		Least Concern		DToL			VGP	DToL,VGP										
m43	Mammals	Laurasiatheria	Feliformia	Lynx canadensis	Canada lynx	61383	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m43	Mammals	Laurasiatheria	Feliformia	Neofelis nebulosa	clouded leopard	61452		Vulnerable		VGP			VGP	VGP										
m43	Mammals	Laurasiatheria	Feliformia	Panthera onca	jaguar	9690		Near Threatened		AmaZoomics			VGP	AmaZoomics,VGP										
m44	Mammals	Laurasiatheria	Manidae	Manis pentadactyla	Chinese pangolin	143292	4	Critically Endangered		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m45	Mammals	Laurasiatheria	Soricidae	Suncus etruscus	Etruscan shrew	109475	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m45	Mammals	Laurasiatheria	Soricidae	Sorex araneus	European shrew	42254		Least Concern		VGP			VGP	VGP										
m46	Mammals	Laurasiatheria	Talpidae	Talpa europaea	European mole	9375	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m47	Mammals	Laurasiatheria	Erinaceidae	Erinaceus europaeus	European hedgehog	9365	4	Least Concern		DToL			VGP	DToL,VGP	DToL,VGP	DToL,VGP	DToL,VGP				DToL,VGP			open
m48	Mammals	Laurasiatheria	Solenodontidae	Solenodon paradoxus	Hispaniolan solenodon	79805	2	Endangered					VGP	VGP										
m49	Mammals	Marsupials	Phalangeriformes	Trichosurus vulpecula	common brushtail possum	9337	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m50	Mammals	Marsupials	Macropodidae	Macropus eugenii	Tammar wallaby	9315	4	Least Concern		VGP			VGP	VGP	VGP	VGP	VGP				VGP			open
m51	Mammals	Marsupials	Phascolarctidae	Phascolarctos cinereus	koala	38626	4	Vulnerable					VGP	VGP	VGP	VGP	VGP				VGP			open
m52	Mammals	Marsupials	Peramelidae	Macrotis lagotis	greater bilby	92651	4	Vulnerable					VGP	VGP	VGP	VGP	VGP				VGP			open
