ncbi_taxon_id	species	family	target_list_status	sequencing_status	publication_id	taxonomic_group	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
79762	Coriaria ruscifolia	Coriariaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Valeriana senecioides	Valerianaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Gaultheria renjifoana	Ericaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Geoffrea decorticans	Geoffrea	long_list			Vascular plant	1000GCH	1000GCH											
3082785	Adesmia bijuga	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
191878	Balsamocarpon brevifolium	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Corynabutilon salicifolium	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
1387661	Hoffmannseggia aphylla	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Senna paposana	Caesalpiniaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Strombocarpa tamarugo	Fabaceae	long_list			Vascular plant	1000GCH	1000GCH											
28948	Nothofagus obliqua	Nothofagaceae	long_list			Vascular plant	1000GCH	1000GCH											
1868835	Coprosma oliveri	Rubiaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Galium masafueranum	Rubiaceae	long_list			Vascular plant	1000GCH	1000GCH											
251266	Gunnera tinctoria	Gunneraceae	long_list			Vascular plant	1000GCH	1000GCH											
2884935	Argylia bifrons	Bignoniaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Calceolaria flavida	Calceolariaceae	long_list			Vascular plant	1000GCH	1000GCH											
751819	Cuminia eriantha	Lamiaceae	long_list			Vascular plant	1000GCH	1000GCH											
475008	Euphrasia formosissima	Orobanchaceae	long_list			Vascular plant	1000GCH	1000GCH											
2588989	Lampayo officinalis	Verbenaceae	long_list			Vascular plant	1000GCH	1000GCH											
255877	Monttea chilensis	Plantaginaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Nesocaryum stylosum	Boraginaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Plantago nebularis	Plantaginaceae	long_list			Vascular plant	1000GCH	1000GCH											
662447	Rhaphithamnus venustus	Verbenaceae	long_list			Vascular plant	1000GCH	1000GCH											
2858973	Scutellaria valdiviana	Lamiaceae	long_list			Vascular plant	1000GCH	1000GCH											
128683	Persea lingue	Lauraceae	long_list			Vascular plant	1000GCH	1000GCH											
136107	Beilschmiedia berteroana	Lauraceae	long_list			Vascular plant	1000GCH	1000GCH											
63809	Laurelia sempervirens	Atherospermataceae	long_list			Vascular plant	1000GCH	1000GCH											
	Alstroemeria mollensis	Alstroemeriaceae	long_list			Vascular plant	1000GCH	1000GCH											
59097	Luzuriaga radicans	Alstroemeriaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Carica chilensis	Caricaceae	long_list			Vascular plant	1000GCH	1000GCH											
375267	Myrteola nummularia	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
260145	Ugni molinae	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
1130217	Myrceugenia colchaguensis	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
290080	Myrceugenia exsucca	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
2025069	Myrcianthes coquimbensis	Myrtaceae	long_list			Vascular plant	1000GCH	1000GCH											
	Oenothera grisea	Onagraceae	long_list			Vascular plant	1000GCH	1000GCH											
92928	Eucryphia cordifolia	Cunoniaceae	long_list			Vascular plant	1000GCH	1000GCH											
