Institute	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS (2C)	GS (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample					
MSB	1013711	UK Flora			Betula	nana	<Solanum	GPB3%PVPBmet	165.25	315.37	4.89	3.03	1.908	166.1466667	317.7966667	1.05	0.52	0.51	4.33	3.16	0.014	Robyn Powell									
MSB	1015689	UK Flora			Torilis	arvensis	>Solanum	GPB3%PVPBmet	158.18	230.31	3.17	3.17	1.450	231.3966667	159.4966667	2.90	1.45	1.42	2.98	2.98	0.001	Sahr Mian									
MSB	1015922	UK Flora			Phalaris	arundinacea	>Petro	GPB3%PVPBmet	261.61	628	2.32	3.48	2.400	603.4633333	248.4266667	10.93	5.47	5.35	4.17	2.16	0.027	Robyn Powell									
MSB	102225	UK Flora			Carex	capillaris	<Solanum	GPB3%PVPBmet	218.28	369.58	4.07	3.36	1.693	219.9766667	371.43	1.18	0.59	0.58	3.71	3.07	0.007	Robyn Powell									
MSB	102384	UK Flora			Cochlearia	micacea	<Petro	GPB3%PVPBmet	180.78	345.31	7	4.53	1.910	159.85	303.17	2.37	1.19	1.16	6.07	3.81	0.013	Robyn Powell									
MSB	1026126	UK Flora			Lobelia	urens	<Petro	Cystain	72.59	343.36	3.41	2.15	4.730	72.31333333	340.8633333	0.95	0.48	0.47	3.53	2.23	0.038	Arezoo Dastpak									
MSB	1034561	UK Flora			Reseda	lutea	<Petro	GPB3%PVPBmet	178.72	444.36	11.68	2.79	2.486	169.41	462.495	1.65	0.82	0.81	7.02	2.68	0.000	Sahr Mian									
MSB	1039748	UK Flora			Salix	cinerea	<Petro	GPB3%PVPBmet	174.08	436.52	4.5	1.9	2.508	206.66	507.9666667	1.83	0.92	0.90	4.80	1.90	0.046	Robyn Powell									
MSB	1039759	UK Flora			Populus	tremula	<Solanum	GPB3%PVPBmet	163.18	308.28	6.68	2.99	1.889	169.9833333	316.9866667	1.07	0.54	0.52	5.82	3.02	0.025	Robyn Powell									
MSB	1042430				Salix	aurita	<Petro	GPB3%PVPBmet	246.49	668.13	3.58	2.18	2.711	251.1	572.3366667	1.97	0.99	0.97	4.15	2.43	0.040	Robyn Powell									
MSB	1044294	UK Flora			Pulsatilla	vulgaris	>Pisum	GPB3%PVPBmet	160.1	480.63	2.36	2.56	3.002	483.8433333	162.0366667	27.14	13.57	13.27	2.74	2.58	0.016	Sahr Mian									
MSB	106935	UK Flora			Lithospermum	officinale	<Petro	GPB3%PVPBmet	148.71	465.47	4.6	2.27	3.130	149.8833333	469.8466667	1.44	0.72	0.70	4.35	1.98	0.031	Robyn Powell									
MSB	107091	UK Flora			Allium	sphaerocephalon	>Petro	GPB3%PVPBmet	113.89	786.54	3.9	2.46	6.906	772.6366667	113.06	30.75	15.38	15.04	2.91	3.99	1.710	Robyn Powell									
MSB	107828	UK Flora			Hieracium	calenduliflorum	>Petro		187.11	314.19	2.06	2.74	1.679	313.9733333	187.5966667	7.53	3.77	3.68	2.89	2.08	0.006	Robyn Powell									
MSB	107884	UK Flora			Hieracium	calenduliflorum	>Petro		160.85	559.71	2.49	2.7	3.480	558.4766667	161.8133333	15.53	7.77	7.59	2.63	2.63	0.026	Robyn Powell									
MSB	107895	UK Flora			Hieracium	calenduliflorum	>Petro		130.81	454.55	5.48	7.66	3.475	456.2933333	130.7466667	15.70	7.85	7.68	6.53	5.38	0.023	Robyn Powell									
MSB	108124	UK Flora			Hieracium	hanburyi f. atraticeps	>Petro		149.96	529.75	3.42	2.83	3.533	541.5766667	156.0033333	15.62	7.81	7.64	2.52	3.11	0.059	Robyn Powell									
MSB	109350	UK Flora			Alchemilla	acutiloba	<Petro	GPB3%PVPBmet	275.69	321.15	3.19	2.39	1.165	275.8933333	320.6933333	3.87	1.94	1.89	3.37	2.36	0.003	Robyn Powell									
MSB	109453	UK Flora			Arabis	scabra	<Solanum	GPB3%PVPBmet	160.45	397.56	5.59	3.06	2.478	166.9566667	407.2066667	0.82	0.41	0.40	5.44	3.23	0.034	Robyn Powell									
MSB	110440	UK Flora			Rumex	rupestris	<Petro	GPB3%PVPBmet	173.84	418.53	3.9	3.15	2.408	175.64	422.2166667	1.87	0.94	0.92	3.09	2.41	0.008	Robyn Powell									
MSB	111425	UK Flora			Veronica	spicata	<Petro	GPB3%PVPBmet	227.12	306.65	4.33	3.01	1.350	229.5266667	309.9633333	3.33	1.67	1.63	4.22	2.79	0.008	Robyn Powell									
MSB	112237	UK Flora			Lathyrus	aphaca	>Pisum	GPB3%PVPBmet	225.24	245.14	1.62	1.27	1.088	256.5166667	226.4866667	10.30	5.15	5.03	1.60	1.74	0.001	Robyn Powell									
MSB	112374	UK Flora			Picris	hieracioides	<Petro	GPB3%PVPBmet	162.89	247.5	3.29	2.69	1.519	180.4566667	268.1766667	3.03	1.51	1.48	3.28	2.65	0.028	Robyn Powell									
MSB	112547	UK Flora			Thlaspi	arvense	<Petro	GPB3%PVPBmet	152.83	609.18	3.67	3.48	3.986	155.1133333	617.5466667	1.13	0.57	0.55	3.21	3.04	0.004	Robyn Powell									
MSB	112570	UK Flora			Trifolium	scabrum	<Solanum	GPB3%PVPBmet	176.62	311.14	4.05	4.34	1.875	187.9	339.9333333	1.11	0.55	0.54	4.05	4.60	0.028	Robyn Powell									
MSB	112695	UK Flora			Scandix	pecten-veneris	<Petro	GPB3%PVPBmet	283.53	430.89	4.04	3.16	1.520	287.0433333	435.8	2.96	1.48	1.45	3.93	2.87	0.002	Sahr Mian									
MSB	113233	UK Flora			Cynoglossum	germanicum	<Petro	GPB3%PVPBmet	175.06	347.46	3.8	3.01	1.985	184.8633333	362.7266667	2.29	1.15	1.12	4.13	3.28	0.022	Robyn Powell									
