taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
42157	Onchocerca ochengi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/37	
6282	Onchocerca volvulus	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/46	2, 5
65603	Setaria cervi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0			Podgornova et al, 1979 http://dx.doi.org/10.1051/parasite/2000073187	
48799	Setaria digitata	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/14	
6293	Wuchereria bancrofti	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/28	
451377	Aspiculuris tetraptera	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	6	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
509722	Hammerschmidtiella diesingi	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4 Adamson and Nasher (1987)	
451380	Passalurus ambiguus	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	4	2	hd			Meves, 1920; Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames. 	1, 2
412127	Syphacia obvelata	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	4	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	8
75559	Physaloptera turgida	CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	5	2	XX/X0			Walton, 1924 	
214005	Cystidicola farionis	CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	6	2	XX/X0			Muslow, 1912	
214006	Cystidicola stigmatura	CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	6	2	XX/X0			Boyes & Anderson, 1961 http://dx.doi.org/10.1051/parasite/2000073185	
108094	Setaria labiatopapillosa	CHROMADOREA	RHABDITIDA	SPIRURINA	SIRURUIDA	3	2	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Podgornova 1978	
1499391	Mastophorus muris	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIROCERCIDAE	5	2	XX/X0		male | female | amphimixis	Spakulova et al. (2000)	
1766045	Protospirura muricola	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIRURIDAE	5	2	XX/X0			Walton, 1924 	
103827	Thelazia callipaeda	CHROMADOREA	RHABDITIDA	SPIRURINA	THELAZIIDAE	4	2	XX/X0			Sakaguchi & Kihara, 1984	
165870	Anguina agrostis	CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2				Parazitologiia. Jul-Aug 1977;11(4):366-8.	
1859146	Anguina paludicola	CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2				https://www.biotaxa.org/Zootaxa/article/view/zootaxa.2060.1.3	
269767	Aphelenchoides besseyi	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	3	2			amphimixis	Yoshida Journal of Nematology 41(1):17–22. 2009 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3365301/pdf/17.pdf	
1510644	Aphelenchoides composticola	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	4	2			amphimixis	https://core.ac.uk/download/pdf/39878708.pdf	
57562	Belonolaimus longicaudatus	CHROMADOREA	RHABDITIDA	TYLENCHINA	BELONOLAIMIDAE	8	2				http://nemaplex.ucdavis.edu/Taxadata/G022s1.aspx	
70226	Aphelenchus avenae	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	8	2				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2620164/pdf/168.pdf	9
182293	Globodera mexicana	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
36090	Globodera pallida	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4054857/	
31243	Globodera rostochiensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
34510	Heterodera avenae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
157847	Heterodera carotae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
157849	Heterodera cruciferae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
51029	Heterodera glycines	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	https://jcs.biologists.org/content/joces/43/1/225.full.pdf	14, 18
57557	Heterodera goettingiana	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
2759895	Heterodera oryzae	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
97005	Heterodera schachtii	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
2055750	Meloidodera floridensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	26	3			apomixis	Triantaphyllou AC. Oogenesis and the Chromosomes of the Cystoid Nematode, Meloidodera floridensis. J Nematol. 1971;3: 183–188. Available: https://www.ncbi.nlm.nih.gov/pubmed/19322366	27
1965296	Meloidogyne africana	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	21				apomixis	Janssen T, Karssen G, Topalović O, Coyne D, Bert W. Integrative taxonomy of root-knot nematodes reveals multiple independent origins of mitotic parthenogenesis. PLoS One. 2017;12: e0172190. doi:10.1371/journal.pone.0172190	
6304	Meloidogyne arenaria	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36				automixis	Triantaphyllou AC: Polyploidy and Parthenogenesis in the Root-knot Nematode Meloidogyne arenaria. Journal of Morphology 1963, 113:489Ð499.                                                                                                                                                                               	30, 35, 40, 50, 51, 53, 54
59747	Meloidogyne chitwoodi	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	14				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina  Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272.                                                                                                                                                                      State University; 1985.                                                                                     	28
1154578	Meloidogyne cruciani	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
390850	Meloidogyne enterolobii	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44				apomixis	Rammah A, Hirschmann H: Meloidogyne mayaguensis n. sp. (Meloidogynidae), a Root-knot Nematode from Puerto Rico. J Nematol 1988, 20:58–69. Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	46
186942	Meloidogyne exigua	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
298350	Meloidogyne floridensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Handoo ZA, Nyczepir AP, Esmenjaud D, van der Beek JG, Castagnone-Sereno P, Carta LK, Skantar AM, Higgins JA: Morphological, Molecular, and Differential-Host Characterization of Meloidogyne floridensis n. sp. (Nematoda: Meloidogynidae), a Root-Knot Nematode Parasitizing Peach in Florida. J Nematol 2004, 36:20–35.	9; automixis
189291	Meloidogyne graminicola	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.      Triantaphyllou J Nem 2 26-32                                                                               	
299423	Meloidogyne graminis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
6305	Meloidogyne hapla	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34	2			automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	13, 26, 28, 30 (M. hapla A); 31, 32, 43, 45 (M hapla B)
520120	Meloidogyne hispanica	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	33				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
6306	Meloidogyne incognita	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34				apomixis	Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272.                                                                                                                                                                      	30, 32, 35, 36, 41
1154580	Meloidogyne izalcoensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44				apomixis	Carneiro RMDG, Almeida MRA, Gomes ACMM, Hernandez A: Meloidogyne izalcoensis n. sp. (Nematoda: Meloidogynidae), a root-knot nematode parasitising coffee in El Salvador. Nematology 2005, 7:819–832.                                                                                                                     	
6303	Meloidogyne javanica	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	41				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985. Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272.	42, 43, 46
2664144	Meloidogyne kikuyensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	7	2			amphimixis	Triantaphyllou AC: Cytogenetic status of Meloidogyne kikuyensis in relation to other root-knot nematodes. Revue de Nematologie 1990, 13:175–180.                                                                                                                                                                         	
189292	Meloidogyne konaensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44				apomixis	Eisenback JD, Bernard EC, Schmitt DP: Description of the Kona Coffee Root-knot Nematode, Meloidogyne konaensis n. sp. J Nematol 1994, 26:363–374.                                                                                                                                                                        	
537484	Meloidogyne mali	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	24	2			amphimixis	Janssen T, Karssen G, Topalović O, Coyne D, Bert W. Integrative taxonomy of root-knot nematodes reveals multiple independent origins of mitotic parthenogenesis. PLoS One. 2017;12: e0172190. doi:10.1371/journal.pone.0172190	
191635	Meloidogyne microtyla	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2			amphimixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.  Goldstein P, Triantaphyllou AC: The synaptonemal complexes of Meloidogyne: relationship of structure and evolution of parthenogenesis. Chromosoma 1982, 87:117–124.                                                                                                                                                                                                                                          	19
235213	Meloidogyne minor	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34				automixis	Karssen G, Bolk RJ, Van Aelst AC, van den Beld I, Kox LF f., Korthals G, Molendijk L, Zijlstra C, Van Hoof R, Cook R: Description of Meloidogyne minor n. sp. (Nematoda: Meloidogynidae), a root-knot nematode associated with yellow patch disease in golf courses. Nematology 2004, 6:59–72.                           	
