taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
65603	Setaria cervi	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0			Podgornova et al, 1979 http://dx.doi.org/10.1051/parasite/2000073187	
48799	Setaria digitata	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	6	2	12	XX/X0		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/14	
6293	Wuchereria bancrofti	CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	5	2	10	XX/XY		male | female | amphimixis	Post http://www.filariajournal.com/content/4/1/28	
451377	Aspiculuris tetraptera	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	6	2	12	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
509722	Hammerschmidtiella diesingi	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	5	2	10	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4 Adamson and Nasher (1987)	
451380	Passalurus ambiguus	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	4	2	8	hd			Meves, 1920; Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames. 	1, 2
412127	Syphacia obvelata	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	4	2	8	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	8
75559	Physaloptera turgida	CHROMADOREA	RHABDITIDA	SPIRURINA	PHYSALOPTERIDAE	5	2	10	XX/X0			Walton, 1924 	
214005	Cystidicola farionis	CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	6	2	12	XX/X0			Muslow, 1912	
214006	Cystidicola stigmatura	CHROMADOREA	RHABDITIDA	SPIRURINA	RHABDOCHONIDAE	6	2	12	XX/X0			Boyes & Anderson, 1961 http://dx.doi.org/10.1051/parasite/2000073185	
108094	Setaria labiatopapillosa	CHROMADOREA	RHABDITIDA	SPIRURINA	SIRURUIDA	3	2	6	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Podgornova 1978	
1499391	Mastophorus muris	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIROCERCIDAE	5	2	10	XX/X0		male | female | amphimixis	Spakulova et al. (2000)	
1766045	Protospirura muricola	CHROMADOREA	RHABDITIDA	SPIRURINA	SPIRURIDAE	5	2	10	XX/X0			Walton, 1924 	
103827	Thelazia callipaeda	CHROMADOREA	RHABDITIDA	SPIRURINA	THELAZIIDAE	4	2	8	XX/X0			Sakaguchi & Kihara, 1984	
165870	Anguina agrostis	CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2	36				Parazitologiia. Jul-Aug 1977;11(4):366-8.	
1859146	Anguina paludicola	CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	18	2	36				https://www.biotaxa.org/Zootaxa/article/view/zootaxa.2060.1.3	
269767	Aphelenchoides besseyi	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	3	2	6			amphimixis	Yoshida Journal of Nematology 41(1):17–22. 2009 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3365301/pdf/17.pdf	
1510644	Aphelenchoides composticola	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	4	2	8			amphimixis	https://core.ac.uk/download/pdf/39878708.pdf	
