"Infra Class","Order","Family","Common name","Species","Synonym*","2n","Estimated_haploid_2n/2","Reference"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus fuscus","","68","34","Hammar 1970; Les Christidis 1990"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus marinus","","68","34","Ryttman et al. 1979; Les Christidis 1990"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Larus schistisagus","","68","34","Bian et al. 1991"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Sterna hirundo","","68","34","Hammar 1970"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Sterna paradisaea","","70","35","Hammar 1970"
"NEOGNATHAE","CHARADRIIFORMES","Laridae","","Sternula albifrons","","68","34","Piccinni and Stella 1970"
"NEOGNATHAE","CHARADRIIFORMES","Recurvirostridae","Stilts, Avocets","Himantopus himantopus","","80","40","Bhunya and Mohanty 1987; Ebied et al. 2005"
"NEOGNATHAE","CHARADRIIFORMES","Recurvirostridae","","Recurvirostra avosetta","","76","38","Hammar 1970"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","Sandpipers, Snipes","Actitis hypoleucos","Tringa hypoleucos","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Arenaria interpres","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris acuminata","Calidris acuminatus","84","42","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris alpina","Calidris alpinus","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris canutus","","90","45","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris ruficollis","","86","43","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris temminckii","","90","45","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Calidris tenuirostris","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Gallinago gallinago","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Gallinago stenura","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Limosa lapponica","","94","47","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Numenius arquata","","78","39","Hammar 1970; Bian et al. 1991"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Scolopax rusticola","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa erythropus","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa flavipes","","88","44","Shields 1982"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa glareola","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa guttifer","","88","44","Xiaozhuang et al. 1993"
"NEOGNATHAE","CHARADRIIFORMES","Scolopacidae","","Tringa nebularia","","88","44","Xiaozhuang et al. 1993"
