row_number	ncbi_taxid	phylum	subphylum	class	order	family	genus_species	common_name	c_value	chromosome_number	c_value_method	cell_type	standard_species	references
6131	1349300	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon flammeus	Flame tetra	1.27	52	FCM	RBC	HS, RT	542
6133	1828358	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon pulchripinnis	Lemon tetra	1.83	48	FCM	RBC	HS, RT	542
6134	930253	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon reticulatus	N/A	1.15	50	FD	RBC	CP, GD, OM	77
6135	930352	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Markiana nigripinnis	N/A	1.08	52	FD	RBC	CP, GD, OM	77
6136	138550	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Metynnis hypsauchen	Silver dollar	1.7	NA	BFA	RBC	SP	216
6137	930257	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Metynnis lippincottianus	N/A	1.7	62	BFA	RBC	SP	215, 216
6138	681897	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Mimagoniates microlepis	Barberos tetra	1.53	52	FD	RBC	CP, GD, OM	77
6139	1315296	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Moenkhausia dichroura	Bandtail tetra	1.01	NA	FD	RBC	CP, GD, OM	77
6140	489759	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Moenkhausia oligolepis	Glass tetra	1.6	50	BFA	RBC	SP	215, 216
6141	272069	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Moenkhausia sanctaefilomenae	Redeye tetra	1.2	NA	FD	RBC	CP, GD, OM	77
6142	272069	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Moenkhausia sanctaefilomenae	Redeye tetra	1.38	50	FD	RBC	CP, GD, OM	76
6143	42523	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Mylossoma paraguayensis	N/A	1.46	54	FD	RBC	CP, GD, OM	77
6144	1123829	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Odontostilbe stenodon	N/A	1.86	52	FD	RBC	CP, GD, OM	76
6145	756473	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Oligosarcus hepsetus	N/A	1.67	50	FD	RBC	CP, GD, OM	77
6146	930260	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Oligosarcus paranensis	N/A	1.66	50	FD	RBC	CP, GD, OM	76
6147	681930	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Piabina argentea	N/A	1.18	52	FD	RBC	CP, GD, OM	76
6148	930373	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Piabucus melanostoma	N/A	1.2	NA	FD	RBC	CP, GD, OM	77
6149	930262	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Poptella paraguayensis	N/A	1.74	NA	FD	RBC	CP, GD, OM	77
6150	767252	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Pseudocorynopoma heterandria	N/A	1.26	NA	FD	RBC	CP, GD, OM	77
6151	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Roeboides bonariensis	N/A	1.09	52	FD	RBC	CP, GD, OM	77
6153	932087	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Salminus hilarii	N/A	1.31	50	FD	RBC	CP, GD, OM	76
6154	371937	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus brandtii	White piranha	1.64	60	FD	RBC	CP, GD, OM	77
6155	371941	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus hollandi	Piranha	1.69	64	FD	RBC	HS	342
6158	42516	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus spilopleura	Speckled piranha	1.44	60	FD	RBC	CP, GD, OM	76
6159	42516	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus spilopleura	Speckled piranha	1.58	NA	FD	RBC	CP, GD, OM	77
6160	642566	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Tetragonopterus argenteus	N/A	1.5	NA	FD	RBC	CP, GD, OM	77
6161	681900	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Tetragonopterus chalceus	N/A	1.97	52	FD	RBC	CP, GD, OM	77
6162	42554	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Triportheus paranensis	N/A	1.34	NA	FD	RBC	CP, GD, OM	77
6163	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Triportheus pictus	N/A	1.73	NA	FD	RBC	CP, GD, OM	77
6164	2259440	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Curimata vittata	N/A	1.49	NA	FD	RBC	CP, GD, OM	77
6165	930243	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Curimatella dorsalis	N/A	1.42	54	FD	RBC	CP, GD, OM	77
6166	984680	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Cyphocharax gilbert	N/A	1.66	54	FD	RBC	CP, GD, OM	77
6167	1123834	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Cyphocharax modestus	N/A	1.6	54	FD	RBC	CP, GD, OM	76
6168	2259464	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Potamorhina squamoralevis	N/A	1.9	102	FD	RBC	CP, GD, OM	77
6170	370024	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Prochilodus argenteus	N/A	1.54	54	FD	RBC	CP, GD, OM	77
6171	27695	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Prochilodus lineatus	N/A	1.68	54	FD	RBC	CP, GD, OM	76
6173	1053597	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Steindachnerina elegans	N/A	1.73	54	FD	RBC	CP, GD, OM	77
6174	642564	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Steindachnerina guentheri	N/A	1.62	54	FD	RBC	CP, GD, OM	77
6175	327007	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Steindachnerina insculpta	N/A	1.43	54	FD	RBC	CP, GD, OM	76
6176	642551	Chordata	Vertebrata	Osteichthyes	Characiformes	Cynodontidae	Hydrolycus scomberoides	Payara	1.05	NA	FD	RBC	CP, GD, OM	77
6178	27720	Chordata	Vertebrata	Osteichthyes	Characiformes	Erythrinidae	Hoplias malabaricus	Trahira	1.16	NA	FD	RBC	CP, GD, OM	76
6179	27720	Chordata	Vertebrata	Osteichthyes	Characiformes	Erythrinidae	Hoplias malabaricus	Trahira	1.4	42	BFA	RBC	SP	215, 216
6184	42612	Chordata	Vertebrata	Osteichthyes	Characiformes	Hemiodontidae	Apareiodon affinis	N/A	1.02	NA	FD	RBC	CP, GD, OM	77
6185	42612	Chordata	Vertebrata	Osteichthyes	Characiformes	Hemiodontidae	Apareiodon affinis	N/A	1.27	54	FD	RBC	CP, GD, OM	76
6186	930265	Chordata	Vertebrata	Osteichthyes	Characiformes	Lebiasinidae	Pyrrhulina australis	N/A	0.99	40	FD	RBC	CP, GD, OM	76
4149	NA	Chordata	Vertebrata	Aves	Charadriiformes	Charadriidae	Vanellus coronatus	Crowned lapwing	1.67	NA	FIA	RBC	GD	711
4150	35669	Chordata	Vertebrata	Aves	Charadriiformes	Laridae	Larus argentatus	Herring gull	1.43	NA	FIA	RBC	GD	575
4151	119609	Chordata	Vertebrata	Aves	Charadriiformes	Laridae	Larus cachinnans	Herring gull	1.5	66-70	FD	RBC	GD	529
4152	126679	Chordata	Vertebrata	Aves	Charadriiformes	Laridae	Leucophaeus atricilla	Laughing gull	1.45	NA	FD	LV	MM, BT	23
4153	1192867	Chordata	Vertebrata	Aves	Charadriiformes	Laridae	Chroicocephalus ridibundus	Common black-headed gull	1.82	68	SCF	RBC	HS	106
4154	171275	Chordata	Vertebrata	Aves	Charadriiformes	Recurvirostridae	Recurvirostra avosetta	Pied avocet	1.59	NA	FCM	RBC	HS, OM	598
4155	320702	Chordata	Vertebrata	Aves	Charadriiformes	Scolopacidae	Actitis hypoleucos	Common sandpiper	1.42	86	FD	RBC	GD	529
4156	8919	Chordata	Vertebrata	Aves	Charadriiformes	Scolopacidae	Calidris alpina	Dunlin	1.28	88	FD	RBC	GD	529
4157	425641	Chordata	Vertebrata	Aves	Charadriiformes	Sternidae	Hydroprogne caspia	Caspian tern	1.39	NA	FIA	RBC	GD	575
4158	126723	Chordata	Vertebrata	Aves	Charadriiformes	Sternidae	Thalasseus sandvicensis	Sandwich tern	1.4	NA	FD	LV	MM, BT	23
4159	9248	Chordata	Vertebrata	Aves	Charadriiformes	Turnicidae	Turnix sylvaticus	Common buttonquail	1.26	NA	FIA	RBC	GD	711
4990	7868	Chordata	Vertebrata	Chondrichthyes	Chimaeriformes	Callorhinchidae	Callorhinchus milii	Ghost shark	1.94	NA	FIA	RBC	BS, GD, OM, RP	204
4991	30516	Chordata	Vertebrata	Chondrichthyes	Chimaeriformes	Chimaeridae	Chimaera sp.	Chimaera	2.01	NA	FIA	RBC	BS, GD, OM, RP	204
4992	7873	Chordata	Vertebrata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus colliei	Spotted ratfish	1.51	58	FD	RBC	HS	355
4993	7873	Chordata	Vertebrata	Chondrichthyes	Chimaeriformes	Chimaeridae	Hydrolagus colliei	Spotted ratfish	1.6	NA	BFA	RBC	SP	219
4994	134994	Chordata	Vertebrata	Chondrichthyes	Chimaeriformes	Rhinochimaeridae	Rhinochimaera pacifica	Pacific spookfish	1.58	NA	FIA	RBC	BS, GD, OM, RP	204
5247	59482	Chordata	Vertebrata	Mammalia	Chiroptera	Emballonuridae	Saccopteryx bilineata	Greater sac-winged bat	3.16	NA	FIA	SP	SS, BO	708
5248	110943	Chordata	Vertebrata	Mammalia	Chiroptera	Emballonuridae	Taphozous sp.	Tomb bat	2.18	NA	FIA	KC	SS, BO	708
5249	302402	Chordata	Vertebrata	Mammalia	Chiroptera	Hipposideridae	Hipposideros caffer	Sundevall's leaf-nosed bat	2.44	NA	FIA	KC, SP	SS, BO	708
5252	463808	Chordata	Vertebrata	Mammalia	Chiroptera	Hipposideridae	Hipposideros ruber	Noack's leaf-nosed bat	2.65	NA	FIA	KC	SS, BO	708
5253	270764	Chordata	Vertebrata	Mammalia	Chiroptera	Megadermatidae	Cardioderma cor	Heart-nosed bat	2.72	NA	FIA	KC	SS, BO	708
5254	1582325	Chordata	Vertebrata	Mammalia	Chiroptera	Megadermatidae	Lavia frons	Yellow-winged bat	2.35	NA	FIA	KC	SS, BO	708
5255	288698	Chordata	Vertebrata	Mammalia	Chiroptera	Molossidae	Chaerephon nigeriae	Nigerian free-tailed bat	2.47	NA	FIA	KC	SS, BO	708
5256	242384	Chordata	Vertebrata	Mammalia	Chiroptera	Molossidae	Chaerephon pumilus	Little free-tailed bat	2.4	NA	FIA	KC	SS, BO	708
5257	27620	Chordata	Vertebrata	Mammalia	Chiroptera	Molossidae	Eumops perotis	Greater bonneted bat	2.84	NA	FIA	LV	SS, BO	708
