phylum	echabs92	scientific_name	genus	subspecies	comment	alt_taxon_id
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Solenanthus albanicus	Solenanthus		(Degen & al.) Degen & Baldacci	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sorbus teodorii	Sorbus		Liljefors	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stemmacantha cynaroides	Stemmacantha		(Chr. Son. in Buch) Ditt	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa austroitalica	Stipa		Martinovsky	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa bavarica	Stipa		Martinovsky & H. Scholz	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa styriaca	Stipa		Martinovsky	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Stipa veneta	Stipa		Moraldo	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Symphytum cycladense	Symphytum		Pawl.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Teucrium lepicephalum	Teucrium		Pau	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Teucrium turredanum	Teucrium		Losa & Rivas Goday	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Thesium ebracteatum	Thesium		Hayne	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Thlaspi jankae	Thlaspi		A. Kern.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Thymus lotocephalus	Thymus		G. López & R. Morales ( Thymus cephalotos L.)	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Tozzia carpathica	Tozzia		Wol.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Tulipa cypria	Tulipa		Stapf	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Verbascum litigiosum	Verbascum		Samp.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Veronica oetaea	Veronica		L.-A. Gustavsson	
