taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2306589	Ischnochiton papillosus (C.B.Adams, 1845)	2306589	Ischnochiton papillosus (C.B.Adams, 1845)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Polyplacophora	346	Chitonida	8278247	Ischnochitonidae	7625	Ischnochiton	2306523	Ischnochiton papillosus	2306589	NE
5189292	Gouldia cerina (C.B.Adams, 1845)	5189292	Gouldia cerina (C.B.Adams, 1845)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Veneridae	3445	Gouldia	2287658	Gouldia cerina	5189292	NE
6124934	Arachnoidiscus ornatus Ehrenberg	6124934	Arachnoidiscus ornatus Ehrenberg	1	SPECIES	DOUBTFUL	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Arachnoidiscales	485	Arachnoidiscaceae	7140	Arachnoidiscus	8240170	Arachnoidiscus ornatus	6124934	NE
6513760	Glyphostoma gratula (Dall, 1881)	6513760	Glyphostoma gratula (Dall, 1881)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Clathurellidae	5856916	Glyphostoma	2303483	Glyphostoma gratula	6513760	NE
6525276	Globivenus magdalenae (Dall, 1902)	6525276	Globivenus magdalenae (Dall, 1902)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Veneridae	3445	Globivenus	2287762	Globivenus magdalenae	6525276	NE
7391107	Gephyria media Arnott, 1860	7391107	Gephyria media Arnott, 1860	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Cyclophorales	7440861	Entopylaceae	8188210	Gephyria	8119284	Gephyria media	7391107	NE
7634858	Basidiosyllis victoriae San Martín, López & Aguado, 2009	8810677	Paraopisthosyllis victoriae (San Martín, López & Aguado, 2009)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Syllidae	3588	Paraopisthosyllis	2310929	Paraopisthosyllis victoriae	8810677	NE
2242933	Desmacella polysigmata van Soest, 1984	2242933	Desmacella polysigmata van Soest, 1984	4	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Desmacellida	8095499	Desmacellidae	4905	Desmacella	2239993	Desmacella polysigmata	2242933	NE
6487163	Gemelliporina hastata Winston & Woollacott, 2009	6487163	Gemelliporina hastata Winston & Woollacott, 2009	1	SPECIES	ACCEPTED	Animalia	1	Bryozoa	53	Gymnolaemata	252	Cheilostomatida	467	Cleidochasmatidae	5800	Gemelliporina	1007005	Gemelliporina hastata	6487163	NE
6500775	Eratoidea margarita (Kiener, 1834)	6500775	Eratoidea margarita (Kiener, 1834)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Marginellidae	2689	Eratoidea	2304043	Eratoidea margarita	6500775	NE
6523753	Mysella barbadensis Dall, 1899	8523242	Kurtiella barbadensis (Dall, 1899)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Galeommatida	9898370	Lasaeidae	2287080	Kurtiella	4371645	Kurtiella barbadensis	8523242	NE
2286867	Tellina mera Say, 1834	9124169	Tampaella mera (Say, 1838)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Cardiida	9529005	Tellinidae	3448	Tampaella	7533399	Tampaella mera	9124169	NE
2292816	Lamellitrochus carinatus Quinn, 1991	2292816	Lamellitrochus carinatus Quinn, 1991	32	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Solariellidae	4607341	Lamellitrochus	2292813	Lamellitrochus carinatus	2292816	NE
