superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
Caudata	Salamandroidea > Salamandridae	Salamandra salamandra	in_progress			Chordata	VGP	VGP	VGP	VGP			
Caudata	Sirenoidea > Sirenidae	Siren intermedia	in_progress			Chordata	VGP	VGP	VGP	VGP			
Gymnophiona	Rhinatrematidae	Rhinatrema bivittatum	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Gymnophiona	Teresomata > Caeciliidae | Herpelidae	Microcaecilia unicolor	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Gymnophiona	Teresomata > Dermophiidae | Typhlonectidae	Geotrypetes seraphini	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Cypriniformes (Cyprinidae)	Danio rerio	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Cypriniformes (Cyprinidae)	Danio rerio		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Cypriniformes (Cyprinidae)	Danio rerio		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Cypriniformes (Nemacheilidae)	Barbatula barbatula		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Cypriniformes (Cyprinidae)	Barbus barbus		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Characiformes (Serrasalmidae)	Pygocentrus nattereri	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Characiformes (Erythrinidae)	Hoplias malabaricus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Siluriformes (Siluridae)	Silurus aristotelis	in_progress	ERGA		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Siluriformes (Ariidae)	Pangasianodon hypophthalmus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Siluriformes (Ariidae)	Neoarius graeffei				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Siluriformes (Trichomycteridae)	Trichomycterus rosablanca				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Stomiatiformes/Stomiiformes	Stomias boa boa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Ophidiiformes	Opidion barbatum				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Gobiiformes	Periophthalmodon magnuspinnatus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Scombriformes (Scombridae)	Thunnus maccoyii	in_progress	DToL		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Scombriformes (Scombridae)	Thunnus albacares		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Scombriformes (Scombridae)	Scomber japonicus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Anabantiformes (Anabantidae)	Anabas testudineus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Anabantiformes (Osphronemidae)	Betta splendens		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Pleuronectiformes (Pleuronectidae)	Hippoglossus hippoglossus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Pleuronectiformes (Pleuronectidae)	Pleuronectes platessa		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Carangiformes (Echeneidae)	Echeneis naucrates	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Carangiformes (Carangidae)	Trachurus trachurus		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Cichliformes (Cichlidae)	Archocentrus centrarchus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Cichliformes (Cichllidae)	Astatotilapia calliptera		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Cyprinodontiformes (Anablepidae)	Anableps anableps	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Cyprinodontiformes (Goodeidae)	Girardinichthys multiradiatus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Atheriniformes (Melanotaeniidae)	Melanotaenia boesemani	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Atheriniformes (Atherinopsidae)	Odontesthes bonariensis				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Atheriniformes (Melanotaeniidae)	Telmatherina bonti		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Labriformes sensu stricto	Notolabrus celidotus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
