"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"NHMSYS0020752400","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) pilata","Bowerbank, 1882","Species","NBNORG0000103954","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752401","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) procumbens","Lundbeck, 1910","Species","NBNORG0000103955","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752402","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) prostrata","Thiele, 1903","Species","NBNORG0000103956","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752403","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) similis","Lundbeck, 1910","Species","NBNORG0000103957","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752404","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) spinosa","Stephens, 1916","Species","NBNORG0000103958","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752406","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) truncata","Lundbeck, 1910","Species","NBNORG0000103960","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752407","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) venata","(Schmidt, 1862)","Species","NBNORG0000103961","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752408","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) versicolor","(Topsent, 1893)","Species","NBNORG0000103962","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752409","NHMSYS0021057373","","UKSI","Hymedesmia (Stylopus) hibernica","Stephens, 1916","Species","NBNORG0000103963","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752410","NHMSYS0021057373","","UKSI","Hymedesmia (Stylopus) primitiva","Lundbeck, 1910","Species","NBNORG0000103964","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752411","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) zetlandica","Bowerbank, 1864","Species","NBNORG0000103965","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752421","NBNSYS0000176181","","UKSI","Lissodendoryx (Ectyodoryx) diversichela","Lundbeck, 1905","Species","NBNORG0000103975","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752422","NBNSYS0000176181","","UKSI","Lissodendoryx (Ectyodoryx) foliata","(Fristedt, 1887)","Species","NBNORG0000103976","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752423","NBNSYS0000176181","","UKSI","Lissodendoryx (Lissodendoryx) fragilis","(Fristedt, 1885)","Species","NBNORG0000103977","accepted","","Lissodendoryx","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
