	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
3735	Falcunculus leucogaster		Western Shrike-tit	Falcunculidae		nan	nan	nan	nan	nan	B10K		
3736	Falcunculus whitei		Northern Shrike-tit	Falcunculidae		nan	nan	nan	nan	nan	B10K		
3748	Ficedula hodgsoni		Pygmy Blue Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3756	Ficedula riedeli		Tanimbar Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3760	Ficedula sordida		Slaty-backed Flycatcher	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3785	Formicivora grisea	grisea	White-fringed Antwren	Thamnophilidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3834	Fringillaria affinis		Brown-rumped Bunting	Emberizidae		nan	nan	nan	nan	nan	B10K		
3835	Fringillaria cabanisi		Cabanis's Bunting	Emberizidae		nan	nan	nan	nan	nan	B10K		
3836	Fringillaria capensis		Cape Bunting	Emberizidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3837	Fringillaria flaviventris		Golden-breasted Bunting	Emberizidae		B10K	nan	nan	nan	sample_collected	B10K		
3843	Fulica alai	alai	Hawaiian Coot	Rallidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3849	Fulica caribaea		Caribbean Coot	Rallidae		nan	nan	nan	nan	nan	B10K		
3865	Furnarius leucopus	leucopus	Pale-legged Hornero	Furnariidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
3870	Galbalcyrhynchus leucotis		White-eared Jacamar	Galbulidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3871	Galbalcyrhynchus purusianus		Purus Jacamar	Galbulidae		nan	nan	nan	nan	nan	B10K		
3883	Galerida cristata	caucasica	Crested Lark	Alaudidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3884	Galerida deva		Sykes's Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
3892	Gallicolumba menagei		Sulu Bleeding-heart	Columbidae		nan	nan	nan	nan	nan	B10K		
3897	Gallinago andina		Puna Snipe	Scolopacidae		nan	nan	nan	nan	nan	B10K		
3904	Gallinago macrodactyla		Madagascar Snipe	Scolopacidae		nan	nan	nan	nan	nan	B10K		
3907	Gallinago nemoricola		Wood Snipe	Scolopacidae		nan	nan	nan	nan	nan	B10K		
3909	Gallinago nobilis		Noble Snipe	Scolopacidae		nan	nan	nan	nan	nan	B10K		
3913	Gallinago stricklandii		Fuegian Snipe	Scolopacidae		nan	nan	nan	nan	nan	B10K		
3914	Gallinago undulata	undulata	Giant Snipe	Scolopacidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
3915	Gallinago undulata	undulata	Giant Snipe	Scolopacidae	Phase Genus	nan	nan	nan	nan	nan	B10K	B10K	
3928	Galloperdix bicalcarata		Sri Lanka Spurfowl	Phasianidae		nan	nan	nan	nan	nan	B10K		
3951	Garrulax ferrarius		Cardamom Laughing-thrush	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
3954	Garrulax konkakinhensis		Chestnut-eared Laughing-thrush	Leiothrichidae		nan	nan	nan	nan	nan	B10K		
3993	Gecinulus viridis		Bamboo Woodpecker	Picidae		nan	nan	nan	nan	nan	B10K		
3995	Gennaeodryas placens		Banded Yellow Robin	Petroicidae		nan	nan	nan	nan	nan	B10K		
4025	Geopelia maugeus		Barred Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
4039	Geositta rufipennis	rufipennis	Rufous-banded Miner	Scleruridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4048	Geospizopsis plebejus		Ashy-breasted Sierra Finch	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4051	Geothlypis aequinoctialis	auricularis	Masked Yellowthroat	Parulidae	Phase Genus	B10K	B10K	B10K	nan	in_progress	B10K	B10K	
4067	Geotrygon caniceps		Gray-headed Quail Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
4068	Geotrygon carrikeri		Tuxtla Quail Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
4075	Geotrygon leucometopia		White-fronted Quail Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
4078	Geotrygon mystacea		Bridled Quail Dove	Columbidae		nan	nan	nan	nan	nan	B10K		
4106	Glareola lactea		Little Pratincole	Glareolidae		nan	nan	nan	nan	nan	B10K		
4110	Glareola ocularis		Madagascar Pratincole	Glareolidae		nan	nan	nan	nan	nan	B10K		
4117	Glaucidium castanopterum		Javan Owlet	Strigidae		nan	nan	nan	nan	nan	B10K		
4118	Glaucidium castanotum		Chestnut-backed Owlet	Strigidae		nan	nan	nan	nan	nan	B10K		
4119	Glaucidium costaricanum		Costa Rican Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4120	Glaucidium cuculoides	rufescens	Asian Barred Owlet	Strigidae	Phase Genus	B10K	nan	nan	nan	sample_collected	B10K	B10K	
4126	Glaucidium mooreorum		Pernambuco Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4128	Glaucidium nubicola		Cloud-forest Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4129	Glaucidium palmarum		Colima Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4130	Glaucidium parkeri		Subtropical Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4135	Glaucidium sanchezi		Tamaulipas Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4136	Glaucidium siju		Cuban Pygmy Owl	Strigidae		nan	nan	nan	nan	nan	B10K		
4149	Glyphorynchus spirurus	sublestus	Wedge-billed Woodcreeper	Dendrocolaptidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4180	Grallaria fenwickorum		Urrao Antpitta	Grallariidae		nan	nan	nan	nan	nan	B10K		
4199	Grallaricula cucullata		Hooded Antpitta	Grallariidae		nan	nan	nan	nan	nan	B10K		
4218	Granativora melanocephala		Black-headed Bunting	Emberizidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
4226	Grus carunculata		Wattled Crane	Gruidae		nan	nan	nan	nan	nan	B10K		
4242	Gymnobucco bonapartei		Grey-throated Barbet	Ramphastidae		nan	nan	nan	nan	nan	B10K		
