	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
7147	Pheucticus chrysopeplus		Yellow Grosbeak	Cardinalidae							B10K		
7152	Pheugopedius atrogularis		Black-throated Wren	Troglodytidae							B10K		
7153	Pheugopedius coraya		Coraya Wren	Troglodytidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7154	Pheugopedius eisenmanni		Inca Wren	Troglodytidae							B10K		
7155	Pheugopedius euophrys		Plain-tailed Wren	Troglodytidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7156	Pheugopedius fasciatoventris		Black-bellied Wren	Troglodytidae							B10K		
7157	Pheugopedius felix		Happy Wren	Troglodytidae							B10K		
7158	Pheugopedius genibarbis		Moustached Wren	Troglodytidae							B10K		
7159	Pheugopedius maculipectus		Spot-breasted Wren	Troglodytidae							B10K		
7160	Pheugopedius mystacalis		Whiskered Wren	Troglodytidae							B10K		
7161	Pheugopedius rutilus		Rufous-breasted Wren	Troglodytidae							B10K		
7162	Pheugopedius sclateri	paucimaculatus	Speckle-breasted Wren	Troglodytidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7163	Pheugopedius spadix		Sooty-headed Wren	Troglodytidae							B10K		
7192	Philydor novaesi		Alagoas Foliage-gleaner	Furnariidae							B10K		
7219	Phoeniculus castaneiceps		Forest Wood-hoopoe	Phoeniculidae							B10K		
7223	Phoeniculus somaliensis		Black-billed Wood-hoopoe	Phoeniculidae							B10K		
7224	Phoenicuropsis coeruleocephala		Blue-capped Redstart	Muscicapidae							B10K		
7226	Phoenicuropsis frontalis		Blue-fronted Redstart	Muscicapidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
7227	Phoenicuropsis schisticeps		White-throated Redstart	Muscicapidae							B10K		
7229	Phoenicurus auroreus	auroreus	Daurian Redstart	Muscicapidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7236	Pholidornis rushiae		Tit Hylia	Scotocercidae	Phase Genus						B10K	B10K	
7237	Phonipara canora		Cuban Grassquit	Thraupidae							B10K		
7241	Phrygilus gayi	caniceps	Gray-hooded Sierra Finch	Thraupidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
7249	Phyllastrephus albigula		Green-crowned Greenbul	Pycnonotidae							B10K		
7263	Phyllastrephus poliocephalus		Grey-headed Greenbul	Pycnonotidae							B10K		
7283	Phylloscartes beckeri		Bahia Tyrannulet	Pipromorphidae							B10K		
7284	Phylloscartes ceciliae		Alagoas Tyrannulet	Pipromorphidae							B10K		
7285	Phylloscartes difficilis		Serra do Mar Tyrannulet	Pipromorphidae							B10K		
7286	Phylloscartes flaviventris		Rufous-lored Tyrannulet	Pipromorphidae							B10K		
7287	Phylloscartes flavovirens		Yellow-green Tyrannulet	Pipromorphidae							B10K		
7288	Phylloscartes gualaquizae		Ecuadorian Tyrannulet	Pipromorphidae							B10K		
7289	Phylloscartes kronei		Restinga Tyrannulet	Pipromorphidae							B10K		
7290	Phylloscartes nigrifrons		Black-fronted Tyrannulet	Pipromorphidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
