nOrder	ARK	Superorder	Family	Accession	VGP_accession	Class	SpeciesE	Genus	Species	long_list
Anura		Batrachia	Hylidae		aDenImi	Amphibia	-	Dendropsophus	imitator	VGP
Anura		Batrachia	Hyperoliidae		aHypTho	Amphibia	-	Hyperolius	thoracotuberculatus	VGP
Anura		Batrachia	Microhylidae		aCalFoj	Amphibia	-	Callulops	fojaensis	VGP
Anura		Batrachia	Microhylidae		aXenMin	Amphibia	-	Xenorhina	minima	VGP
Anura		Batrachia	Bufonidae		aAteAng	Amphibia	-	Atelopus	angelito	VGP
Anura		Batrachia	Dendrobatidae		aHylPum	Amphibia	-	Hyloxalus	pumilus	VGP
Anura		Batrachia	Hyperoliidae		aHypTor	Amphibia	Tornier's Reed Frog	Hyperolius	tornieri	VGP
Anura		Batrachia	Microhylidae		aCalFus	Amphibia	-	Callulops	fuscus	VGP
Anura		Batrachia	Microhylidae		aXenMul	Amphibia	-	Xenorhina	multisica	VGP
Anura		Batrachia	Ptychadenidae		aPtyRet	Amphibia	-	Ptychadena	retropunctata	VGP
Anura		Batrachia	Ranidae		aOdoBol	Amphibia	-	Odorrana	bolavensis	VGP
Anura		Batrachia	Strabomantidae		aHypAde	Amphibia	-	Hypodactylus	adercus	VGP
Anura		Batrachia	Dendrobatidae		aHylRam	Amphibia	-	Hyloxalus	ramosi	VGP
Anura		Batrachia	Hemiphractidae		aGasPip	Amphibia	-	Gastrotheca	piperata	VGP
Anura		Batrachia	Megophryidae		aLepMac	Amphibia	Big-eyed litter frog; â€œCÃ³c mÃ y mat toâ€.	Leptobrachella	macrops	VGP
Anura		Batrachia	Microhylidae		aCalGla	Amphibia	-	Callulops	glandulosus	VGP
Anura		Batrachia	Ranidae		aOdoCan	Amphibia	Cangyuan Odorous Frog	Odorrana	cangyuanensis	VGP
Anura		Batrachia	Strabomantidae		aHypAra	Amphibia	-	Hypodactylus	araiodactylus	VGP
Anura		Batrachia	Strabomantidae		aPriGem	Amphibia	Paria Twin Landfrog; Ranita Gemela de Paria	Pristimantis	geminus	VGP
Anura		Batrachia	Bufonidae		aMelPar	Amphibia	-	Melanophryniscus	paraguayensis	VGP
Anura		Batrachia	Dendrobatidae		aHylRui	Amphibia	-	Hyloxalus	ruizi	VGP
Anura		Batrachia	Eleutherodactylidae		aEleBeg	Amphibia	-	Eleutherodactylus	beguei	VGP
Anura		Batrachia	Hylidae		aPleAca	Amphibia	-	Plectrohyla	acanthodes	VGP
Anura		Batrachia	Megophryidae		aLepMac	Amphibia	-	Leptobrachella	maculosa	VGP
Anura		Batrachia	Microhylidae		aCalHum	Amphibia	-	Callulops	humicola	VGP
Anura		Batrachia	Ptychadenidae		aPtySte	Amphibia	-	Ptychadena	stenocephala	VGP
Anura		Batrachia	Strabomantidae		aHypBab	Amphibia	-	Hypodactylus	babax	VGP
Caudata		Batrachia	Salamandridae		aCynChe	Amphibia	Chenggong Fire-bellied Newt	Cynops	chenggongensis	VGP
Anura		Batrachia	Bufonidae		aAteArt	Amphibia	-	Atelopus	arthuri	VGP
Anura		Batrachia	Bufonidae		aMelPer	Amphibia	-	Melanophryniscus	peritus	VGP
Anura		Batrachia	Dendrobatidae		aHylSal	Amphibia	-	Hyloxalus	saltuarius	VGP
Anura		Batrachia	Megophryidae		aLepMao	Amphibia	-	Leptobrachella	maoershanensis	VGP
Anura		Batrachia	Microhylidae		aCalKop	Amphibia	-	Callulops	kopsteini	VGP
Anura		Batrachia	Microhylidae		aXenOph	Amphibia	-	Xenorhina	ophiodon	VGP
Anura		Batrachia	Ptychadenidae		aPtyStr	Amphibia	-	Ptychadena	straeleni	VGP
Anura		Batrachia	Ranixalidae		aIndTen	Amphibia	-	Indirana	tenuilingua	VGP
Caudata		Batrachia	Hynobiidae		aHynTur	Amphibia	Turkestanian Salamander	Hynobius	turkestanicus	VGP
Anura		Batrachia	Arthroleptidae		aLepBeq	Amphibia	-	Leptopelis	bequaerti	VGP
Anura		Batrachia	Bufonidae		aSclTur	Amphibia	-	Sclerophrys	turkanae	VGP
Anura		Batrachia	Megophryidae		aLepMar	Amphibia	-	Leptobrachella	marmorata	VGP
Anura		Batrachia	Microhylidae		aCalMar	Amphibia	-	Callulops	marmoratus	VGP
Apoda		Gymnophiona	Indotyphlidae		aGegPri	Amphibia	Malabar Cardamom Geg 	Gegeneophis	primus	VGP
Anura		Batrachia	Bufonidae		aMelSan	Amphibia	-	Melanophryniscus	sanmartini	VGP
Anura		Batrachia	Bufonidae		aSclUru	Amphibia	-	Sclerophrys	urunguensis	VGP
Anura		Batrachia	Hylidae		aPleAvi	Amphibia	-	Plectrohyla	avia	VGP
Anura		Batrachia	Megophryidae		aLepMau	Amphibia	-	Leptobrachella	maura	VGP
Anura		Batrachia	Microhylidae		aCalMed	Amphibia	-	Callulops	mediodiscus	VGP
Anura		Batrachia	Dendrobatidae		aAllVan	Amphibia	-	Allobates	vanzolinius	VGP
Anura		Batrachia	Megophryidae		aLepMel	Amphibia	-	Leptobrachella	melanoleuca	VGP
Anura		Batrachia	Microhylidae		aXenRos	Amphibia	-	Xenorhina	rostrata	VGP
Anura		Batrachia	Microhylidae		aMicDar	Amphibia	Darevsky's (pigmy) narrow-mouth frog	Microhyla	darevskii	VGP
Anura		Batrachia	Ptychadenidae		aPtySup	Amphibia	-	Ptychadena	superciliaris	VGP
Anura		Batrachia	Strabomantidae		aHypFal	Amphibia	-	Hypodactylus	fallaciosus	VGP
Anura		Batrachia	Arthroleptidae		aLepBre	Amphibia	-	Leptopelis	brevipes	VGP
Anura		Batrachia	Bufonidae		aAteBou	Amphibia	-	Atelopus	boulengeri	VGP
Anura		Batrachia	Bufonidae		aSclVit	Amphibia	-	Sclerophrys	vittata	VGP
Anura		Batrachia	Dendrobatidae		aAllWay	Amphibia	-	Allobates	wayuu	VGP
Anura		Batrachia	Dendrobatidae		aHylSpi	Amphibia	-	Hyloxalus	spilotogaster	VGP
Anura		Batrachia	Megophryidae		aLepMel	Amphibia	-	Leptobrachella	melica	VGP
Anura		Batrachia	Microhylidae		aXenSch	Amphibia	-	Xenorhina	scheepstrai	VGP
Anura		Batrachia	Ranidae		aOdoGig	Amphibia	-	Odorrana	gigatympana	VGP
Anura		Batrachia	Strabomantidae		aHypLat	Amphibia	-	Hypodactylus	latens	VGP
Apoda		Gymnophiona	Indotyphlidae		aGegTej	Amphibia	Tejaswini Geg	Gegeneophis	tejaswini	VGP
Anura		Batrachia	Bufonidae		aAteCar	Amphibia	-	Atelopus	carauta	VGP
Anura		Batrachia	Bufonidae		aMelSpe	Amphibia	-	Melanophryniscus	spectabilis	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaMac	Amphibia	-	Platymantis	macrops	VGP
Anura		Batrachia	Hylidae		aPleCal	Amphibia	-	Plectrohyla	calvata	VGP
Anura		Batrachia	Hyperoliidae		aHypVir	Amphibia	-	Hyperolius	viridigulosus	VGP
Anura		Batrachia	Microhylidae		aXenSch	Amphibia	-	Xenorhina	schiefenhoeveli	VGP
Anura		Batrachia	Microhylidae		aMicFus	Amphibia	-	Microhyla	fusca	VGP
Anura		Batrachia	Strabomantidae		aHypLuc	Amphibia	-	Hypodactylus	lucida	VGP
