	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	sample_collected
610	Hymenoptera	Philanthidae	Philanthus triangulum	Community survey	NOT COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
617	Hymenoptera	Psenidae	Mimumesa dahlbomi	Availability	COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
618	Hymenoptera	Psenidae	Mimesa equestris	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
629	Hymenoptera	Sparasionidae	Sparasion cephalotes	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
630	Hymenoptera	Sparasionidae	Sparasion rugulosum	dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
664	Lepidoptera	Chimabachidae	Diurnea fagella	Availability	COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
665	Lepidoptera	Chimabachidae	Diurnea lipsiella	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
691	Lepidoptera	Ethmiidae	Ethmia dodecea	Availability	COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
692	Lepidoptera	Ethmiidae	Ethmia quadrillella	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
782	Lepidoptera	Parametriotidae	Blastodacna hellerella	Availability	NOT COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
783	Lepidoptera	Parametriotidae	Spuleria flavicaput	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
784	Lepidoptera	Peleopodidae	Carcina quercana	Monospecific family	COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
810	Lepidoptera	Scythrididae	Scythris subcinctella	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
861	Orthoptera	Conocephalidae	Conocephalus fuscus	Dispecific family	NOT COLLECTED	NHM	WW	NOT COLLECTED	DTOL	DTOL	DTOL
862	Orthoptera	Conocephalidae	Conocephalus dorsalis	Dispecific family	NOT COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
872	Psocodea	Echinophthiriidae	Echinophthirius horridus	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
873	Psocodea	Haematopinidae	Haematopinus eurysternus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
874	Psocodea	Haematopinidae	Haematopinus asini	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
875	Psocodea	Hoplopleuridae	Hoplopleura sciuricola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
877	Psocodea	Linognathidae	Linognathus stenopsis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
878	Psocodea	Linognathidae	Linognathus ovillus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
879	Psocodea	Pediculidae	Pediculus humanus	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
880	Psocodea	Philopteridae	Quadraceps obliquus	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
881	Psocodea	Philopteridae	Cuculicola latirostris	Dispecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
882	Psocodea	Phthiridae	Pthirus pubis	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
883	Psocodea	Polyplacidae	Polyplax spinulosa	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
884	Psocodea	Polyplacidae	Haemodipsus ventricosus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
901	Psocodea	Amphipsocidae	Kolbia quisquiliarum	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
902	Psocodea	Caeciliusidae	Valenzuela flavidus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
903	Psocodea	Caeciliusidae	Valenzuela burmeisteri 	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
904	Psocodea	Ectopsocidae	Ectopsocus briggsi	Availability	NOT COLLECTED	NOT COLLECTED	WW	NOT COLLECTED	DTOL	DTOL	DTOL
905	Psocodea	Ectopsocidae	Ectopsocus petersi	Availability	NOT COLLECTED	NHM	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	DTOL
906	Psocodea	Elipsocidae	Elipsocus hyalinus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
907	Psocodea	Elipsocidae	Elipsocus pumilis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
908	Psocodea	Epipsocidae	Bertkauia lucifuga	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
909	Psocodea	Lachesillidae	Lachesilla pedicularia	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
910	Psocodea	Lachesillidae	Lachesilla quercus		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
911	Psocodea	Lepidopsocidae	Pteroxanium kelloggi	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
913	Psocodea	Liposcelididae	Liposcelis bostrychophila	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
914	Psocodea	Liposcelididae	Liposcelis meridionalis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
915	Psocodea	Mesopsocidae	Mesopsocus immunis	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
916	Psocodea	Mesopsocidae	Mesopsocus unipunctatus	Availability	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
917	Psocodea	Pachytroctidae	Tapinella castanea	Monospecific family	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL	
