	gen	sp	fam	family_representative	long_list	other_priority
3405	Refractohilum	achromaticum	Incertae sedis		DTOL	
3406	Refractohilum	galligenum	Incertae sedis		DTOL	
3408	Seifertia	azaleae	Incertae sedis		DTOL	
3410	Taeniolina	scripta	Incertae sedis		DTOL	
3411	Thyronectria	sinopica	Incertae sedis		DTOL	
3413	Vouauxiella	lichenicola	Incertae sedis		DTOL	
3414	Vouauxiella	verrucosa	Incertae sedis		DTOL	
3418	Xanthoriicola	physciae	Incertae sedis		DTOL	
3420	Thermomyces	lanuginosus	Incertae sedis		DTOL	
3421	Pyrenochaeta	lycopersici	Incertae sedis		DTOL	
3422	Beverwykella	pulmonaria	Incertae sedis		DTOL	
3423	Zymoseptoria	passerinii	Incertae sedis		DTOL	
3424	Candida	parapsilosis	Incertae sedis		DTOL	
3425	Candida	albicans	Incertae sedis		DTOL	
3426	Thermomyces	thermophilus	Incertae sedis		DTOL	
3427	Khuskia	oryzae	Incertae sedis		DTOL	
3429	Candida	tropicalis	Incertae sedis		DTOL	
3430	Candida	guilliermondii	Incertae sedis		DTOL	
3431	Candida	lambica	Incertae sedis		DTOL	
3432	Baudoinia	compniacensis	Incertae sedis		DTOL	
3436	Pyrenochaeta	ilicis	Incertae sedis		DTOL	
3437	Spondylocladiopsis	cupulicola	Incertae sedis		DTOL	
3439	Alatospora	pulchella	Incertae sedis		DTOL	
3443	Gloeohypochnicium	analogum	Incertae sedis		DTOL	
3444	Sarcopodium	circinatum	Incertae sedis		DTOL	
3446	Camposporium	cambrense	Incertae sedis		DTOL	
3448	Haplariopsis	fagicola	Incertae sedis		DTOL	
3449	Sporidesmium	altum	Incertae sedis		DTOL	
3451	Neottiospora	caricina	Incertae sedis		DTOL	
3453	Phragmocephala	atra	Incertae sedis		DTOL	
3454	Thyronectria	aquifolii	Incertae sedis		DTOL	
3456	Tricladiopsis	foliosa	Incertae sedis		DTOL	
3457	Taeniolina	centaurii	Incertae sedis		DTOL	
3458	Thyronectria	cucurbitula	Incertae sedis		DTOL	
3461	Melomastia	mastoidea	Incertae sedis		DTOL	
3462	Hysterographium	fraxini	Incertae sedis		DTOL	
3463	Microdiscula	phragmitis	Incertae sedis		DTOL	
3469	Otthia	spiraeae	Incertae sedis		DTOL	
3471	Plagiosphaera	immersa	Incertae sedis		DTOL	
3478	Sporidesmium	folliculatum	Incertae sedis		DTOL	
3480	Stachylidium	bicolor	Incertae sedis		DTOL	
3484	Wojnowicia	hirta	Incertae sedis		DTOL	
3486	Sporidesmium	eupatoriicola	Incertae sedis		DTOL	
3487	Neohendersonia	kickxii	Incertae sedis		DTOL	
3488	Ellisembia	leptospora	Incertae sedis		DTOL	
3489	Immersiella	caudata	Incertae sedis		DTOL	
3493	Minimelanolocus	rousselianus	Incertae sedis		DTOL	
3494	Sympodiocladium	frondosum	Incertae sedis		DTOL	
3496	Camposporium	antennatum	Incertae sedis		DTOL	
3497	Minimelanolocus	subulifer	Incertae sedis		DTOL	
3499	Kionocephala	catenulata	Incertae sedis		DTOL	
3501	Plectophomella	concentrica	Incertae sedis		DTOL	
3502	Belemnospora	epiphylla	Incertae sedis		DTOL	
3508	Grandinia	mucida	Incertae sedis		DTOL	
3509	Bispora	betulina	Incertae sedis		DTOL	
3511	Sphaeridium	candidulum	Incertae sedis		DTOL	
3512	Psammina	bommeriae	Incertae sedis		DTOL	
3515	Phlebiella	fibrillosa	Incertae sedis		DTOL	
3519	Pseudocenangium	succineum	Incertae sedis		DTOL	
3520	Zygosporium	gibbum	Incertae sedis		DTOL	
3521	Pteridiospora	scoriadea	Incertae sedis		DTOL	
3522	Sympodiella	acicola	Incertae sedis		DTOL	
3523	Scorpiosporium	minutum	Incertae sedis		DTOL	
3524	Imimyces	densus	Incertae sedis		DTOL	
3525	Dactylosporium	macropus	Incertae sedis		DTOL	
3527	Tricellula	aquatica	Incertae sedis		DTOL	
3530	Ectostroma	iridis	Incertae sedis		DTOL	
3531	Exosporiella	fungorum	Incertae sedis		DTOL	
3534	Spermospora	lolii	Incertae sedis		DTOL	
3535	Zygodesmus	fuscus	Incertae sedis		DTOL	
3537	Monodictys	lepraria	Incertae sedis		DTOL	
3538	Thyronectria	coryli	Incertae sedis		DTOL	
