SPECIES_IF_SF	GENUS_IF_SF	FAMILY_IF_SF	ORDER_IF_SF	sample_collected	sequencing_status
Pholiota adiposa	Hebeloma			DTOL	sample_collected
Tausonia pullulans	Naucoria			DTOL	sample_collected
Marasmius hudsonii	Inosperma			DTOL	sample_collected
Gliophorus reginae	Zhuliangomyces			DTOL	sample_collected
Elaphomyces cyanosporus	Craterellus			DTOL	sample_collected
Paurocotylis pila	Laccaria cf.			DTOL	sample_collected
Geastrum saccatum	Cyathicula			DTOL	sample_collected
Patellaria atrata	Limacella			DTOL	sample_collected
Lachnella alboviolascens	Pholiotina			DTOL	sample_collected
Diaporthe detrusa	Helicogloea			DTOL	sample_collected
Barbatosphaeria neglecta	Aivenia			DTOL	sample_collected
Tympanopsis confertula	Sphaerobolus			DTOL	sample_collected
Godronia fuliginosa	Atheniella			DTOL	sample_collected
Postia caesia	Lactifluus			DTOL	sample_collected
Trechispora sp.	Ampulloclitocybe			DTOL	sample_collected
Schwanniomyces polymorphus	Chrysomphalina			DTOL	sample_collected
Mortierella kuhlmanii	Aleuria			DTOL	sample_collected
Candida mesenterica	Suillellus			DTOL	sample_collected
Pachysolen tannophilus	Sarcodon			DTOL	sample_collected
Cephaloascus fragrans	Phelgmacium			DTOL	sample_collected
Ogataea sp.				DTOL	sample_collected
Scytalidium sp.	Amphinema			DTOL	sample_collected
Talaromyces acaricola	Mucidula			DTOL	sample_collected
Talaromyces sp.	Coleosporium			DTOL	sample_collected
Apiotrichum porosum	Thermothelomyces			DTOL	sample_collected
Ciboria americana	Coprinellus xanthothrix			DTOL	sample_collected
Ophiognomonia intermedia	Syncephalastrum			DTOL	sample_collected
Gnomonia gnomon	Moniliella			DTOL	sample_collected
Xanthoriicola physciae	Paecilomyces			DTOL	sample_collected
Ramularia urticae	Absidia			DTOL	sample_collected
Ophiognomonia alni-viridis	Myceliophthora			DTOL	sample_collected
Plagiostoma inclinatum	Chaetomella			DTOL	sample_collected
Ramularia purpurascens	Allantophomopsiella			DTOL	sample_collected
Thedgonia ligustrina	Podospora			DTOL	sample_collected
Eutypa maura	Bloxamia			DTOL	sample_collected
Ramularia chamaedryos	Coniochaeta			DTOL	sample_collected
Rhopographus filicinus	Pseudocamarosporium			DTOL	sample_collected
Phacidium lauri	Pilidium			DTOL	sample_collected
Milesina kriegeriana	Trichophaea			DTOL	sample_collected
Hypoxylon fragiforme	Sordaria			DTOL	sample_collected
Ciboria amentacea	Immersiporthe			DTOL	sample_collected
Xylaria carpophila	Nigrosabulum			DTOL	sample_collected
Trochila laurocerasi	Gibellulopsis			DTOL	sample_collected
Rhytisma acerinum	Filosporella			DTOL	sample_collected
Rosellinia sp.	Monascus			DTOL	sample_collected
Trochila ilicina	Gelasinospora			DTOL	sample_collected
Diaporthe pulla	Auxarthron			DTOL	sample_collected
Mollisia sp.	Haplographium			DTOL	sample_collected
Mazzantia angelicae	Amyloporia			DTOL	sample_collected
Mycena tortuosa				DTOL	sample_collected
Coprinus sp.				DTOL	sample_collected
Diatrype bullata				DTOL	sample_collected
Lophodermium arundinaceum				DTOL	sample_collected
Camarosporium oreades				DTOL	sample_collected
Entyloma ficariae				DTOL	sample_collected
Uromyces dactylidis				DTOL	sample_collected
Calloria neglecta				DTOL	sample_collected
Ascodichaena rugosa				DTOL	sample_collected
Ramularia rubella				DTOL	sample_collected
Phyllosticta mahoniicola				DTOL	sample_collected
Diaporthopsis urticae				DTOL	sample_collected
Lophiostoma sp.				DTOL	sample_collected
Lophiostoma semiliberum				DTOL	sample_collected
Chaetosphaeria sp.				DTOL	sample_collected
Nemania serpens				DTOL	sample_collected
Erysiphe azaleae				DTOL	sample_collected
Illosporiopsis christiansenii				DTOL	sample_collected
Ramularia lactea				DTOL	sample_collected
Diatrypella favacea				DTOL	sample_collected
Rosellinia mammiformis				DTOL	sample_collected
Melanomma pulvis-pyrius				DTOL	sample_collected
Cercosporella primulae				DTOL	sample_collected
Spermosporina aricola				DTOL	sample_collected
Pseudonectria rousseliana				DTOL	sample_collected
Puccinia smyrnii				DTOL	sample_collected
Fuscoporia ferruginosa				DTOL	sample_collected
Fomes fomentarius				DTOL	sample_collected
Monilinia johnsonii				DTOL	sample_collected
Helvella acetabulum				DTOL	sample_collected
Peziza vesiculosa				DTOL	sample_collected
Vuilleminia cystidiata				DTOL	sample_collected
Rhizodiscina lignyota				DTOL	sample_collected
Eutypa sp.				DTOL	sample_collected
Nemania sp.				DTOL	sample_collected
Hypoxylon fraxinophilum				DTOL	sample_collected
Dacrymyces sp.				DTOL	sample_collected
Calycina citrina				DTOL	sample_collected
Scutellinia setosa				DTOL	sample_collected
Nodulisporium sp.				DTOL	sample_collected
Vialaea insculpta				DTOL	sample_collected
Inonotus obliquus				DTOL	sample_collected
Lichenopeltella norfolciana				DTOL	sample_collected
Calycina sp.				DTOL	sample_collected
Mucronella sp.				DTOL	sample_collected
Camarops polysperma				DTOL	sample_collected
Henningsomyces candidus				DTOL	sample_collected
Lasiosphaeris hirsuta				DTOL	sample_collected
Botryosphaeria visci				DTOL	sample_collected
Parasola auricoma				DTOL	sample_collected
Bactridium flavum				DTOL	sample_collected
Nemania aenea				DTOL	sample_collected
Hysterium acuminatum				DTOL	sample_collected
Corynespora smithii				DTOL	sample_collected
Claussenomyces sp.				DTOL	sample_collected
Rosellinia thelena				DTOL	sample_collected
Calycina claroflava				DTOL	sample_collected
Chlorociboria aeruginascens				DTOL	sample_collected
Chlorociboria aeruginascens				DTOL	sample_collected
Hyalorbilia inflatula				DTOL	sample_collected
Asterostroma medium				DTOL	sample_collected
Lasiosphaeria ovina				DTOL	sample_collected
Achroomyces disciformis				DTOL	sample_collected
Fusarium tenuicristatum				DTOL	sample_collected
Episphaeria fraxinicola				DTOL	sample_collected
Leptotrochila cerastiorum				DTOL	sample_collected
Hypoxylon macrocarpum				DTOL	sample_collected
Hyponectria cookeana				DTOL	sample_collected
Peniophorella pubera				DTOL	sample_collected
Amylostereum laevigatum				DTOL	sample_collected
Thelonectria discophora				DTOL	sample_collected
Cryptosporella suffusa				DTOL	sample_collected
Hypoxylon intermedium				DTOL	sample_collected
Hypoxylon petriniae				DTOL	sample_collected
Tubeufia cerea				DTOL	sample_collected
Myxarium podlachicum				DTOL	sample_collected
Neonectria punicea				DTOL	sample_collected
Xenasma pulverulentum				DTOL	sample_collected
Bionectria ralfsii				DTOL	sample_collected
Stypella grilletii				DTOL	sample_collected
Coprinopsis macrocephala				DTOL	sample_collected
Sidera vulgaris				DTOL	sample_collected
Heterobasidion irregulare				DTOL	sample_collected
Biscogniauxia anceps				DTOL	sample_collected
Sistotrema brinkmannii				DTOL	sample_collected
Deconica horizontalis				DTOL	sample_collected
Bertia moriformis				DTOL	sample_collected
Peniophorella sp.				DTOL	sample_collected
Propolis farinosa				DTOL	sample_collected
Dothiora ribesia				DTOL	sample_collected
Bjerkandera adusta				DTOL	sample_collected
Resinicium bicolor				DTOL	sample_collected
Postia stiptica				DTOL	sample_collected
Hypomyces rosellus				DTOL	sample_collected
Psilocybe liniformans				DTOL	sample_collected
Nectria peziza				DTOL	sample_collected
Fusarium culmorum				DTOL	sample_collected
Akanthomyces muscarius				DTOL	sample_collected
Alternaria infectoria				DTOL	sample_collected
Aureobasidium pullulans				DTOL	sample_collected
Boeremia exigua				DTOL	sample_collected
Cadophora sp.				DTOL	sample_collected
Camarops sp.				DTOL	sample_collected
Candolleomyces candolleanus				DTOL	sample_collected
Chuppomyces handelii				DTOL	sample_collected
Cladosporium floccosum				DTOL	sample_collected
