	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
10359	Yuhina diademata		White-collared Yuhina	Zosteropidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10361	Yuhina flavicollis		Whiskered Yuhina	Zosteropidae							B10K		
10362	Yuhina gularis	gularis	Stripe-throated Yuhina	Zosteropidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10363	Yuhina humilis		Burmese Yuhina	Zosteropidae							B10K		
10364	Yuhina nigrimenta		Black-chinned Yuhina	Zosteropidae							B10K		
10365	Yuhina occipitalis		Rufous-vented Yuhina	Zosteropidae							B10K		
10367	Zanda baudinii		Long-billed Black Cockatoo	Cacatuidae							B10K		
10368	Zanda funerea		Yellow-tailed Black Cockatoo	Cacatuidae	Phase Genus	B10K				sample_collected	B10K	B10K	
10369	Zanda latirostris		Short-billed Black Cockatoo	Cacatuidae							B10K		
10371	Zapornia atra		Henderson Crake	Rallidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
10373	Zapornia flavirostra		Black Crake	Rallidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10374	Zapornia fusca		Ruddy-breasted Crake	Rallidae							B10K		
10378	Zapornia parva		Little Crake	Rallidae		B10K	B10K	B10K		in_progress	B10K		
10383	Zaratornis stresemanni		White-cheeked Cotinga	Cotingidae	Phase Genus						B10K	B10K	
10384	Zavattariornis stresemanni		Stresemann's Bush Crow	Corvidae							B10K		
10385	Zebrilus undulatus		Zigzag Heron	Ardeidae							B10K		
10387	Zenaida asiatica		White-winged Dove	Columbidae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
10389	Zenaida aurita		Zenaida Dove	Columbidae							B10K		
10390	Zenaida galapagoensis		Galapagos Dove	Columbidae							B10K		
10391	Zenaida graysoni		Socorro Dove	Columbidae							B10K		
10392	Zenaida macroura		Mourning Dove	Columbidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
10393	Zenaida meloda		West Peruvian Dove	Columbidae							B10K		
10394	Zimmerius acer		Guianan Tyrannulet	Tyrannidae							B10K		
10395	Zimmerius albigularis		Choco Tyrannulet	Tyrannidae							B10K		
10396	Zimmerius bolivianus		Bolivian Tyrannulet	Tyrannidae							B10K		
10397	Zimmerius chicomendesi		Chico's Tyrannulet	Tyrannidae							B10K		
