institutionCode	otherCatalogNumbers	preservative	phylum	class	order	family	genus	specificEpithet	year	sequencing_status	sample_collected	sample_collected_by
NHMUK	NHMUK:ecatalogue:9824008	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Dicaelotus	ruficoxatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968237	Dry frozen (-80°C)	Arthropoda	Insecta	Neuroptera	Hemerobiidae	Micromus	variegatus		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9968215	Dry frozen (-80°C)	Arthropoda	Chilopoda	Scolopendromorpha	Cryptopidae	Cryptops	anomalans		sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9422563	70% ethanol	Arthropoda	Arachnida	Araneae	Theridiidae	Enoplognatha	ovata	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9173204	Dry frozen (-200°C)	Arthropoda	Insecta	Coleoptera	Hydraenidae	Hydraena	rufipes	2019	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9248377	Liquid Nitrogen	Arthropoda	Insecta	Hymenoptera	Tenthredinidae	Athalia	rosae	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9346714	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Apionidae	Pseudapion	rufirostre	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9473933	80% ethanol	Echinodermata	Echinoidea	Camarodonta	Echinidae	Echinus	esculentus	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9809749	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Elateridae	Dalopius	marginatus	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9413244	Dry frozen (-80°C)	Arthropoda	Insecta	Diptera	Sciomyzidae	Limnia	unguicornis	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9247975	100% ethanol	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Nematostella	vectensis	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9254355	Liquid Nitrogen	Arthropoda	Arachnida	Araneae	Oecobiidae	Oecobius	navus	2020	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9852289	Dry frozen (-80°C)	Arthropoda	Insecta	Hymenoptera	Eulophidae	Baryscapus	evonymellae	2022	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9388002	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Bruchidius	siliquastri	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9528594	80% ethanol	Mollusca	Gastropoda	Stylommatophora	Oxychilidae	Oxychilus	draparnaudi	2021	sample_collected	DTOL	NHM
NHMUK	NHMUK:ecatalogue:9317312	Dry frozen (-80°C)	Arthropoda	Insecta	Coleoptera	Latridiidae	Cartodere	nodifer	2021	sample_collected	DTOL	NHM
