Species	Phylum	Class	Order	Family	Genus	Status	project
Aulacoseira ambigua	Stramenopiles/Ochrophyta	Coscinodiscophyceae	Coscinodiscophycidae	Aulacoseiraceae	Aulacoseira	sample_collected	DTOL
Entomoneis alata	Stramenopiles/Ochrophyta	Bacillariophyceae	Bacillariophycidae/Surirellales	Entomoneidaceae	Entomoneis	sample_collected	DTOL
Fragilaria crotonensis	Stramenopiles/Ochrophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Fragilaria	sample_collected	DTOL
Marsupiomonas pelliculata	Chlorophyta	Pedinophyceae	Marsupiomonadales	Marsupiomonadaceae	Marsupiomonas	sample_collected	DTOL
Microglena monadina	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Microglena	sample_collected	DTOL
Cercomonas pigra	Cercozoa		Cercomonadida	Cercomonadidae	Cercomonas	sample_collected	DTOL
Paracercomonas ambulans	Cercozoa		Cercomonadida	Cercomonadidae	Paracercomonas	sample_collected	DTOL
Chloroidium ellipsoideum	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chloroidium	sample_collected	DTOL
Micractinium pusillum	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Micractinium	sample_collected	DTOL
Chlorococcum hypnosporum	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorococcaceae	Chlorococcum	sample_collected	DTOL
Klebsormidium subtile	Chlorophyta	Klebsormidiophyceae	Klebsormidiales	Klebsormidiaceae	Klebsormidium	sample_collected	DTOL
Microspora amoena	Chlorophyta	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	sample_collected	DTOL
Balticola droebakensis	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Balticola	sample_collected	DTOL
Hyalotheca dissiliens	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Desmidiales	Desmidiaceae	Hyalotheca	sample_collected	DTOL
Mougeotia sp.	Streptophyta/Charophyta	Zygnemophyceae/Conjugatophyceae	Zygnematales	Zygnemataceae	Mougeotia	sample_collected	DTOL
Selenastrum bibraianum	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Selenastrum	sample_collected	DTOL
Chrysotila stipitata	Haptophyta	?/Prymnesiophyceae	Isochrysidales	Isochrysidaceae	Chrysotila	sample_collected	DTOL
Cymatosira belgica	Stramenopiles/Ochrophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Cymatosira	sample_collected	DTOL
Surirella sp.	Stramenopiles/Ochrophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella	sample_collected	DTOL
Monoraphidium griffithii	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium	sample_collected	DTOL
Monoraphidium tortile	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium	sample_collected	DTOL
Drepanochloris nannoselene	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Drepanochloris	sample_collected	DTOL
Graesiella emersonii	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Graesiella	sample_collected	DTOL
Apusomonas proboscidea	Apusozoa		Apusomonadida	Apusomonadidae	Apusomonas	sample_collected	DTOL
Synedra sp.	Stramenopiles/Ochrophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Synedra	sample_collected	DTOL
Coelastrum proboscideum	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Coelastrum	sample_collected	DTOL
Messastrum gracile	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Messastrum	sample_collected	DTOL
Chlorolobion braunii	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Chlorolobiom	sample_collected	DTOL
Coelastrella oocystiformis	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Coelastrella	sample_collected	DTOL
Amastigomonas media	Apusozoa		Apusomonadida	Apusomonadidae	Amastigomonas	sample_collected	DTOL
