Family	Genus	Species	NCBI name (if different)	Status	2020	lowest_priority	RBGE_2021	RBGK_2021	RBGE_2022	RBGK_2022	sample_collected	other_priority	family_representative	long_list
Boraginaceae	Pentaglottis	sempervirens		dtol				yes			DTOL			DTOL
Boraginaceae	Pulmonaria	longifolia		dtol										DTOL
Boraginaceae	Pulmonaria	obscura		dtol										DTOL
Boraginaceae	Symphytum	officinale		dtol						yes	DTOL			DTOL
Boraginaceae	Symphytum	tuberosum							yes		DTOL			DTOL
Brassicaceae	Alliaria	petiolata		dtol				yes			DTOL			DTOL
Brassicaceae	Arabidopsis	petraea		dtol										DTOL
Brassicaceae	Arabidopsis	thaliana		dtol_other_priority	yes						DTOL	DTOL		DTOL
Brassicaceae	Arabis	alpina		dtol						yes	DTOL			DTOL
Brassicaceae	Arabis	hirsuta		dtol										DTOL
Brassicaceae	Arabis	scabra		dtol										DTOL
Brassicaceae	Armoracia	rusticana		dtol				yes			DTOL			DTOL
Brassicaceae	Barbarea	vulgaris		dtol						yes	DTOL			DTOL
Brassicaceae	Brassica	nigra		dtol				yes			DTOL			DTOL
Brassicaceae	Brassica	oleracea		dtol_family_representative	yes						DTOL		DTOL	DTOL
Brassicaceae	Brassica	rapa		dtol										DTOL
Brassicaceae	Cakile	maritima		dtol_family_representative	yes						DTOL		DTOL	DTOL
Brassicaceae	Camelina	sativa		dtol										DTOL
Brassicaceae	Capsella	bursa-pastoris		dtol				yes			DTOL			DTOL
Brassicaceae	Cardamine	amara		dtol					yes		DTOL			DTOL
Brassicaceae	Cardamine	bulbifera		dtol										DTOL
Brassicaceae	Cardamine	flexuosa		dtol				yes			DTOL			DTOL
Brassicaceae	Cardamine	hirsuta		dtol					yes		DTOL			DTOL
Brassicaceae	Cardamine	impatiens		dtol										DTOL
Brassicaceae	Cardamine	pratensis		dtol				yes			DTOL			DTOL
Brassicaceae	Cardamine	raphanifolia		dtol					yes		DTOL			DTOL
Brassicaceae	Cochlearia	anglica		dtol										DTOL
Brassicaceae	Cochlearia	danica		dtol						yes	DTOL			DTOL
Brassicaceae	Cochlearia	micacea		dtol										DTOL
Brassicaceae	Cochlearia	officinalis		dtol										DTOL
Brassicaceae	Cochlearia	pyrenaica		dtol										DTOL
