NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status_illumina	synonym	sequencing_status_pacbio	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_open	published
2041954	Vertagopus	arboreus	Isotomidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1458441	Willowsia	buskii	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1302335	Willowsia	nigromaculata	Entomobryidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2567731	Xenylla	mediterranea	Hypogastruridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
187716	Xenyllodes	armatus	Odontellidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1569510	Chordeuma	sylvestre	Chordeumatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
61981	Cylindroiulus	punctatus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1392624	Glomeris	hexasticha	Glomeridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
62006	Glomeris	marginata	Glomeridae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1008810	Julus	scandinavius	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
541046	Julus	scanicus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1008825	Kryphioiulus	occultus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
52423	Megaphyllum	sjaelandicum	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1569492	Melogona	broelemanni	Chordeumatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
118473	Nemasoma	varicorne	Nemasomatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1008866	Ommatoiulus	sabulosus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
118470	Ophyiulus	pilosus	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1068628	Polydesmus	angustus	Polydesmidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
510027	Polydesmus	complanatus	Polydesmidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
118488	Polyzonium	germanicum	Polyzoniidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
88024	Proteroiulus	fuscus	Blaniulidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1392627	Strongylosoma	stigmatosum	Paradoxosomatidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
433595	Tachypodoiulus	niger	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1522044	Xestoiulus	laeticollis	Julidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
89972	Campodea	plusiochaeta	Campodeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
735358	Buchholzia	appendiculata	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
1502715	Cognettia	cognettii	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
913645	Enchytraeus	crypticus	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
913647	Enchytraeus	norvegicus	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
913705	Oconnorella	tubifera	Enchytraeidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
224784	Stratiolaelaps	miles	Laelapidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
2234139	Pergamasus	crassipes	Parasitidae		in_assembly			METAINVERT			METAINVERT	METAINVERT	METAINVERT		
