	ORDER	FAMILY	SPECIES	JUSTIFICATION	COPO	NHM	WYTHAM	TOL_SCOTLAND	long_list	family_representative	other_priority	sample_collected
392	Diptera	Rhinophoridae	Rhinophora lepida		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
394	Diptera	Sarcophagidae	Sarcophaga carnaria		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
396	Diptera	Scathophagidae	Scathophaga stercoraria	Availability	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
397	Diptera	Scathophagidae	Norellia spinipes	Availability	COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
398	Diptera	Scatopsidae	Scatopse notata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
400	Diptera	Scenopinidae	Scenopinus fenestralis		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
402	Diptera	Sciaridae	Xylosciara lignicola		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
404	Diptera	Sciomyzidae	Tetanocera elata	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
406	Diptera	Sepsidae	Sepsis fulgens		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
408	Diptera	Simuliidae	Simulium aureum	Community survey	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
409	Diptera	Simuliidae	Simulium ornatum	Community survey	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
410	Diptera	Sphaeroceridae	Sphaerocera curvipes		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
412	Diptera	Stenomicridae	Podocera soniae		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
414	Diptera	Stratiomyidae	Odontomyia hydroleon		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
416	Diptera	Strongylophthalmyiidae	Strongylophthalmyia ustulata		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
418	Diptera	Syrphidae	Blera fallax	Community survey	COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
419	Diptera	Syrphidae	Merodon equestris	Community survey	COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
420	Diptera	Tabanidae	Tabanus bromius		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
422	Diptera	Tachinidae	Eriothrix rufomaculata	Availability	COLLECTED	COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
424	Diptera	Tanypezidae	Tanypeza longimana		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
426	Diptera	Tephritidae	Anomoia purmunda		COLLECTED	NOT COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
428	Diptera	Thaumaleidae	Thaumalea verralli		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
430	Diptera	Therevidae	Cliorismia rustica		NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	NOT COLLECTED	DTOL	DTOL		
432	Diptera	Tipulidae	Tipula paludosa		COLLECTED	COLLECTED	COLLECTED	NOT COLLECTED	DTOL	DTOL		DTOL
