	superorder	orders_latin_name	latin_name_1	latin_name_2	latin_name_3	species_id_1	species_id_2	species_id_3	status	phylum	phase1
110	Crocodylia	Crocodylidae	Crocodylus porosus						2	Chordata	VGP
111	Crocodylia	Alligatoridae	Alligator mississippiensis	Alligator sinensis					3	Chordata	VGP
112	Crocodylia	Gavialidae	Gavialis gangeticus						3	Chordata	VGP
113	Testudines, Cryptodira	Carettochelyidae	Carettochelys insculpta						2	Chordata	VGP
114	Testudines, Cryptodira	Cheloniidae	Chelonia mydas			rCheMyd1			4	Chordata	VGP
115	Testudines, Cryptodira	Chelydridae	Chelydra serpentina		Macrochelys temminckii				3	Chordata	VGP
116	Testudines, Cryptodira	Dermatemydidae	Dermatemys mawii						3	Chordata	VGP
117	Testudines, Cryptodira	Dermochelyidae	Dermochelys coriacea	Terrapene carolina		rDerCor1			4	Chordata	VGP
118	Testudines, Cryptodira	Emydidae	Emys orbicularis	Emys (Actinemys) marmorata	Chrysemys picta	rEmyOrb1			3	Chordata	VGP
119	Testudines, Cryptodira	Geoemydidae	Geoemyda japonica						3	Chordata	VGP
120	Testudines, Cryptodira	Kinosternidae	Sternotherus carinatus	Kinosternon sonoriense	Sternotherus odoratus				3	Chordata	VGP
121	Testudines, Cryptodira	Platysternidae	Platysternon megacephalum						2	Chordata	VGP
122	Testudines, Cryptodira	Testudinidae	Gopherus evgoodei	Aldabrachelys gigantea	Gopherus agassizii	rGopEvg1			4	Chordata	VGP
123	Testudines, Cryptodira	Trionychidae	Apalone spinifera	Pelodiscus sinensis					3	Chordata	VGP
124	Testudines, Pleurodira	Chelidae	Mesoclemmys tuberculata	Emydura subglobossa	Acanthochelys spixii				3	Chordata	VGP
125	Testudines, Pleurodira	Pelomedusidae	Pelusios castaneus	Pelomedusa subrufa					3	Chordata	VGP
126	Testudines, Pleurodira	Podocnemididae	Podocnemis expansa	Erymnochelys madagascariensis	Peltocephalus dumerilianus				3	Chordata	VGP
127	Squamata	Serpentes (Boidae)	Candoia aspera	Boa constrictor					3	Chordata	VGP
128	Squamata	Serpentes (Elapidae/Crotalinae/Viperidae)	Vipera latastei	Vipera berus	Ophiophagus hannah	rVipLat1	3		3	Chordata	VGP
129	Squamata	Serpentes (Colubridae)	Thamnophis elegans	Erythrolamprus reginae		rThaEle1			4	Chordata	VGP
130	Squamata	Serpentes (Anomalepidae)	Typhlophis squamosus	Typhlophis squamosus					2	Chordata	VGP
131	Squamata	Iguania (Polychrotidae ???)	Anolis sagrei	Anolis carolinensis					3	Chordata	VGP
132	Squamata	Iguania (Chamaeleoninae)	Chamaeleo chamaeleon						2	Chordata	VGP
133	Squamata	Iguania (Iguanidae)	Cyclura pinguis	Pogona vitticeps	Amblyrhynchus cristatus				2	Chordata	VGP
135	Squamata	Anguimorpha (Shinisaudridae)	Shinisaurus crocodilurus	Varanus komodoensis					3	Chordata	VGP
136	Squamata	Lacertoidea (Lacertidae)	Lacerta agilis	Podarcis raffonei	Lacerta viridis	rLacAgi1	rPodRaf1		4	Chordata	VGP
137	Squamata	Lacertoidea (Rhineuridae/Amphisbaenidae)	Rhineura floridana						3	Chordata	VGP
138	Squamata	Lacertoidea (Teiidae)	Aspidoscelis stictogrammus	Tupinambis teguixin	Cnemidophorus exsanguis				3	Chordata	VGP
139	Squamata	Scincoidea	Scincella lateralis	Tiliqua scincoides	Xantusia vigilis				2	Chordata	VGP
140	Squamata	Gekkota	Lygodactylus conraui	Gekko gecko	Eublepharis macularius				3	Chordata	VGP
141	Squamata	Dibamidae	Dibamus novaeguineae	Anelytropsis papillosus					3	Chordata	VGP
142	Rhynchocephalia	Sphenodontidae	Sphenodon punctatus						3	Chordata	VGP
143	Anura	Archaeobatrachia > Discoglossoidea > Alytidae	Discoglossus galganoi	Alytes obstetricans	Latonia nigriventer		Midwife Toad	Hula painted frog	3	Chordata	VGP
144	Anura	Archaeobatrachia > Discoglossoidea > Bombinatoridae	Bombina bombina	Bombina orientalis		aBomBom1	Oriental fire-bellied toad		3	Chordata	VGP
145	Anura	Archaeobatrachia > Discoglossoidea > Rhinophrynidae	Rhinophrynus dorsalis						3	Chordata	VGP
146	Anura	Archaeobatrachia > Leiopelmatoidea > Ascaphidae | Leiopelmatidae	Ascaphus truei	Leiopelma archeyi					3	Chordata	VGP
147	Anura	Archaeobatrachia > Pelobatoidea > Megophryidae	Scutiger boulengeri						2	Chordata	VGP
148	Anura	Archaeobatrachia > Pelobatoidea > Pelobatidae	Pelobates cultripes	Pelobates varaldii					3	Chordata	VGP
149	Anura	Archaeobatrachia > Pelobatoidea > Pelodytidae	Pelodytes punctatus	Pelodytes caucasicus			Caucasian Parsley Frog		3	Chordata	VGP
150	Anura	Archaeobatrachia > Pelobatoidea > Scaphiopodidae	Spea bombifrons	Scaphiopus couchii 	Spea hammondii	aSpeBom1		Western spadefoot toad	3	Chordata	VGP
151	Anura	Archaeobatrachia > Pipoidea > Pipidae	Xenopus tropicalis						3	Chordata	VGP
152	Anura	Neobatrachia > Hyloidea > Eleutherodactylidae	Eleutherodactylus coqui	Eleutherodactylus coqui	Pristimantis bogotensis			Bogota Rain Frog	3	Chordata	VGP
153	Anura	Neobatrachia > Afrobatrachia> Hyperoliidae | Brevicipitidae	Hyperolius riggenbachi	Hyperolius viridiflavus	Breviceps macrops		Common reed frog	Desert rain frog	3	Chordata	VGP
154	Anura	Neobatrachia > Heleophrynidae | Rhinodermatidae	Hadromophryne natalensis	Rhinoderma darwinii	Heleophryne hewitti		Darwin's frog	Hewitt's ghost frog	3	Chordata	VGP
155	Anura	Neobatrachia > Hyloidea > Bufonidae	Bufo bufo	Rhinella marina		aBufBuf1			4	Chordata	VGP
156	Anura	Neobatrachia > Hyloidea > Hylidae | Hemiphractidae	Dendropsophus ebraccatus	Hyla (Dryophytes) chrysoscelis	Gastrotheca cornuta	aDenEbr1		Horned marsupial frog	3	Chordata	VGP
157	Anura	Neobatrachia > Hyloidea > Leptodactylidae | Centrolenidae	Engystomops pustulosus	Hyalinobatrachium valerioi	Leptodactylus latrans		La Palma Glass Frog	Lesser Foam Frog	3	Chordata	VGP
159	Anura	Neobatrachia > Ranoidea > Dicroglossidae	Nanorana pleskei						2	Chordata	VGP
160	Anura	Neobatrachia > Ranoidea > Microhylidae	Gastrophryne carolinensis	Dyscophus antongilii					3	Chordata	VGP
161	Anura	Neobatrachia > Ranoidea > Natatanura > Mantellidae | Ceratobatrachidae	Mantella aurantiaca	Platymantis (Tirahanulap) montanus			Montane wrinkled ground frog		3	Chordata	VGP
162	Anura	Neobatrachia > Ranoidea > Natatanura > Ranidae | Pyxicephalidae	Rana temporaria	Pyxicephalus adspersus	Rana muscosa	aRanTem1		Mountain yellow-legged frog	4	Chordata	VGP
163	Anura	Neobatrachia > Sooglossidae | Nasikabatrachidae	Sooglossus thomasseti	Nasikabatrachus sahyadrensis	Sooglossus sechellensis		Purple Pignosed Frog	Seychelles frog	2	Chordata	VGP
164	Caudata	Cryptobranchoidea > Hynobidae | Cryptobranchidae	Hynobius chinensis	Andrias davidianus	Cryptobranchus alleganiensis		Chinese Giant Salamander		2	Chordata	VGP
165	Caudata	Plethodontoidea > Plethodontidae	Thorius aureus						3	Chordata	VGP
166	Caudata	Proteoidea > Proteidae	Necturus alabamensis	Necturus maculosus			Common mudpuppy		2	Chordata	VGP
167	Caudata	Salamandroidea > Ambystomatidae	Ambystoma mexicanum	Ambystoma laterale			Blue-spotted Salamander		3	Chordata	VGP
168	Caudata	Salamandroidea > Salamandridae	Salamandra salamandra	Notophthalmus viridescens			Eastern newt		3	Chordata	VGP
169	Caudata	Sirenoidea > Sirenidae	Siren intermedia						3	Chordata	VGP
170	Gymnophiona	Rhinatrematidae	Rhinatrema bivittatum			aRhiBiv1			4	Chordata	VGP
171	Gymnophiona	Teresomata > Caeciliidae | Herpelidae	Microcaecilia unicolor	Herpele squalostoma		aMicUni1	Congo caecilian		4	Chordata	VGP
172	Gymnophiona	Teresomata > Dermophiidae | Typhlonectidae	Geotrypetes seraphini	Typhlonectes compressicauda		aGeoSer1	Cayenne caecilian		4	Chordata	VGP
173	Actinopterygii (Ray-finned Fishes)	Polypteriformes	Erpetoichthys calabaricus			fErpCal1.2			4	Chordata	VGP
174	Actinopterygii (Ray-finned Fishes)	Acipenseriformes	Acipenser ruthenus	Acipenser oxyrinchus	Polyodon spathula	fAciRut3			4	Chordata	VGP
175	Actinopterygii (Ray-finned Fishes)	Amiiformes	Amia calva			12			2	Chordata	VGP
176	Actinopterygii (Ray-finned Fishes)	Lepisosteiformes	Lepisosteus oculatus						2	Chordata	VGP
177	Actinopterygii (Ray-finned Fishes)	Elopiformes	Megalops cyprinoides	Elops saurus		fMegCyp1			4	Chordata	VGP
178	Actinopterygii (Ray-finned Fishes)	Albuliformes	Albula vulpes						2	Chordata	VGP
179	Actinopterygii (Ray-finned Fishes)	Notacanthiformes	Notacanthus chemnitzii						2	Chordata	VGP
180	Actinopterygii (Ray-finned Fishes)	Anguilliformes	Anguilla anguilla			fAngAng1			4	Chordata	VGP
181	Actinopterygii (Ray-finned Fishes)	Hiodontiformes	Hiodon tergisus						2	Chordata	VGP
182	Actinopterygii (Ray-finned Fishes)	Osteoglossiformes	Scleropages formosus			fSclFor1			4	Chordata	VGP
183	Actinopterygii (Ray-finned Fishes)	Clupeiformes	Denticeps clupeoides	Alosa sapidissima		fDenClu1	fAloSap1		4	Chordata	VGP
184	Actinopterygii (Ray-finned Fishes)	Alepocephaliformes	Xenodermichthys copei						2	Chordata	VGP
185	Actinopterygii (Ray-finned Fishes)	Gonorynchiformes	Chanos chanos			fChaCha1			4	Chordata	VGP
186	Actinopterygii (Ray-finned Fishes)	Cypriniformes	Danio rerio	Carassius auratus	Cyprinella lutrensis	fDreSAT1		fCypLut1	4	Chordata	VGP
187	Actinopterygii (Ray-finned Fishes)	Gymnotiformes	Electrophorus electricus			fEleEle1			4	Chordata	VGP
188	Actinopterygii (Ray-finned Fishes)	Characiformes	Pygocentrus nattereri	Astyanax mexicanus		fPygNat1			4	Chordata	VGP
189	Actinopterygii (Ray-finned Fishes)	Siluriformes	Hemibagrus wyckioides	Neoarius graeffei	Glyptosternon maculatum	SWU_Hwy_1.0	fNeoGra1		4	Chordata	VGP
190	Actinopterygii (Ray-finned Fishes)	Lepidogalaxiiformes	Lepidogalaxias salamandroides						2	Chordata	VGP
191	Actinopterygii (Ray-finned Fishes)	Argentiniformes	Nansenia antarctica	Argentina sphyraena	Bathylagus sp.				3	Chordata	VGP
192	Actinopterygii (Ray-finned Fishes)	Galaxiiformes	Aplochiton taeniatus	Galaxias maculatus		fAplTae1			4	Chordata	VGP
193	Actinopterygii (Ray-finned Fishes)	Esociformes	Esox lucius			fEsoLuc1 			4	Chordata	VGP
194	Actinopterygii (Ray-finned Fishes)	Salmoniformes	Salmo trutta			fSalTru1			4	Chordata	VGP
195	Actinopterygii (Ray-finned Fishes)	Osmeriformes	Osmerus mordax	Hypomesus transpacificus	Spirinchus thaleichthys	fOsmMor2	fHypTra1	fSpiTha1	3	Chordata	VGP
197	Actinopterygii (Ray-finned Fishes)	Ateleopodiformes	Guentherus altivelis						2	Chordata	VGP
198	Actinopterygii (Ray-finned Fishes)	Aulopiformes	Notolepis coatsi	Synodus foetens					3	Chordata	VGP
199	Actinopterygii (Ray-finned Fishes)	Myctophiformes	Electrona antarctica						3	Chordata	VGP
200	Actinopterygii (Ray-finned Fishes)	Lampridiformes	Lampris guttatus						2	Chordata	VGP
201	Actinopterygii (Ray-finned Fishes)	Percopsiformes	Speoplatyrhinus poulsoni						2	Chordata	VGP
202	Actinopterygii (Ray-finned Fishes)	Zeiformes	Zeus faber			fZeuFab1			3	Chordata	VGP
203	Actinopterygii (Ray-finned Fishes)	Stylephoriformes	Stylephorus chordatus						2	Chordata	VGP
204	Actinopterygii (Ray-finned Fishes)	Gadiformes	Gadus morhua	Merluccius productus		fGadMor1			4	Chordata	VGP
205	Actinopterygii (Ray-finned Fishes)	Polymixiiformes	Polymixia lowei						2	Chordata	VGP
206	Actinopterygii (Ray-finned Fishes)	Beryciformes	Poromitra crassiceps	Beryx splendens	Beryx decadactylus				3	Chordata	VGP
207	Actinopterygii (Ray-finned Fishes)	Holocentriformes	Myripristis murdjan			fMyrMur1			4	Chordata	VGP
209	Actinopterygii (Ray-finned Fishes)	Batrachoidiformes	Thalassophryne amazonica			fThaAma1			4	Chordata	VGP
211	Actinopterygii (Ray-finned Fishes)	Syngnathiformes	Syngnathus acus			fSynAcu1			4	Chordata	VGP
212	Actinopterygii (Ray-finned Fishes)	Scombriformes	Thunnus maccoyii	Scomber scombrus	Thunnus maccoyii	fThuMac1		fThuMac1	4	Chordata	VGP
213	Actinopterygii (Ray-finned Fishes)	Synbranchiformes	Mastacembelus armatus	Monopterus albus		fMasArm1			4	Chordata	VGP
214	Actinopterygii (Ray-finned Fishes)	Anabantiformes	Anabas testudineus	Betta splendens		fAnaTes1			4	Chordata	VGP
215	Actinopterygii (Ray-finned Fishes)	incertae sedis in Carangimorphariae	Toxotes jaculatrix	Sphyraena barracuda		fToxJac2			4	Chordata	VGP
216	Actinopterygii (Ray-finned Fishes)	Pleuronectiformes	Hippoglossus hippoglossus			fHipHip1			4	Chordata	VGP
217	Actinopterygii (Ray-finned Fishes)	Istiophoriformes	Xiphias gladius			ASM1685928v1			4	Chordata	VGP
218	Actinopterygii (Ray-finned Fishes)	Carangiformes	Echeneis naucrates			fEcheNa1			4	Chordata	VGP
219	Actinopterygii (Ray-finned Fishes)	incertae sedis in Ovalentaria	Parambassis ranga	Amphiprion percula	Acanthochromis polyacanthus	fParRan2			4	Chordata	VGP
220	Actinopterygii (Ray-finned Fishes)	Cichliformes	Archocentrus centrarchus	Astatotilapia calliptera	Amphilophus citrinellus	fArcCen1	fAstCal1		4	Chordata	VGP
221	Actinopterygii (Ray-finned Fishes)	insertae sedis in Eupercaria	Scatophagus argus			fScaArg1			4	Chordata	VGP
222	Actinopterygii (Ray-finned Fishes)	Cyprinodontiformes	Anableps anableps	Fundulus diaphanus	Simochromis diagramma	fAnaAna1	fFunDia1	fSimDia1	4	Chordata	VGP
